surah_ayah	position	string	meaning	ayah_link
12:80	4	khalaṣū	they secluded themselves	 فَلَمَّا اسْتَيْأَسُوا مِنْهُ خَلَصُوا نَجِيًّا
2:94	9	khāliṣatan	exclusively	 قُلْ إِنْ كَانَتْ لَكُمُ الدَّارُ الْآخِرَةُ عِنْدَ اللَّهِ خَالِصَةً مِنْ دُونِ النَّاسِ فَتَمَنَّوُا الْمَوْتَ
2:139	14	mukh'liṣūna	(are) sincere	 وَلَنَا أَعْمَالُنَا وَلَكُمْ أَعْمَالُكُمْ وَنَحْنُ لَهُ مُخْلِصُونَ
4:146	7	wa-akhlaṣū	and are sincere	 إِلَّا الَّذِينَ تَابُوا وَأَصْلَحُوا وَاعْتَصَمُوا بِاللَّهِ وَأَخْلَصُوا دِينَهُمْ لِلَّهِ فَأُولَٰئِكَ مَعَ الْمُؤْمِنِينَ
6:139	7	khāliṣatun	(is) exclusively	 وَقَالُوا مَا فِي بُطُونِ هَٰذِهِ الْأَنْعَامِ خَالِصَةٌ لِذُكُورِنَا وَمُحَرَّمٌ عَلَىٰ أَزْوَاجِنَا
7:29	11	mukh'liṣīna	(being) sincere	 وَأَقِيمُوا وُجُوهَكُمْ عِنْدَ كُلِّ مَسْجِدٍ وَادْعُوهُ مُخْلِصِينَ لَهُ الدِّينَ
7:32	19	khāliṣatan	exclusively (for them)	 قُلْ هِيَ لِلَّذِينَ آمَنُوا فِي الْحَيَاةِ الدُّنْيَا خَالِصَةً يَوْمَ الْقِيَامَةِ
10:22	32	mukh'liṣīna	sincerely	 وَظَنُّوا أَنَّهُمْ أُحِيطَ بِهِمْ دَعَوُا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ
12:24	19	l-mukh'laṣīna	the sincere	 كَذَٰلِكَ لِنَصْرِفَ عَنْهُ السُّوءَ وَالْفَحْشَاءَ إِنَّهُ مِنْ عِبَادِنَا الْمُخْلَصِينَ
12:54	5	astakhliṣ'hu	I will select him	 وَقَالَ الْمَلِكُ ائْتُونِي بِهِ أَسْتَخْلِصْهُ لِنَفْسِي
15:40	4	l-mukh'laṣīna	the ones who are sincere	 إِلَّا عِبَادَكَ مِنْهُمُ الْمُخْلَصِينَ
16:66	15	khāliṣan	pure	 نُسْقِيكُمْ مِمَّا فِي بُطُونِهِ مِنْ بَيْنِ فَرْثٍ وَدَمٍ لَبَنًا خَالِصًا
19:51	7	mukh'laṣan	chosen	 إِنَّهُ كَانَ مُخْلَصًا وَكَانَ رَسُولًا نَبِيًّا
29:65	7	mukh'liṣīna	(being) sincere	 فَإِذَا رَكِبُوا فِي الْفُلْكِ دَعَوُا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ
31:32	7	mukh'liṣīna	(being) sincere	 وَإِذَا غَشِيَهُمْ مَوْجٌ كَالظُّلَلِ دَعَوُا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ
33:50	39	khāliṣatan	only	 إِنْ أَرَادَ النَّبِيُّ أَنْ يَسْتَنْكِحَهَا خَالِصَةً لَكَ مِنْ دُونِ الْمُؤْمِنِينَ
37:40	4	l-mukh'laṣīna	the chosen ones	 إِلَّا عِبَادَ اللَّهِ الْمُخْلَصِينَ
37:74	4	l-mukh'laṣīna	the chosen ones	 إِلَّا عِبَادَ اللَّهِ الْمُخْلَصِينَ
37:128	4	l-mukh'laṣīna	the chosen ones	 إِلَّا عِبَادَ اللَّهِ الْمُخْلَصِينَ
37:160	4	l-mukh'laṣīna	the chosen	 إِلَّا عِبَادَ اللَّهِ الْمُخْلَصِينَ
37:169	4	l-mukh'laṣīna	the chosen	 لَكُنَّا عِبَادَ اللَّهِ الْمُخْلَصِينَ
38:46	2	akhlaṣnāhum	[We] chose them	 إِنَّا أَخْلَصْنَاهُمْ بِخَالِصَةٍ ذِكْرَى الدَّارِ
38:46	3	bikhāliṣatin	for an exclusive (quality)	 إِنَّا أَخْلَصْنَاهُمْ بِخَالِصَةٍ ذِكْرَى الدَّارِ
38:83	4	l-mukh'laṣīna	the chosen ones	 إِلَّا عِبَادَكَ مِنْهُمُ الْمُخْلَصِينَ
39:2	8	mukh'liṣan	(being) sincere	 إِنَّا أَنْزَلْنَا إِلَيْكَ الْكِتَابَ بِالْحَقِّ فَاعْبُدِ اللَّهَ مُخْلِصًا لَهُ الدِّينَ
39:3	4	l-khāliṣu	the pure	 أَلَا لِلَّهِ الدِّينُ الْخَالِصُ
39:11	7	mukh'liṣan	(being) sincere	 قُلْ إِنِّي أُمِرْتُ أَنْ أَعْبُدَ اللَّهَ مُخْلِصًا لَهُ الدِّينَ
39:14	4	mukh'liṣan	(being) sincere	 قُلِ اللَّهَ أَعْبُدُ مُخْلِصًا لَهُ دِينِي
40:14	3	mukh'liṣīna	(being) sincere	 فَادْعُوا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ وَلَوْ كَرِهَ الْكَافِرُونَ
40:65	8	mukh'liṣīna	(being) sincere	 هُوَ الْحَيُّ لَا إِلَٰهَ إِلَّا هُوَ فَادْعُوهُ مُخْلِصِينَ لَهُ الدِّينَ
98:5	6	mukh'liṣīna	(being) sincere	 وَمَا أُمِرُوا إِلَّا لِيَعْبُدُوا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ حُنَفَاءَ
