surah_ayah	position	string	meaning	ayah_link
2:125	21	wal-rukaʿi	and those who bow down	 وَعَهِدْنَا إِلَىٰ إِبْرَاهِيمَ وَإِسْمَاعِيلَ أَنْ طَهِّرَا بَيْتِيَ لِلطَّائِفِينَ وَالْعَاكِفِينَ وَالرُّكَّعِ السُّجُودِ
22:26	15	wal-rukaʿi	and those who bow	 وَطَهِّرْ بَيْتِيَ لِلطَّائِفِينَ وَالْقَائِمِينَ وَالرُّكَّعِ السُّجُودِ
2:43	5	wa-ir'kaʿū	and bow down	 وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ
2:43	7	l-rākiʿīna	those who bow down	 وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ
3:43	5	wa-ir'kaʿī	and bow down	 يَا مَرْيَمُ اقْنُتِي لِرَبِّكِ وَاسْجُدِي وَارْكَعِي مَعَ الرَّاكِعِينَ
3:43	7	l-rākiʿīna	those who bow down	 يَا مَرْيَمُ اقْنُتِي لِرَبِّكِ وَاسْجُدِي وَارْكَعِي مَعَ الرَّاكِعِينَ
5:55	13	rākiʿūna	(are) those who bow down	 وَالَّذِينَ آمَنُوا الَّذِينَ يُقِيمُونَ الصَّلَاةَ وَيُؤْتُونَ الزَّكَاةَ وَهُمْ رَاكِعُونَ
9:112	5	l-rākiʿūna	those who bow down	 التَّائِبُونَ الْعَابِدُونَ الْحَامِدُونَ السَّائِحُونَ الرَّاكِعُونَ
22:77	4	ir'kaʿū	Bow	 يَا أَيُّهَا الَّذِينَ آمَنُوا ارْكَعُوا وَاسْجُدُوا وَاعْبُدُوا رَبَّكُمْ
38:24	31	rākiʿan	bowing	 وَظَنَّ دَاوُودُ أَنَّمَا فَتَنَّاهُ فَاسْتَغْفَرَ رَبَّهُ وَخَرَّ رَاكِعًا وَأَنَابَ
48:29	12	rukkaʿan	bowing	 تَرَاهُمْ رُكَّعًا سُجَّدًا يَبْتَغُونَ فَضْلًا مِنَ اللَّهِ وَرِضْوَانًا
77:48	4	ir'kaʿū	Bow	 وَإِذَا قِيلَ لَهُمُ ارْكَعُوا لَا يَرْكَعُونَ
77:48	6	yarkaʿūna	they bow	 وَإِذَا قِيلَ لَهُمُ ارْكَعُوا لَا يَرْكَعُونَ
