surah_ayah	position	string	meaning	ayah_link
11:114	5	wazulafan	and (at) the approach	 وَأَقِمِ الصَّلَاةَ طَرَفَيِ النَّهَارِ وَزُلَفًا مِنَ اللَّيْلِ
26:64	1	wa-azlafnā	And We brought near	 وَأَزْلَفْنَا ثَمَّ الْآخَرِينَ
26:90	1	wa-uz'lifati	And (will be) brought near	 وَأُزْلِفَتِ الْجَنَّةُ لِلْمُتَّقِينَ
34:37	8	zul'fā	(in) position	 وَمَا أَمْوَالُكُمْ وَلَا أَوْلَادُكُمْ بِالَّتِي تُقَرِّبُكُمْ عِنْدَنَا زُلْفَىٰ
38:25	7	lazul'fā	surely is a near access	 فَغَفَرْنَا لَهُ ذَٰلِكَ وَإِنَّ لَهُ عِنْدَنَا لَزُلْفَىٰ وَحُسْنَ مَآبٍ
38:40	4	lazul'fā	surely is a near access	 وَإِنَّ لَهُ عِنْدَنَا لَزُلْفَىٰ وَحُسْنَ مَآبٍ
39:3	16	zul'fā	(in) nearness	 مَا نَعْبُدُهُمْ إِلَّا لِيُقَرِّبُونَا إِلَى اللَّهِ زُلْفَىٰ
50:31	1	wa-uz'lifati	And will be brought near	 وَأُزْلِفَتِ الْجَنَّةُ لِلْمُتَّقِينَ غَيْرَ بَعِيدٍ
67:27	3	zul'fatan	approaching	 فَلَمَّا رَأَوْهُ زُلْفَةً سِيئَتْ وُجُوهُ الَّذِينَ كَفَرُوا
81:13	3	uz'lifat	is brought near	 وَإِذَا الْجَنَّةُ أُزْلِفَتْ
