surah_ayah	position	string	meaning	ayah_link
2:130	11	iṣ'ṭafaynāhu	We chose him	 وَلَقَدِ اصْطَفَيْنَاهُ فِي الدُّنْيَا
2:132	9	iṣ'ṭafā	has chosen	 إِنَّ اللَّهَ اصْطَفَىٰ لَكُمُ الدِّينَ
2:247	29	iṣ'ṭafāhu	has chosen him	 قَالَ إِنَّ اللَّهَ اصْطَفَاهُ عَلَيْكُمْ وَزَادَهُ بَسْطَةً فِي الْعِلْمِ وَالْجِسْمِ
2:264	21	ṣafwānin	(that of a) smooth rock	 فَمَثَلُهُ كَمَثَلِ صَفْوَانٍ عَلَيْهِ تُرَابٌ فَأَصَابَهُ وَابِلٌ فَتَرَكَهُ صَلْدًا
3:33	3	iṣ'ṭafā	chose	 إِنَّ اللَّهَ اصْطَفَىٰ آدَمَ وَنُوحًا وَآلَ إِبْرَاهِيمَ
3:42	7	iṣ'ṭafāki	(has) chosen you	 يَا مَرْيَمُ إِنَّ اللَّهَ اصْطَفَاكِ وَطَهَّرَكِ
3:42	9	wa-iṣ'ṭafāki	and chosen you	 وَاصْطَفَاكِ عَلَىٰ نِسَاءِ الْعَالَمِينَ
7:144	4	iṣ'ṭafaytuka	have chosen you	 إِنِّي اصْطَفَيْتُكَ عَلَى النَّاسِ بِرِسَالَاتِي وَبِكَلَامِي
17:40	1	afa-aṣfākum	Then has your Lord chosen (for) you	 أَفَأَصْفَاكُمْ رَبُّكُمْ بِالْبَنِينَ وَاتَّخَذَ مِنَ الْمَلَائِكَةِ إِنَاثًا
22:75	2	yaṣṭafī	chooses	 اللَّهُ يَصْطَفِي مِنَ الْمَلَائِكَةِ رُسُلًا وَمِنَ النَّاسِ
27:59	8	iṣ'ṭafā	He has chosen	 قُلِ الْحَمْدُ لِلَّهِ وَسَلَامٌ عَلَىٰ عِبَادِهِ الَّذِينَ اصْطَفَىٰ
35:32	5	iṣ'ṭafaynā	We have chosen	 ثُمَّ أَوْرَثْنَا الْكِتَابَ الَّذِينَ اصْطَفَيْنَا مِنْ عِبَادِنَا
37:153	1	aṣṭafā	Has He chosen	 أَصْطَفَى الْبَنَاتِ عَلَى الْبَنِينَ
38:47	4	l-muṣ'ṭafayna	the chosen ones	 وَإِنَّهُمْ عِنْدَنَا لَمِنَ الْمُصْطَفَيْنَ الْأَخْيَارِ
39:4	7	la-iṣ'ṭafā	surely, He (could) have chosen	 لَوْ أَرَادَ اللَّهُ أَنْ يَتَّخِذَ وَلَدًا لَاصْطَفَىٰ مِمَّا يَخْلُقُ مَا يَشَاءُ
43:16	6	wa-aṣfākum	and He has chosen (for) you	 أَمِ اتَّخَذَ مِمَّا يَخْلُقُ بَنَاتٍ وَأَصْفَاكُمْ بِالْبَنِينَ
47:15	26	muṣaffan	purified	 وَأَنْهَارٌ مِنْ خَمْرٍ لَذَّةٍ لِلشَّارِبِينَ وَأَنْهَارٌ مِنْ عَسَلٍ مُصَفًّى
