surah:ayah	position	string	meaning	ayah_link
3:39	5	yuṣallī	praying	 فَنَادَتْهُ الْمَلَائِكَةُ وَهُوَ قَائِمٌ يُصَلِّي فِي الْمِحْرَابِ
4:102	22	yuṣallū	prayed	 وَلْتَأْتِ طَائِفَةٌ أُخْرَىٰ لَمْ يُصَلُّوا
4:102	23	falyuṣallū	and let them pray	 فَلْيُصَلُّوا مَعَكَ وَلْيَأْخُذُوا حِذْرَهُمْ وَأَسْلِحَتَهُمْ
9:84	2	tuṣalli	you pray	 وَلَا تُصَلِّ عَلَىٰ أَحَدٍ مِنْهُمْ مَاتَ أَبَدًا وَلَا تَقُمْ عَلَىٰ قَبْرِهِ
9:103	8	waṣalli	and bless	 خُذْ مِنْ أَمْوَالِهِمْ صَدَقَةً تُطَهِّرُهُمْ وَتُزَكِّيهِمْ بِهَا وَصَلِّ عَلَيْهِمْ
33:43	3	yuṣallī	sends His blessings	 هُوَ الَّذِي يُصَلِّي عَلَيْكُمْ وَمَلَائِكَتُهُ
33:56	4	yuṣallūna	send blessings	 إِنَّ اللَّهَ وَمَلَائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ
33:56	10	ṣallū	Send blessings	 يَا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا
70:22	2	l-muṣalīna	those who pray 	 إِلَّا الْمُصَلِّينَ
74:43	5	l-muṣalīna	those who prayed	 قَالُوا لَمْ نَكُ مِنَ الْمُصَلِّينَ
75:31	4	ṣallā	he prayed	 فَلَا صَدَّقَ وَلَا صَلَّىٰ
87:15	4	faṣallā	and prays	 وَذَكَرَ اسْمَ رَبِّهِ فَصَلَّىٰ
96:10	3	ṣallā	he prays	 عَبْدًا إِذَا صَلَّىٰ
107:4	2	lil'muṣallīna	to those who pray	 فَوَيْلٌ لِلْمُصَلِّينَ
108:2	1	faṣalli	So pray	 فَصَلِّ لِرَبِّكَ وَانْحَرْ
