surah_ayah	position	string	meaning	ayah_link
2:3	5	l-ṣalata	the prayer	 الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ
2:43	2	l-ṣalata	the prayer	 وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ
2:45	3	wal-ṣalati	and the prayer	 وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ
2:83	20	l-ṣalata	the prayer	 وَقُولُوا لِلنَّاسِ حُسْنًا وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ
2:110	2	l-ṣalata	the prayer	 وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ
2:153	6	wal-ṣalati	and the prayer	 يَا أَيُّهَا الَّذِينَ آمَنُوا اسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ
2:157	3	ṣalawātun	(are) blessings	 أُولَٰئِكَ عَلَيْهِمْ صَلَوَاتٌ مِنْ رَبِّهِمْ وَرَحْمَةٌ
2:177	33	l-ṣalata	the prayer	 وَالسَّائِلِينَ وَفِي الرِّقَابِ وَأَقَامَ الصَّلَاةَ وَآتَى الزَّكَاةَ
2:238	3	l-ṣalawāti	the prayers	 حَافِظُوا عَلَى الصَّلَوَاتِ وَالصَّلَاةِ الْوُسْطَىٰ
2:238	4	wal-ṣalati	and the prayer 	 حَافِظُوا عَلَى الصَّلَوَاتِ وَالصَّلَاةِ الْوُسْطَىٰ
2:277	7	l-ṣalata	the prayer	 وَأَقَامُوا الصَّلَاةَ وَآتَوُا الزَّكَاةَ لَهُمْ أَجْرُهُمْ عِنْدَ رَبِّهِمْ
4:43	6	l-ṣalata	the prayer	 يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَقْرَبُوا الصَّلَاةَ وَأَنْتُمْ سُكَارَىٰ
4:77	10	l-ṣalata	the prayer	 أَلَمْ تَرَ إِلَى الَّذِينَ قِيلَ لَهُمْ كُفُّوا أَيْدِيَكُمْ وَأَقِيمُوا الصَّلَاةَ
4:101	11	l-ṣalati	the prayer	 وَإِذَا ضَرَبْتُمْ فِي الْأَرْضِ فَلَيْسَ عَلَيْكُمْ جُنَاحٌ أَنْ تَقْصُرُوا مِنَ الصَّلَاةِ إِنْ خِفْتُمْ أَنْ يَفْتِنَكُمُ الَّذِينَ كَفَرُوا
4:102	6	l-ṣalata	the prayer	 وَإِذَا كُنْتَ فِيهِمْ فَأَقَمْتَ لَهُمُ الصَّلَاةَ فَلْتَقُمْ طَائِفَةٌ مِنْهُمْ مَعَكَ
4:103	3	l-ṣalata	the prayer	 فَإِذَا قَضَيْتُمُ الصَّلَاةَ فَاذْكُرُوا اللَّهَ قِيَامًا وَقُعُودًا وَعَلَىٰ جُنُوبِكُمْ
4:103	13	l-ṣalata	the (regular) prayer	 فَإِذَا اطْمَأْنَنْتُمْ فَأَقِيمُوا الصَّلَاةَ
4:103	15	l-ṣalata	the prayer	 إِنَّ الصَّلَاةَ كَانَتْ عَلَى الْمُؤْمِنِينَ كِتَابًا مَوْقُوتًا
4:142	10	l-ṣalati	the prayer	 وَإِذَا قَامُوا إِلَى الصَّلَاةِ قَامُوا كُسَالَىٰ
4:162	16	l-ṣalata	the prayer	 يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَالْمُقِيمِينَ الصَّلَاةَ
5:6	7	l-ṣalati	the prayer	 يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا قُمْتُمْ إِلَى الصَّلَاةِ فَاغْسِلُوا وُجُوهَكُمْ
5:12	18	l-ṣalata	the prayer	 لَئِنْ أَقَمْتُمُ الصَّلَاةَ وَآتَيْتُمُ الزَّكَاةَ وَآمَنْتُمْ بِرُسُلِي
5:55	9	l-ṣalata	the prayer	 الَّذِينَ يُقِيمُونَ الصَّلَاةَ وَيُؤْتُونَ الزَّكَاةَ وَهُمْ رَاكِعُونَ
5:58	4	l-ṣalati	the prayer	 وَإِذَا نَادَيْتُمْ إِلَى الصَّلَاةِ اتَّخَذُوهَا هُزُوًا وَلَعِبًا
5:91	17	l-ṣalati	the prayer	 وَيَصُدَّكُمْ عَنْ ذِكْرِ اللَّهِ وَعَنِ الصَّلَاةِ فَهَلْ أَنْتُمْ مُنْتَهُونَ
5:106	31	l-ṣalati	the prayer	 تَحْبِسُونَهُمَا مِنْ بَعْدِ الصَّلَاةِ فَيُقْسِمَانِ بِاللَّهِ
6:72	3	l-ṣalata	the prayer	 وَأَنْ أَقِيمُوا الصَّلَاةَ وَاتَّقُوهُ وَهُوَ الَّذِي إِلَيْهِ تُحْشَرُونَ
6:92	21	ṣalātihim	their prayers	 وَهُمْ عَلَىٰ صَلَاتِهِمْ يُحَافِظُونَ
6:162	3	ṣalātī	my prayer	 قُلْ إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ
7:170	5	l-ṣalata	the prayer	 وَالَّذِينَ يُمَسِّكُونَ بِالْكِتَابِ وَأَقَامُوا الصَّلَاةَ
