surah_ayah	position	string	meaning	ayah_link
14:43	7	ṭarfuhum	their gaze	 مُهْطِعِينَ مُقْنِعِي رُءُوسِهِمْ لَا يَرْتَدُّ إِلَيْهِمْ طَرْفُهُمْ
27:40	14	ṭarfuka	your glance	 أَنَا آتِيكَ بِهِ قَبْلَ أَنْ يَرْتَدَّ إِلَيْكَ طَرْفُكَ
37:48	3	l-ṭarfi	(will be) companions of modest gaze	 وَعِنْدَهُمْ قَاصِرَاتُ الطَّرْفِ عِينٌ
38:52	3	l-ṭarfi	(will be) companions of modest gaze	 وَعِنْدَهُمْ قَاصِرَاتُ الطَّرْفِ أَتْرَابٌ
42:45	9	ṭarfin	a glance	 يَنْظُرُونَ مِنْ طَرْفٍ خَفِيٍّ
55:56	3	l-ṭarfi	(will be) companions of modest gaze	 فِيهِنَّ قَاصِرَاتُ الطَّرْفِ لَمْ يَطْمِثْهُنَّ إِنْسٌ قَبْلَهُمْ وَلَا جَانٌّ
3:127	2	ṭarafan	a part	 لِيَقْطَعَ طَرَفًا مِنَ الَّذِينَ كَفَرُوا أَوْ يَكْبِتَهُمْ فَيَنْقَلِبُوا خَائِبِينَ
11:114	3	ṭarafayi	(at the) two ends	 وَأَقِمِ الصَّلَاةَ طَرَفَيِ النَّهَارِ وَزُلَفًا مِنَ اللَّيْلِ
13:41	8	aṭrāfihā	its borders	 أَوَلَمْ يَرَوْا أَنَّا نَأْتِي الْأَرْضَ نَنْقُصُهَا مِنْ أَطْرَافِهَا
20:130	17	wa-aṭrāfa	(at the) ends	 وَمِنْ آنَاءِ اللَّيْلِ فَسَبِّحْ وَأَطْرَافَ النَّهَارِ لَعَلَّكَ تَرْضَىٰ
21:44	16	aṭrāfihā	its borders	 أَفَلَا يَرَوْنَ أَنَّا نَأْتِي الْأَرْضَ نَنْقُصُهَا مِنْ أَطْرَافِهَا
