surah_ayah	position	string	meaning	ayah_link
2:129	15	l-ʿazīzu	the All-Mighty	 وَيُزَكِّيهِمْ إِنَّكَ أَنْتَ الْعَزِيزُ الْحَكِيمُ
2:206	7	l-ʿizatu	(his) pride	 وَإِذَا قِيلَ لَهُ اتَّقِ اللَّهَ أَخَذَتْهُ الْعِزَّةُ بِالْإِثْمِ
2:209	11	ʿazīzun	(is) All-Mighty	 فَاعْلَمُوا أَنَّ اللَّهَ عَزِيزٌ حَكِيمٌ
2:220	25	ʿazīzun	(is) All-Mighty	 وَلَوْ شَاءَ اللَّهُ لَأَعْنَتَكُمْ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ
2:228	39	ʿazīzun	(is) All-Mighty	 وَلِلرِّجَالِ عَلَيْهِنَّ دَرَجَةٌ وَاللَّهُ عَزِيزٌ حَكِيمٌ
2:240	26	ʿazīzun	(is) All-Mighty	 فَإِنْ خَرَجْنَ فَلَا جُنَاحَ عَلَيْكُمْ فِي مَا فَعَلْنَ فِي أَنْفُسِهِنَّ مِنْ مَعْرُوفٍ وَاللَّهُ عَزِيزٌ حَكِيمٌ
2:260	38	ʿazīzun	(is) All-Mighty	 ثُمَّ ادْعُهُنَّ يَأْتِينَكَ سَعْيًا وَاعْلَمْ أَنَّ اللَّهَ عَزِيزٌ حَكِيمٌ
3:4	16	ʿazīzun	(is) All-Mighty	 لَهُمْ عَذَابٌ شَدِيدٌ وَاللَّهُ عَزِيزٌ ذُو انْتِقَامٍ
3:6	12	l-ʿazīzu	the All-Mighty	 لَا إِلَٰهَ إِلَّا هُوَ الْعَزِيزُ الْحَكِيمُ
3:18	17	l-ʿazīzu	the All-Mighty	 وَأُولُو الْعِلْمِ قَائِمًا بِالْقِسْطِ لَا إِلَٰهَ إِلَّا هُوَ الْعَزِيزُ الْحَكِيمُ
3:26	13	watuʿizzu	and You honor	 وَتُعِزُّ مَنْ تَشَاءُ وَتُذِلُّ مَنْ تَشَاءُ
3:62	14	l-ʿazīzu	(is) the All-Mighty	 وَمَا مِنْ إِلَٰهٍ إِلَّا اللَّهُ وَإِنَّ اللَّهَ لَهُوَ الْعَزِيزُ الْحَكِيمُ
3:126	16	l-ʿazīzi	the All-Mighty	 وَمَا النَّصْرُ إِلَّا مِنْ عِنْدِ اللَّهِ الْعَزِيزِ الْحَكِيمِ
4:56	19	ʿazīzan	All-Mighty	 لِيَذُوقُوا الْعَذَابَ إِنَّ اللَّهَ كَانَ عَزِيزًا حَكِيمًا
4:139	10	l-ʿizata	the honor	 أَيَبْتَغُونَ عِنْدَهُمُ الْعِزَّةَ
4:139	12	l-ʿizata	the honor	 فَإِنَّ الْعِزَّةَ لِلَّهِ جَمِيعًا
4:158	7	ʿazīzan	All-Mighty	 بَلْ رَفَعَهُ اللَّهُ إِلَيْهِ وَكَانَ اللَّهُ عَزِيزًا حَكِيمًا
4:165	14	ʿazīzan	All-Mighty	 لِئَلَّا يَكُونَ لِلنَّاسِ عَلَى اللَّهِ حُجَّةٌ بَعْدَ الرُّسُلِ وَكَانَ اللَّهُ عَزِيزًا حَكِيمًا
5:38	12	ʿazīzun	(is) All-Mighty	 جَزَاءً بِمَا كَسَبَا نَكَالًا مِنَ اللَّهِ وَاللَّهُ عَزِيزٌ حَكِيمٌ
5:54	18	aʿizzatin	(and) stern	 أَذِلَّةٍ عَلَى الْمُؤْمِنِينَ أَعِزَّةٍ عَلَى الْكَافِرِينَ
5:95	48	ʿazīzun	(is) All-Mighty	 وَمَنْ عَادَ فَيَنْتَقِمُ اللَّهُ مِنْهُ وَاللَّهُ عَزِيزٌ ذُو انْتِقَامٍ
5:118	10	l-ʿazīzu	(are) the All-Mighty	 وَإِنْ تَغْفِرْ لَهُمْ فَإِنَّكَ أَنْتَ الْعَزِيزُ الْحَكِيمُ
6:96	11	l-ʿazīzi	(of) the All-Mighty	 ذَٰلِكَ تَقْدِيرُ الْعَزِيزِ الْعَلِيمِ
8:10	17	ʿazīzun	(is) All-Mighty	 وَمَا النَّصْرُ إِلَّا مِنْ عِنْدِ اللَّهِ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ
8:49	17	ʿazīzun	(is) All-Mighty	 وَمَنْ يَتَوَكَّلْ عَلَى اللَّهِ فَإِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ
8:63	19	ʿazīzun	(is) All-Mighty	 وَلَٰكِنَّ اللَّهَ أَلَّفَ بَيْنَهُمْ إِنَّهُ عَزِيزٌ حَكِيمٌ
8:67	19	ʿazīzun	(is) All-Mighty	 تُرِيدُونَ عَرَضَ الدُّنْيَا وَاللَّهُ يُرِيدُ الْآخِرَةَ وَاللَّهُ عَزِيزٌ حَكِيمٌ
9:40	42	ʿazīzun	(is) All-Mighty	 وَكَلِمَةُ اللَّهِ هِيَ الْعُلْيَا وَاللَّهُ عَزِيزٌ حَكِيمٌ
9:71	23	ʿazīzun	(is) All-Mighty	 أُولَٰئِكَ سَيَرْحَمُهُمُ اللَّهُ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ
9:128	6	ʿazīzun	Grievous	 لَقَدْ جَاءَكُمْ رَسُولٌ مِنْ أَنْفُسِكُمْ عَزِيزٌ عَلَيْهِ مَا عَنِتُّمْ
10:65	5	l-ʿizata	the honor	 وَلَا يَحْزُنْكَ قَوْلُهُمْ إِنَّ الْعِزَّةَ لِلَّهِ جَمِيعًا هُوَ السَّمِيعُ الْعَلِيمُ
11:66	18	l-ʿazīzu	All-Mighty	 إِنَّ رَبَّكَ هُوَ الْقَوِيُّ الْعَزِيزُ
11:91	18	biʿazīzin	mighty	 وَلَوْلَا رَهْطُكَ لَرَجَمْنَاكَ وَمَا أَنْتَ عَلَيْنَا بِعَزِيزٍ
11:92	4	aʿazzu	mightier	 قَالَ يَا قَوْمِ أَرَهْطِي أَعَزُّ عَلَيْكُمْ مِنَ اللَّهِ
12:30	6	l-ʿazīzi	Aziz	 وَقَالَ نِسْوَةٌ فِي الْمَدِينَةِ امْرَأَتُ الْعَزِيزِ تُرَاوِدُ فَتَاهَا عَنْ نَفْسِهِ
12:51	19	l-ʿazīzi	(of) Aziz	 قَالَتِ امْرَأَتُ الْعَزِيزِ الْآنَ حَصْحَصَ الْحَقُّ أَنَا رَاوَدْتُهُ
12:78	3	l-ʿazīzu	Aziz	 قَالُوا يَا أَيُّهَا الْعَزِيزُ إِنَّ لَهُ أَبًا شَيْخًا كَبِيرًا فَخُذْ أَحَدَنَا مَكَانَهُ
12:88	6	l-ʿazīzu	O Aziz	 فَلَمَّا دَخَلُوا عَلَيْهِ قَالُوا يَا أَيُّهَا الْعَزِيزُ مَسَّنَا وَأَهْلَنَا الضُّرُّ
14:1	15	l-ʿazīzi	(of) the All-Mighty	 لِتُخْرِجَ النَّاسَ مِنَ الظُّلُمَاتِ إِلَى النُّورِ بِإِذْنِ رَبِّهِمْ إِلَىٰ صِرَاطِ الْعَزِيزِ الْحَمِيدِ
14:4	18	l-ʿazīzu	(is) the All-Mighty	 فَيُضِلُّ اللَّهُ مَنْ يَشَاءُ وَيَهْدِي مَنْ يَشَاءُ وَهُوَ الْعَزِيزُ الْحَكِيمُ
14:20	5	biʿazīzin	great	 وَمَا ذَٰلِكَ عَلَى اللَّهِ بِعَزِيزٍ
14:47	9	ʿazīzun	(is) All-Mighty	 فَلَا تَحْسَبَنَّ اللَّهَ مُخْلِفَ وَعْدِهِ رُسُلَهُ إِنَّ اللَّهَ عَزِيزٌ ذُو انْتِقَامٍ
16:60	11	l-ʿazīzu	(is) the All-Mighty	 وَلِلَّهِ الْمَثَلُ الْأَعْلَىٰ وَهُوَ الْعَزِيزُ الْحَكِيمُ
18:34	12	wa-aʿazzu	and stronger	 فَقَالَ لِصَاحِبِهِ وَهُوَ يُحَاوِرُهُ أَنَا أَكْثَرُ مِنْكَ مَالًا وَأَعَزُّ نَفَرًا
19:81	8	ʿizzan	an honor	 وَاتَّخَذُوا مِنْ دُونِ اللَّهِ آلِهَةً لِيَكُونُوا لَهُمْ عِزًّا
22:40	35	ʿazīzun	All-Mighty	 وَلَيَنْصُرَنَّ اللَّهُ مَنْ يَنْصُرُهُ إِنَّ اللَّهَ لَقَوِيٌّ عَزِيزٌ
