surah_ayah	position	string	meaning	ayah_link
2:93	14	waʿaṣaynā	and we disobeyed	 قَالُوا سَمِعْنَا وَعَصَيْنَا وَأُشْرِبُوا فِي قُلُوبِهِمُ الْعِجْلَ بِكُفْرِهِمْ
3:152	14	waʿaṣaytum	and you disobeyed	 وَعَصَيْتُمْ مِنْ بَعْدِ مَا أَرَاكُمْ مَا تُحِبُّونَ
4:46	10	waʿaṣaynā	and we disobey[ed]	 وَيَقُولُونَ سَمِعْنَا وَعَصَيْنَا وَاسْمَعْ غَيْرَ مُسْمَعٍ
6:15	5	ʿaṣaytu	I disobeyed	 قُلْ إِنِّي أَخَافُ إِنْ عَصَيْتُ رَبِّي عَذَابَ يَوْمٍ عَظِيمٍ
10:15	35	ʿaṣaytu	I were to disobey	 إِنِّي أَخَافُ إِنْ عَصَيْتُ رَبِّي عَذَابَ يَوْمٍ عَظِيمٍ
10:91	3	ʿaṣayta	you (had) disobeyed	 آلْآنَ وَقَدْ عَصَيْتَ قَبْلُ وَكُنْتَ مِنَ الْمُفْسِدِينَ
11:63	18	ʿaṣaytuhu	I (were to) disobey Him	 فَمَنْ يَنْصُرُنِي مِنَ اللَّهِ إِنْ عَصَيْتُهُ
20:66	6	waʿiṣiyyuhum	and their staffs	 فَإِذَا حِبَالُهُمْ وَعِصِيُّهُمْ يُخَيَّلُ إِلَيْهِ مِنْ سِحْرِهِمْ أَنَّهَا تَسْعَىٰ
20:93	3	afaʿaṣayta	Then, have you disobeyed	 أَلَّا تَتَّبِعَنِ أَفَعَصَيْتَ أَمْرِي
26:44	3	waʿiṣiyyahum	and their staffs	 فَأَلْقَوْا حِبَالَهُمْ وَعِصِيَّهُمْ وَقَالُوا بِعِزَّةِ فِرْعَوْنَ إِنَّا لَنَحْنُ الْغَالِبُونَ
39:13	5	ʿaṣaytu	I disobey	 قُلْ إِنِّي أَخَافُ إِنْ عَصَيْتُ رَبِّي عَذَابَ يَوْمٍ عَظِيمٍ
2:61	57	ʿaṣaw	they disobeyed	 ذَٰلِكَ بِمَا عَصَوْا وَكَانُوا يَعْتَدُونَ
3:112	33	ʿaṣaw	they disobeyed	 وَيَقْتُلُونَ الْأَنْبِيَاءَ بِغَيْرِ حَقٍّ ذَٰلِكَ بِمَا عَصَوْا وَكَانُوا يَعْتَدُونَ
4:14	2	yaʿṣi	disobeys	 وَمَنْ يَعْصِ اللَّهَ وَرَسُولَهُ وَيَتَعَدَّ حُدُودَهُ يُدْخِلْهُ نَارًا
4:42	5	waʿaṣawū	and disobeyed	 يَوْمَئِذٍ يَوَدُّ الَّذِينَ كَفَرُوا وَعَصَوُا الرَّسُولَ لَوْ تُسَوَّىٰ بِهِمُ الْأَرْضُ
5:78	15	ʿaṣaw	they disobeyed	 ذَٰلِكَ بِمَا عَصَوْا وَكَانُوا يَعْتَدُونَ
11:59	6	waʿaṣaw	and disobeyed	 وَتِلْكَ عَادٌ جَحَدُوا بِآيَاتِ رَبِّهِمْ وَعَصَوْا رُسُلَهُ
14:36	12	ʿaṣānī	disobeys me	 فَمَنْ تَبِعَنِي فَإِنَّهُ مِنِّي وَمَنْ عَصَانِي فَإِنَّكَ غَفُورٌ رَحِيمٌ
18:69	8	aʿṣī	I will disobey	 قَالَ سَتَجِدُنِي إِنْ شَاءَ اللَّهُ صَابِرًا وَلَا أَعْصِي لَكَ أَمْرًا
19:14	6	ʿaṣiyyan	disobedient	 وَبَرًّا بِوَالِدَيْهِ وَلَمْ يَكُنْ جَبَّارًا عَصِيًّا
19:44	9	ʿaṣiyyan	disobedient	 يَا أَبَتِ لَا تَعْبُدِ الشَّيْطَانَ إِنَّ الشَّيْطَانَ كَانَ لِلرَّحْمَٰنِ عَصِيًّا
20:121	12	waʿaṣā	And Adam disobeyed	 وَعَصَىٰ آدَمُ رَبَّهُ فَغَوَىٰ
26:216	2	ʿaṣawka	they disobey you	 فَإِنْ عَصَوْكَ فَقُلْ إِنِّي بَرِيءٌ مِمَّا تَعْمَلُونَ
33:36	18	yaʿṣi	disobeys	 وَمَنْ يَعْصِ اللَّهَ وَرَسُولَهُ فَقَدْ ضَلَّ ضَلَالًا مُبِينًا
49:7	25	wal-ʿiṣ'yāna	and disobedience	 وَكَرَّهَ إِلَيْكُمُ الْكُفْرَ وَالْفُسُوقَ وَالْعِصْيَانَ
58:8	16	wamaʿṣiyati	and disobedience	 وَيَتَنَاجَوْنَ بِالْإِثْمِ وَالْعُدْوَانِ وَمَعْصِيَتِ الرَّسُولِ
58:9	10	wamaʿṣiyati	and disobedience	 إِذَا تَنَاجَيْتُمْ فَلَا تَتَنَاجَوْا بِالْإِثْمِ وَالْعُدْوَانِ وَمَعْصِيَتِ الرَّسُولِ
60:12	28	yaʿṣīnaka	they will disobey you	 وَلَا يَأْتِينَ بِبُهْتَانٍ يَفْتَرِينَهُ بَيْنَ أَيْدِيهِنَّ وَأَرْجُلِهِنَّ وَلَا يَعْصِينَكَ فِي مَعْرُوفٍ
66:6	16	yaʿṣūna	they disobey	 عَلَيْهَا مَلَائِكَةٌ غِلَاظٌ شِدَادٌ لَا يَعْصُونَ اللَّهَ مَا أَمَرَهُمْ
69:10	1	faʿaṣaw	And they disobeyed	 فَعَصَوْا رَسُولَ رَبِّهِمْ فَأَخَذَهُمْ أَخْذَةً رَابِيَةً
71:21	5	ʿaṣawnī	disobeyed me	 قَالَ نُوحٌ رَبِّ إِنَّهُمْ عَصَوْنِي
72:23	7	yaʿṣi	disobeys	 وَمَنْ يَعْصِ اللَّهَ وَرَسُولَهُ فَإِنَّ لَهُ نَارَ جَهَنَّمَ خَالِدِينَ فِيهَا أَبَدًا
73:16	1	faʿaṣā	But disobeyed	 فَعَصَىٰ فِرْعَوْنُ الرَّسُولَ فَأَخَذْنَاهُ أَخْذًا وَبِيلًا
79:21	2	waʿaṣā	and disobeyed	 فَكَذَّبَ وَعَصَىٰ
