surah_ayah	position	string	meaning	ayah_link
2:255	49	l-ʿaliyu	(is) the Most High	 وَلَا يَئُودُهُ حِفْظُهُمَا وَهُوَ الْعَلِيُّ الْعَظِيمُ
3:61	11	taʿālaw	Come	 فَقُلْ تَعَالَوْا نَدْعُ أَبْنَاءَنَا وَأَبْنَاءَكُمْ وَنِسَاءَنَا وَنِسَاءَكُمْ
3:64	4	taʿālaw	Come	 قُلْ يَا أَهْلَ الْكِتَابِ تَعَالَوْا إِلَىٰ كَلِمَةٍ سَوَاءٍ بَيْنَنَا وَبَيْنَكُمْ
3:139	6	l-aʿlawna	[the] superior	 وَلَا تَهِنُوا وَلَا تَحْزَنُوا وَأَنْتُمُ الْأَعْلَوْنَ إِنْ كُنْتُمْ مُؤْمِنِينَ
3:167	6	taʿālaw	Come	 وَقِيلَ لَهُمْ تَعَالَوْا قَاتِلُوا فِي سَبِيلِ اللَّهِ أَوِ ادْفَعُوا
4:34	39	ʿaliyyan	Most High	 فَإِنْ أَطَعْنَكُمْ فَلَا تَبْغُوا عَلَيْهِنَّ سَبِيلًا إِنَّ اللَّهَ كَانَ عَلِيًّا كَبِيرًا
4:61	4	taʿālaw	Come	 وَإِذَا قِيلَ لَهُمْ تَعَالَوْا إِلَىٰ مَا أَنْزَلَ اللَّهُ وَإِلَى الرَّسُولِ رَأَيْتَ الْمُنَافِقِينَ يَصُدُّونَ عَنْكَ صُدُودًا
5:104	4	taʿālaw	Come	 وَإِذَا قِيلَ لَهُمْ تَعَالَوْا إِلَىٰ مَا أَنْزَلَ اللَّهُ وَإِلَى الرَّسُولِ قَالُوا حَسْبُنَا مَا وَجَدْنَا عَلَيْهِ آبَاءَنَا
6:100	13	wataʿālā	and Exalted	 وَخَرَقُوا لَهُ بَنِينَ وَبَنَاتٍ بِغَيْرِ عِلْمٍ سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يَصِفُونَ
6:151	2	taʿālaw	Come	 قُلْ تَعَالَوْا أَتْلُ مَا حَرَّمَ رَبُّكُمْ عَلَيْكُمْ
7:190	9	fataʿālā	But exalted	 جَعَلَا لَهُ شُرَكَاءَ فِيمَا آتَاهُمَا فَتَعَالَى اللَّهُ عَمَّا يُشْرِكُونَ
9:40	40	l-ʿul'yā	the highest	 وَجَعَلَ كَلِمَةَ الَّذِينَ كَفَرُوا السُّفْلَىٰ وَكَلِمَةُ اللَّهِ هِيَ الْعُلْيَا
10:18	27	wataʿālā	and Exalted	 قُلْ أَتُنَبِّئُونَ اللَّهَ بِمَا لَا يَعْلَمُ فِي السَّمَاوَاتِ وَلَا فِي الْأَرْضِ سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يُشْرِكُونَ
10:83	17	laʿālin	(was) a tyrant	 وَإِنَّ فِرْعَوْنَ لَعَالٍ فِي الْأَرْضِ وَإِنَّهُ لَمِنَ الْمُسْرِفِينَ
11:82	5	ʿāliyahā	its upside	 فَلَمَّا جَاءَ أَمْرُنَا جَعَلْنَا عَالِيَهَا سَافِلَهَا
13:9	5	l-mutaʿāli	the Most High	 عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْكَبِيرُ الْمُتَعَالِ
15:74	2	ʿāliyahā	its highest (part)	 فَجَعَلْنَا عَالِيَهَا سَافِلَهَا وَأَمْطَرْنَا عَلَيْهِمْ حِجَارَةً مِنْ سِجِّيلٍ
16:1	7	wataʿālā	and Exalted (is) He	 أَتَىٰ أَمْرُ اللَّهِ فَلَا تَسْتَعْجِلُوهُ سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يُشْرِكُونَ
16:3	5	taʿālā	Exalted is He	 خَلَقَ السَّمَاوَاتِ وَالْأَرْضَ بِالْحَقِّ تَعَالَىٰ عَمَّا يُشْرِكُونَ
16:60	9	l-aʿlā	the Highest	 لِلَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ مَثَلُ السَّوْءِ وَلِلَّهِ الْمَثَلُ الْأَعْلَىٰ
17:4	11	walataʿlunna	and surely you will reach	 لَتُفْسِدُنَّ فِي الْأَرْضِ مَرَّتَيْنِ وَلَتَعْلُنَّ عُلُوًّا كَبِيرًا
17:4	12	ʿuluwwan	haughtiness	 لَتُفْسِدُنَّ فِي الْأَرْضِ مَرَّتَيْنِ وَلَتَعْلُنَّ عُلُوًّا كَبِيرًا
17:7	22	ʿalaw	they had conquered	 وَلِيُتَبِّرُوا مَا عَلَوْا تَتْبِيرًا
17:43	2	wataʿālā	and Exalted is He	 سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يَقُولُونَ عُلُوًّا كَبِيرًا
17:43	5	ʿuluwwan	(by) height	 سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يَقُولُونَ عُلُوًّا كَبِيرًا
19:50	9	ʿaliyyan	high	 وَوَهَبْنَا لَهُمْ مِنْ رَحْمَتِنَا وَجَعَلْنَا لَهُمْ لِسَانَ صِدْقٍ عَلِيًّا
19:57	3	ʿaliyyan	high	 وَرَفَعْنَاهُ مَكَانًا عَلِيًّا
20:4	6	l-ʿulā	[the] high	 تَنْزِيلًا مِمَّنْ خَلَقَ الْأَرْضَ وَالسَّمَاوَاتِ الْعُلَى
20:64	10	is'taʿlā	overcomes	 فَأَجْمِعُوا كَيْدَكُمْ ثُمَّ ائْتُوا صَفًّا وَقَدْ أَفْلَحَ الْيَوْمَ مَنِ اسْتَعْلَىٰ
20:68	6	l-aʿlā	(will be) superior	 قُلْنَا لَا تَخَفْ إِنَّكَ أَنْتَ الْأَعْلَىٰ
20:75	10	l-ʿulā	[the] high	 فَأُولَٰئِكَ لَهُمُ الدَّرَجَاتُ الْعُلَىٰ
20:114	1	fataʿālā	So high (above all)	 فَتَعَالَى اللَّهُ الْمَلِكُ الْحَقُّ
22:62	16	l-ʿaliyu	(is) the Most High	 وَأَنَّ مَا يَدْعُونَ مِنْ دُونِهِ هُوَ الْبَاطِلُ وَأَنَّ اللَّهَ هُوَ الْعَلِيُّ الْكَبِيرُ
23:46	7	ʿālīna	haughty	 إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ فَاسْتَكْبَرُوا وَكَانُوا قَوْمًا عَالِينَ
23:91	17	walaʿalā	and surely would have overpowered	 إِذًا لَذَهَبَ كُلُّ إِلَٰهٍ بِمَا خَلَقَ وَلَعَلَا بَعْضُهُمْ عَلَىٰ بَعْضٍ
23:92	4	fataʿālā	exalted is He	 عَالِمِ الْغَيْبِ وَالشَّهَادَةِ فَتَعَالَىٰ عَمَّا يُشْرِكُونَ
23:116	1	fataʿālā	So exalted is	 فَتَعَالَى اللَّهُ الْمَلِكُ الْحَقُّ لَا إِلَٰهَ إِلَّا هُوَ رَبُّ الْعَرْشِ الْكَرِيمِ
27:14	6	waʿuluwwan	and haughtiness	 وَجَحَدُوا بِهَا وَاسْتَيْقَنَتْهَا أَنْفُسُهُمْ ظُلْمًا وَعُلُوًّا
27:31	2	taʿlū	exalt yourselves	 أَلَّا تَعْلُوا عَلَيَّ وَأْتُونِي مُسْلِمِينَ
27:63	17	taʿālā	High is	 أَإِلَٰهٌ مَعَ اللَّهِ تَعَالَى اللَّهُ عَمَّا يُشْرِكُونَ
28:4	3	ʿalā	exalted himself	 إِنَّ فِرْعَوْنَ عَلَا فِي الْأَرْضِ وَجَعَلَ أَهْلَهَا شِيَعًا
28:68	12	wataʿālā	and High is He	 مَا كَانَ لَهُمُ الْخِيَرَةُ سُبْحَانَ اللَّهِ وَتَعَالَىٰ عَمَّا يُشْرِكُونَ
28:83	8	ʿuluwwan	exaltedness	 تِلْكَ الدَّارُ الْآخِرَةُ نَجْعَلُهَا لِلَّذِينَ لَا يُرِيدُونَ عُلُوًّا فِي الْأَرْضِ
30:27	12	l-aʿlā	the highest	 وَلَهُ الْمَثَلُ الْأَعْلَىٰ فِي السَّمَاوَاتِ وَالْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
30:40	20	wataʿālā	and exalted is He	 سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يُشْرِكُونَ
31:30	15	l-ʿaliyu	(is) the Most High	 وَأَنَّ مَا يَدْعُونَ مِنْ دُونِهِ الْبَاطِلُ وَأَنَّ اللَّهَ هُوَ الْعَلِيُّ الْكَبِيرُ
33:28	11	fataʿālayna	then come	 إِنْ كُنْتُنَّ تُرِدْنَ الْحَيَاةَ الدُّنْيَا وَزِينَتَهَا فَتَعَالَيْنَ أُمَتِّعْكُنَّ
34:23	21	l-ʿaliyu	(is) the Most High	 قَالُوا مَاذَا قَالَ رَبُّكُمْ قَالُوا الْحَقَّ وَهُوَ الْعَلِيُّ الْكَبِيرُ
37:8	5	l-aʿlā	[the] exalted	 لَا يَسَّمَّعُونَ إِلَى الْمَلَإِ الْأَعْلَىٰ وَيُقْذَفُونَ مِنْ كُلِّ جَانِبٍ
38:69	7	l-aʿlā	the exalted	 مَا كَانَ لِيَ مِنْ عِلْمٍ بِالْمَلَإِ الْأَعْلَىٰ إِذْ يَخْتَصِمُونَ
38:75	14	l-ʿālīna	the exalted ones	 أَسْتَكْبَرْتَ أَمْ كُنْتَ مِنَ الْعَالِينَ
