surah_ayah	position	string	meaning	ayah_link
2:49	5	fir'ʿawna	(of) Firaun	 وَإِذْ نَجَّيْنَاكُمْ مِنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ
2:50	8	fir'ʿawna	(of) Firaun	 فَأَنْجَيْنَاكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنْتُمْ تَنْظُرُونَ
3:11	3	fir'ʿawna	(of) Firaun	 كَدَأْبِ آلِ فِرْعَوْنَ وَالَّذِينَ مِنْ قَبْلِهِمْ
7:103	8	fir'ʿawna	Firaun	 ثُمَّ بَعَثْنَا مِنْ بَعْدِهِمْ مُوسَىٰ بِآيَاتِنَا إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ فَظَلَمُوا بِهَا
7:104	3	yāfir'ʿawnu	O Firaun	 وَقَالَ مُوسَىٰ يَا فِرْعَوْنُ إِنِّي رَسُولٌ مِنْ رَبِّ الْعَالَمِينَ
7:109	5	fir'ʿawna	(of) Firaun	 قَالَ الْمَلَأُ مِنْ قَوْمِ فِرْعَوْنَ إِنَّ هَٰذَا لَسَاحِرٌ عَلِيمٌ
7:113	3	fir'ʿawna	(to) Firaun	 وَجَاءَ السَّحَرَةُ فِرْعَوْنَ قَالُوا إِنَّ لَنَا لَأَجْرًا إِنْ كُنَّا نَحْنُ الْغَالِبِينَ
7:123	2	fir'ʿawnu	Firaun	 قَالَ فِرْعَوْنُ آمَنْتُمْ بِهِ قَبْلَ أَنْ آذَنَ لَكُمْ
7:127	5	fir'ʿawna	(of) Firaun	 وَقَالَ الْمَلَأُ مِنْ قَوْمِ فِرْعَوْنَ أَتَذَرُ مُوسَىٰ وَقَوْمَهُ لِيُفْسِدُوا فِي الْأَرْضِ
7:130	4	fir'ʿawna	(of) Firaun	 وَلَقَدْ أَخَذْنَا آلَ فِرْعَوْنَ بِالسِّنِينَ وَنَقْصٍ مِنَ الثَّمَرَاتِ
7:137	25	fir'ʿawnu	Firaun	 وَدَمَّرْنَا مَا كَانَ يَصْنَعُ فِرْعَوْنُ وَقَوْمُهُ وَمَا كَانُوا يَعْرِشُونَ
7:141	5	fir'ʿawna	(of) Firaun	 وَإِذْ أَنْجَيْنَاكُمْ مِنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ
8:52	3	fir'ʿawna	(of) Firaun	 كَدَأْبِ آلِ فِرْعَوْنَ وَالَّذِينَ مِنْ قَبْلِهِمْ كَفَرُوا بِآيَاتِ اللَّهِ
8:54	3	fir'ʿawna	(of) Firaun	 كَدَأْبِ آلِ فِرْعَوْنَ وَالَّذِينَ مِنْ قَبْلِهِمْ كَذَّبُوا بِآيَاتِ رَبِّهِمْ
8:54	14	fir'ʿawna	(of) Firaun	 فَأَهْلَكْنَاهُمْ بِذُنُوبِهِمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ
10:75	8	fir'ʿawna	Firaun	 ثُمَّ بَعَثْنَا مِنْ بَعْدِهِمْ مُوسَىٰ وَهَارُونَ إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ
10:79	2	fir'ʿawnu	And Firaun said	 وَقَالَ فِرْعَوْنُ ائْتُونِي بِكُلِّ سَاحِرٍ عَلِيمٍ
10:83	11	fir'ʿawna	Firaun	 عَلَىٰ خَوْفٍ مِنْ فِرْعَوْنَ وَمَلَئِهِمْ أَنْ يَفْتِنَهُمْ
10:83	16	fir'ʿawna	Firaun	 وَإِنَّ فِرْعَوْنَ لَعَالٍ فِي الْأَرْضِ وَإِنَّهُ لَمِنَ الْمُسْرِفِينَ
10:88	6	fir'ʿawna	Firaun	 وَقَالَ مُوسَىٰ رَبَّنَا إِنَّكَ آتَيْتَ فِرْعَوْنَ وَمَلَأَهُ زِينَةً وَأَمْوَالًا
10:90	6	fir'ʿawnu	Firaun	 وَجَاوَزْنَا بِبَنِي إِسْرَائِيلَ الْبَحْرَ فَأَتْبَعَهُمْ فِرْعَوْنُ وَجُنُودُهُ
11:97	2	fir'ʿawna	Firaun	 إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ
11:97	6	fir'ʿawna	(the) command of Firaun	 فَاتَّبَعُوا أَمْرَ فِرْعَوْنَ
11:97	9	fir'ʿawna	(the) command of Firaun	 وَمَا أَمْرُ فِرْعَوْنَ بِرَشِيدٍ
14:6	13	fir'ʿawna	(of) Firaun	 اذْكُرُوا نِعْمَةَ اللَّهِ عَلَيْكُمْ إِذْ أَنْجَاكُمْ مِنْ آلِ فِرْعَوْنَ
17:101	14	fir'ʿawnu	Firaun	 فَقَالَ لَهُ فِرْعَوْنُ إِنِّي لَأَظُنُّكَ يَا مُوسَىٰ مَسْحُورًا
17:102	14	yāfir'ʿawnu	O Firaun	 وَإِنِّي لَأَظُنُّكَ يَا فِرْعَوْنُ مَثْبُورًا
20:24	3	fir'ʿawna	Firaun	 اذْهَبْ إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ
20:43	3	fir'ʿawna	Firaun	 اذْهَبَا إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ
20:60	2	fir'ʿawnu	Firaun	 فَتَوَلَّىٰ فِرْعَوْنُ فَجَمَعَ كَيْدَهُ ثُمَّ أَتَىٰ
20:78	2	fir'ʿawnu	Firaun	 فَأَتْبَعَهُمْ فِرْعَوْنُ بِجُنُودِهِ فَغَشِيَهُمْ مِنَ الْيَمِّ مَا غَشِيَهُمْ
20:79	2	fir'ʿawnu	Firaun	 وَأَضَلَّ فِرْعَوْنُ قَوْمَهُ وَمَا هَدَىٰ
23:46	2	fir'ʿawna	Firaun	 إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ
26:11	2	fir'ʿawna	(of) Firaun	 قَوْمَ فِرْعَوْنَ أَلَا يَتَّقُونَ
26:16	2	fir'ʿawna	(to) Firaun	 فَأْتِيَا فِرْعَوْنَ فَقُولَا إِنَّا رَسُولُ رَبِّ الْعَالَمِينَ
26:23	2	fir'ʿawnu	Firaun said	 قَالَ فِرْعَوْنُ وَمَا رَبُّ الْعَالَمِينَ
26:41	5	lifir'ʿawna	to Firaun	 فَلَمَّا جَاءَ السَّحَرَةُ قَالُوا لِفِرْعَوْنَ أَئِنَّ لَنَا لَأَجْرًا إِنْ كُنَّا نَحْنُ الْغَالِبِينَ
26:44	6	fir'ʿawna	(of) Firaun	 فَأَلْقَوْا حِبَالَهُمْ وَعِصِيَّهُمْ وَقَالُوا بِعِزَّةِ فِرْعَوْنَ إِنَّا لَنَحْنُ الْغَالِبُونَ
26:53	2	fir'ʿawnu	Firaun	 فَأَرْسَلَ فِرْعَوْنُ فِي الْمَدَائِنِ حَاشِرِينَ
