surah:ayah	position	string	meaning	ayah_link
2:54	4	liqawmihi	to his people	 وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنْفُسَكُمْ
2:54	5	yāqawmi	O my people	 يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنْفُسَكُمْ بِاتِّخَاذِكُمُ الْعِجْلَ
2:60	4	liqawmihi	for his people	 وَإِذِ اسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا اضْرِبْ بِعَصَاكَ الْحَجَرَ
2:67	4	liqawmihi	to his people	 وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ إِنَّ اللَّهَ يَأْمُرُكُمْ أَنْ تَذْبَحُوا بَقَرَةً
2:118	23	liqawmin	for people	 تَشَابَهَتْ قُلُوبُهُمْ قَدْ بَيَّنَّا الْآيَاتِ لِقَوْمٍ يُوقِنُونَ
2:164	42	liqawmin	for a people	 وَالسَّحَابِ الْمُسَخَّرِ بَيْنَ السَّمَاءِ وَالْأَرْضِ لَآيَاتٍ لِقَوْمٍ يَعْقِلُونَ
2:230	29	liqawmin	to a people	 وَتِلْكَ حُدُودُ اللَّهِ يُبَيِّنُهَا لِقَوْمٍ يَعْلَمُونَ
2:238	6	waqūmū	and stand up	 وَقُومُوا لِلَّهِ قَانِتِينَ
2:250	14	l-qawmi	the people	 أَفْرِغْ عَلَيْنَا صَبْرًا وَثَبِّتْ أَقْدَامَنَا وَانْصُرْنَا عَلَى الْقَوْمِ الْكَافِرِينَ
2:258	42	l-qawma	the people	 وَاللَّهُ لَا يَهْدِي الْقَوْمَ الظَّالِمِينَ
2:264	37	l-qawma	the people	 وَاللَّهُ لَا يَهْدِي الْقَوْمَ الْكَافِرِينَ
2:286	48	l-qawmi	the people 	 أَنْتَ مَوْلَانَا فَانْصُرْنَا عَلَى الْقَوْمِ الْكَافِرِينَ
3:86	17	l-qawma	the people	 وَاللَّهُ لَا يَهْدِي الْقَوْمَ الظَّالِمِينَ
3:117	14	qawmin	(of) a people	 كَمَثَلِ رِيحٍ فِيهَا صِرٌّ أَصَابَتْ حَرْثَ قَوْمٍ ظَلَمُوا أَنْفُسَهُمْ
3:140	6	l-qawma	the people	 إِنْ يَمْسَسْكُمْ قَرْحٌ فَقَدْ مَسَّ الْقَوْمَ قَرْحٌ مِثْلُهُ
3:147	18	l-qawmi	[the people]	 وَثَبِّتْ أَقْدَامَنَا وَانْصُرْنَا عَلَى الْقَوْمِ الْكَافِرِينَ
4:78	32	l-qawmi	[the] people	 فَمَالِ هَٰؤُلَاءِ الْقَوْمِ لَا يَكَادُونَ يَفْقَهُونَ حَدِيثًا
