surah:ayah	position	string	meaning	ayah_link
28:72	17	bilaylin	night	 مَنْ إِلَٰهٌ غَيْرُ اللَّهِ يَأْتِيكُمْ بِلَيْلٍ تَسْكُنُونَ فِيهِ أَفَلَا تُبْصِرُونَ
79:29	2	laylahā	its night	 وَأَغْطَشَ لَيْلَهَا وَأَخْرَجَ ضُحَاهَا
2:51	5	laylatan	nights	 وَإِذْ وَاعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِنْ بَعْدِهِ
2:164	7	al-layli	of the night	 إِنَّ فِي خَلْقِ السَّمَاوَاتِ وَالْأَرْضِ وَاخْتِلَافِ اللَّيْلِ وَالنَّهَارِ
2:187	3	laylata	(in the) nights	 أُحِلَّ لَكُمْ لَيْلَةَ الصِّيَامِ الرَّفَثُ إِلَىٰ نِسَائِكُمْ
2:187	47	al-layli	the night	 ثُمَّ أَتِمُّوا الصِّيَامَ إِلَى اللَّيْلِ
2:274	4	bi-al-layli	by night	 الَّذِينَ يُنْفِقُونَ أَمْوَالَهُمْ بِاللَّيْلِ وَالنَّهَارِ سِرًّا وَعَلَانِيَةً فَلَهُمْ أَجْرُهُمْ عِنْدَ رَبِّهِمْ
3:27	2	al-layla	the night	 تُولِجُ اللَّيْلَ فِي النَّهَارِ
3:27	8	al-layli	the night	 وَتُولِجُ النَّهَارَ فِي اللَّيْلِ
3:113	12	al-layli	(of) the night	 يَتْلُونَ آيَاتِ اللَّهِ آنَاءَ اللَّيْلِ وَهُمْ يَسْجُدُونَ
3:190	7	al-layli	(of) the night	 إِنَّ فِي خَلْقِ السَّمَاوَاتِ وَالْأَرْضِ وَاخْتِلَافِ اللَّيْلِ وَالنَّهَارِ لَآيَاتٍ لِأُولِي الْأَلْبَابِ
6:13	5	al-layli	the night	 وَلَهُ مَا سَكَنَ فِي اللَّيْلِ وَالنَّهَارِ وَهُوَ السَّمِيعُ الْعَلِيمُ
6:60	4	bi-al-layli	by the night	 وَهُوَ الَّذِي يَتَوَفَّاكُمْ بِاللَّيْلِ وَيَعْلَمُ مَا جَرَحْتُمْ بِالنَّهَارِ
