surah_ayah	position	string	meaning	ayah_link
3:136	13	waniʿ'ma	And an excellent	 وَنِعْمَ أَجْرُ الْعَامِلِينَ
3:173	16	waniʿ'ma	and (He is the) best	 فَزَادَهُمْ إِيمَانًا وَقَالُوا حَسْبُنَا اللَّهُ وَنِعْمَ الْوَكِيلُ
5:95	18	l-naʿami	the cattle	 وَمَنْ قَتَلَهُ مِنْكُمْ مُتَعَمِّدًا فَجَزَاءٌ مِثْلُ مَا قَتَلَ مِنَ النَّعَمِ
7:44	20	naʿam	Yes	 فَهَلْ وَجَدْتُمْ مَا وَعَدَ رَبُّكُمْ حَقًّا قَالُوا نَعَمْ
7:114	2	naʿam	Yes	 قَالَ نَعَمْ وَإِنَّكُمْ لَمِنَ الْمُقَرَّبِينَ
8:40	7	niʿ'ma	Excellent	 وَإِنْ تَوَلَّوْا فَاعْلَمُوا أَنَّ اللَّهَ مَوْلَاكُمْ نِعْمَ الْمَوْلَىٰ
8:40	9	waniʿ'ma	and Excellent	 وَنِعْمَ النَّصِيرُ
13:24	5	faniʿ'ma	And excellent	 سَلَامٌ عَلَيْكُمْ بِمَا صَبَرْتُمْ فَنِعْمَ عُقْبَى الدَّارِ
16:30	18	walaniʿ'ma	And surely excellent	 وَلَدَارُ الْآخِرَةِ خَيْرٌ وَلَنِعْمَ دَارُ الْمُتَّقِينَ
18:31	25	niʿ'ma	Excellent	 نِعْمَ الثَّوَابُ وَحَسُنَتْ مُرْتَفَقًا
22:78	41	faniʿ'ma	so an Excellent	 وَاعْتَصِمُوا بِاللَّهِ هُوَ مَوْلَاكُمْ فَنِعْمَ الْمَوْلَىٰ
22:78	43	waniʿ'ma	and an Excellent	 وَنِعْمَ النَّصِيرُ
26:42	2	naʿam	Yes	 قَالَ نَعَمْ وَإِنَّكُمْ إِذًا لَمِنَ الْمُقَرَّبِينَ
29:58	15	niʿ'ma	Excellent is	 تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا نِعْمَ أَجْرُ الْعَامِلِينَ
31:20	15	niʿamahu	His Bounties	 وَأَسْبَغَ عَلَيْكُمْ نِعَمَهُ ظَاهِرَةً وَبَاطِنَةً
37:18	2	naʿam	Yes	 قُلْ نَعَمْ وَأَنْتُمْ دَاخِرُونَ
37:75	4	falaniʿ'ma	and Best	 وَلَقَدْ نَادَانَا نُوحٌ فَلَنِعْمَ الْمُجِيبُونَ
38:30	4	niʿ'ma	an excellent	 وَوَهَبْنَا لِدَاوُودَ سُلَيْمَانَ نِعْمَ الْعَبْدُ إِنَّهُ أَوَّابٌ
38:44	11	niʿ'ma	an excellent	 إِنَّا وَجَدْنَاهُ صَابِرًا نِعْمَ الْعَبْدُ إِنَّهُ أَوَّابٌ
39:74	14	faniʿ'ma	So excellent	 نَتَبَوَّأُ مِنَ الْجَنَّةِ حَيْثُ نَشَاءُ فَنِعْمَ أَجْرُ الْعَامِلِينَ
51:48	3	faniʿ'ma	how excellent	 وَالْأَرْضَ فَرَشْنَاهَا فَنِعْمَ الْمَاهِدُونَ
77:23	2	faniʿ'ma	and Best	 فَقَدَرْنَا فَنِعْمَ الْقَادِرُونَ
89:15	8	wanaʿʿamahu	and favors him	 فَأَمَّا الْإِنْسَانُ إِذَا مَا ابْتَلَاهُ رَبُّهُ فَأَكْرَمَهُ وَنَعَّمَهُ فَيَقُولُ رَبِّي أَكْرَمَنِ
1:7	3	anʿamta	You have bestowed (Your) Favors	 صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ
2:40	4	niʿ'matiya	My Favor	 اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي
2:40	6	anʿamtu	I bestowed	 اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي
2:47	4	niʿ'matiya	My Favor	 اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ
2:47	6	anʿamtu	I bestowed	 اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ
2:122	4	niʿ'matiya	My Favor	 اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ
2:122	6	anʿamtu	I bestowed	 يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ
2:150	28	niʿ'matī	My favor	 فَلَا تَخْشَوْهُمْ وَاخْشَوْنِي وَلِأُتِمَّ نِعْمَتِي عَلَيْكُمْ وَلَعَلَّكُمْ تَهْتَدُونَ
2:211	11	niʿ'mata	Favor	 وَمَنْ يُبَدِّلْ نِعْمَةَ اللَّهِ مِنْ بَعْدِ مَا جَاءَتْهُ فَإِنَّ اللَّهَ شَدِيدُ الْعِقَابِ
2:231	27	niʿ'mata	(the) Favors	 وَاذْكُرُوا نِعْمَتَ اللَّهِ عَلَيْكُمْ وَمَا أَنْزَلَ عَلَيْكُمْ مِنَ الْكِتَابِ
2:271	4	faniʿimmā	then good	 إِنْ تُبْدُوا الصَّدَقَاتِ فَنِعِمَّا هِيَ
3:14	15	wal-anʿāmi	and [the] cattle	 وَالْقَنَاطِيرِ الْمُقَنْطَرَةِ مِنَ الذَّهَبِ وَالْفِضَّةِ وَالْخَيْلِ الْمُسَوَّمَةِ وَالْأَنْعَامِ
3:103	8	niʿ'mata	(the) Favor	 وَاذْكُرُوا نِعْمَتَ اللَّهِ عَلَيْكُمْ إِذْ كُنْتُمْ أَعْدَاءً فَأَلَّفَ بَيْنَ قُلُوبِكُمْ
3:103	18	biniʿ'matihi	by His Favor	 فَأَلَّفَ بَيْنَ قُلُوبِكُمْ فَأَصْبَحْتُمْ بِنِعْمَتِهِ إِخْوَانًا
3:171	2	biniʿ'matin	of Favor	 يَسْتَبْشِرُونَ بِنِعْمَةٍ مِنَ اللَّهِ وَفَضْلٍ
