position	link_query
96:1:1	qrA
96:1:2	smw
96:1:3	rbb
96:1:4	%7Bl%7Ea*iY
96:1:5	xlq
96:2:1	xlq
96:2:2	Ans
96:2:4	Elq
96:3:1	qrA
96:3:2	rbb
96:3:3	krm
96:4:1	%7Bl%7Ea*iY
96:4:2	Elm
96:4:3	qlm
96:5:1	Elm
96:5:2	Ans
96:5:5	Elm
96:6:3	Ans
96:6:4	Tgy
96:7:2	rAy
96:7:3	gny
96:8:2	%3CilaY%60
96:8:3	rbb
96:8:4	rjE
96:9:1	rAy
96:9:2	%7Bl%7Ea*iY
96:9:3	nhy
96:10:1	Ebd
96:10:2	%3Ci*aA
96:10:3	Slw
96:11:1	rAy
96:11:3	kwn
96:11:5	hdy
96:12:2	Amr
96:12:3	wqy
96:13:1	rAy
96:13:3	k*b
96:13:4	wly
96:14:2	Elm
96:14:4	Alh
96:14:5	rAy
96:15:4	nhy
96:15:5	sfE
96:15:6	nSy
96:16:1	nSy
96:16:2	k*b
96:16:3	xTA
96:17:1	dEw
96:17:2	ndw
96:18:1	dEw
96:18:2	zbn
96:19:3	TwE
96:19:4	sjd
96:19:5	qrb
96:19:6	smw
68:1:2	qlm
68:1:4	sTr
68:1:5	smw
68:2:3	nEm
68:2:4	rbb
68:2:5	jnn
68:3:3	Ajr
68:3:4	gyr
68:3:5	mnn
68:4:3	xlq
68:4:4	EZm
68:5:1	bSr
68:5:2	bSr
68:6:2	ftn
68:7:2	rbb
68:7:4	Elm
68:7:6	Dll
68:7:8	sbl
68:7:10	Elm
68:7:11	hdy
68:8:2	TwE
68:8:3	k*b
68:9:1	wdd
68:9:3	dhn
68:9:4	dhn
68:10:2	TwE
68:10:3	kll
68:10:4	Hlf
68:10:5	mhn
68:11:1	hmz
68:11:2	m$y
68:11:3	nmm
68:12:1	mnE
68:12:2	xyr
68:12:3	Edw
68:12:4	Avm
68:13:1	Etl
68:13:2	bEd
68:13:4	znm
68:14:2	kwn
68:14:4	mwl
68:14:5	bny
68:15:1	%3Ci*aA
68:15:2	tlw
68:15:4	Ayy
68:15:5	qwl
68:15:6	sTr
68:15:7	Awl
68:16:1	wsm
68:16:3	xrTm
68:34:2	wqy
68:34:3	End
68:34:4	rbb
68:34:5	jnn
68:34:6	nEm
68:35:1	jEl
68:35:2	slm
68:35:3	jrm
68:36:3	kyf
68:36:4	Hkm
68:37:1	%3Eam
68:37:3	ktb
68:37:5	drs
68:38:5	xyr
68:39:1	%3Eam
68:39:3	ymn
68:39:5	blg
68:39:6	%3CilaY%60
68:39:7	ywm
68:39:8	qwm
68:39:12	Hkm
68:39:13	smw
68:40:1	sAl
68:40:4	zEm
68:41:1	%3Eam
68:41:3	$rk
68:41:4	Aty
68:41:5	$rk
68:41:7	kwn
68:41:8	Sdq
68:42:1	ywm
68:42:2	k$f
68:42:4	swq
68:42:5	dEw
68:42:6	%3CilaY%60
68:42:7	sjd
68:42:9	TwE
68:43:1	x$E
68:43:2	bSr
68:43:3	rhq
68:43:4	*ll
68:43:6	kwn
68:43:7	dEw
68:43:8	%3CilaY%60
68:43:9	sjd
68:43:11	slm
