position	link_query
1:1:1	smw
96:2:3	
96:5:3	
96:5:4	
96:6:1	
96:6:2	
96:7:1	
96:8:1	
96:11:2	
96:11:4	
96:12:1	
96:13:2	
96:14:1	
96:14:3	
96:15:1	
96:15:2	
96:15:3	
96:19:1	
96:19:2	
68:1:1	
68:1:3	
68:2:1	
68:2:2	
68:3:1	
68:3:2	
68:4:1	
68:4:2	
68:6:1	
68:7:1	
68:7:3	
68:7:5	
68:7:7	
68:7:9	
68:8:1	
68:9:2	
68:10:1	
68:13:3	
68:14:1	
68:14:3	
68:15:3	
68:16:2	
68:34:1	
68:36:1	
68:36:2	
68:37:2	
68:37:4	
68:38:1	
68:38:2	
68:38:3	
68:38:4	
68:39:2	
68:39:4	
68:39:9	
68:39:10	
68:39:11	
68:40:2	
68:40:3	
68:41:2	
68:41:6	
68:42:3	
68:42:8	
68:43:5	
68:43:10	
68:44:2	
68:44:4	
68:44:7	
68:44:9	
68:45:2	
68:45:3	
68:46:4	
68:46:5	
68:47:4	
68:51:1	
68:51:7	
68:51:11	
68:52:1	
68:52:2	
73:1:1	
73:3:2	
73:3:4	
73:4:1	
73:4:3	
73:5:1	
73:5:3	
73:6:1	
73:6:4	
73:7:1	
73:7:2	
73:7:3	
73:9:4	
73:9:7	
73:12:1	
73:12:2	
73:13:2	
73:15:1	
73:15:6	
73:15:7	
73:15:10	
73:16:2	
73:17:3	
73:18:3	
73:19:1	
73:19:2	
73:19:4	
74:1:1	
74:6:1	
74:8:3	
74:9:1	
74:9:2	
74:10:1	
74:11:2	
74:12:2	
74:14:2	
74:15:1	
74:15:3	
74:16:1	
74:16:2	
74:18:1	
74:20:1	
74:21:1	
74:22:1	
74:23:1	
74:24:2	
74:24:3	
74:25:1	
74:25:2	
74:26:2	
74:27:1	
74:27:3	
74:27:4	
74:28:1	
74:28:3	
74:30:1	
74:31:1	
74:31:7	
74:31:22	
74:31:30	
74:31:34	
74:31:37	
74:31:39	
74:31:42	
74:31:45	
74:31:47	
74:31:52	
74:31:53	
74:31:54	
74:32:1	
74:35:1	
74:37:1	
74:37:3	
74:37:4	
74:37:6	
74:38:3	
74:40:1	
74:41:1	
74:42:1	
74:42:3	
74:42:4	
74:43:2	
74:43:4	
74:44:1	
74:45:3	
74:47:1	
74:48:1	
74:49:1	
74:49:2	
74:49:3	
74:50:1	
74:51:2	
74:52:1	
74:52:5	
74:52:6	
74:53:1	
74:53:2	
74:53:3	
74:54:1	
74:54:2	
74:55:1	
74:56:1	
74:56:4	
74:56:7	
1:5:1	
1:5:3	
1:7:4	
1:7:7	
1:7:8	
111:2:1	
111:2:3	
111:2:5	
111:3:3	
111:5:1	
111:5:4	
81:9:1	
81:14:3	
81:15:1	
81:19:1	
81:20:1	
81:20:4	
81:21:2	
81:22:1	
81:23:1	
81:24:1	
81:24:2	
81:24:3	
81:25:1	
81:25:2	
81:26:1	
81:27:1	
81:27:2	
81:28:1	
81:28:3	
81:28:4	
81:29:1	
81:29:4	
87:6:2	
87:7:2	
87:7:5	
87:7:8	
87:9:2	
87:10:2	
87:13:1	
87:13:2	
87:13:4	
87:13:5	
87:14:1	
87:14:3	
87:16:1	
87:18:1	
87:18:2	
87:18:3	
87:19:3	
92:3:1	
92:4:1	
92:5:2	
92:8:2	
92:11:1	
92:11:3	
92:12:1	
92:12:2	
92:13:1	
92:13:2	
92:15:1	
92:19:1	
92:19:4	
92:21:1	
89:5:1	
89:5:2	
89:5:3	
89:5:5	
89:6:1	
89:7:2	
89:8:2	
89:8:5	
89:9:1	
89:10:1	
89:10:2	
89:11:3	
89:12:2	
89:13:2	
89:14:1	
89:15:4	
89:16:3	
89:16:6	
89:17:1	
89:17:2	
89:17:3	
89:18:1	
89:18:3	
89:21:1	
