surah:ayah	position	word	meaning	ayah_link
2:36	2	l-shayṭānu	the Shaitaan	<a style='color:#95C7FF' href='https://quran.com/2:36/tafsirs/toBeReplaced'> فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ</a>
2:102	4	l-shayāṭīnu	the devils	<a style='color:#95C7FF' href='https://quran.com/2:102/tafsirs/toBeReplaced'> وَاتَّبَعُوا مَا تَتْلُو الشَّيَاطِينُ عَلَىٰ مُلْكِ سُلَيْمَانَ</a>
2:102	12	l-shayāṭīna	the devils	<a style='color:#95C7FF' href='https://quran.com/2:102/tafsirs/toBeReplaced'> وَمَا كَفَرَ سُلَيْمَانُ وَلَٰكِنَّ الشَّيَاطِينَ كَفَرُوا</a>
2:168	12	l-shayṭāni	the Shaitaan	<a style='color:#95C7FF' href='https://quran.com/2:168/tafsirs/toBeReplaced'> كُلُوا مِمَّا فِي الْأَرْضِ حَلَالًا طَيِّبًا وَلَا تَتَّبِعُوا خُطُوَاتِ الشَّيْطَانِ</a>
2:208	11	l-shayṭāni	(of) the Shaitaan	<a style='color:#95C7FF' href='https://quran.com/2:208/tafsirs/toBeReplaced'> ادْخُلُوا فِي السِّلْمِ كَافَّةً وَلَا تَتَّبِعُوا خُطُوَاتِ الشَّيْطَانِ</a>
2:268	1	al-shayṭānu	The Shaitaan	<a style='color:#95C7FF' href='https://quran.com/2:268/tafsirs/toBeReplaced'> الشَّيْطَانُ يَعِدُكُمُ الْفَقْرَ وَيَأْمُرُكُمْ بِالْفَحْشَاءِ</a>
2:275	11	l-shayṭānu	the Shaitaan	<a style='color:#95C7FF' href='https://quran.com/2:275/tafsirs/toBeReplaced'> الَّذِينَ يَأْكُلُونَ الرِّبَا لَا يَقُومُونَ إِلَّا كَمَا يَقُومُ الَّذِي يَتَخَبَّطُهُ الشَّيْطَانُ مِنَ الْمَسِّ</a>
3:36	23	l-shayṭāni	the Shaitaan	<a style='color:#95C7FF' href='https://quran.com/3:36/tafsirs/toBeReplaced'> وَإِنِّي أُعِيذُهَا بِكَ وَذُرِّيَّتَهَا مِنَ الشَّيْطَانِ الرَّجِيمِ</a>
3:155	10	l-shayṭānu	the Shaitaan	<a style='color:#95C7FF' href='https://quran.com/3:155/tafsirs/toBeReplaced'> إِنَّمَا اسْتَزَلَّهُمُ الشَّيْطَانُ بِبَعْضِ مَا كَسَبُوا</a>
3:175	3	l-shayṭānu	the Shaitaan	<a style='color:#95C7FF' href='https://quran.com/3:175/tafsirs/toBeReplaced'> إِنَّمَا ذَٰلِكُمُ الشَّيْطَانُ يُخَوِّفُ أَوْلِيَاءَهُ فَلَا تَخَافُوهُمْ</a>
