surah:ayah	position	word	meaning	ayah_link
28:27	22	ashuqqa	make it difficult	 فَإِنْ أَتْمَمْتَ عَشْرًا فَمِنْ عِنْدِكَ وَمَا أُرِيدُ أَنْ أَشُقَّ عَلَيْكَ
80:26	2	shaqaqnā	We cleaved	 ثُمَّ شَقَقْنَا الْأَرْضَ شَقًّا
4:115	2	yushāqiqi	opposes	 وَمَنْ يُشَاقِقِ الرَّسُولَ مِنْ بَعْدِ مَا تَبَيَّنَ لَهُ الْهُدَىٰ وَيَتَّبِعْ غَيْرَ سَبِيلِ الْمُؤْمِنِينَ نُوَلِّهِ مَا تَوَلَّىٰ
8:13	3	shāqqū	opposed	 ذَٰلِكَ بِأَنَّهُمْ شَاقُّوا اللَّهَ وَرَسُولَهُ
8:13	7	yushāqiqi	opposes	 وَمَنْ يُشَاقِقِ اللَّهَ وَرَسُولَهُ فَإِنَّ اللَّهَ شَدِيدُ الْعِقَابِ
16:27	10	tushāqqūna	oppose	 وَيَقُولُ أَيْنَ شُرَكَائِيَ الَّذِينَ كُنْتُمْ تُشَاقُّونَ فِيهِمْ
47:32	8	washāqqū	and oppose	 وَشَاقُّوا الرَّسُولَ مِنْ بَعْدِ مَا تَبَيَّنَ لَهُمُ الْهُدَىٰ
59:4	3	shāqqū	they opposed	 ذَٰلِكَ بِأَنَّهُمْ شَاقُّوا اللَّهَ وَرَسُولَهُ
59:4	7	yushāqqi	opposes	 وَمَنْ يُشَاقِّ اللَّهَ فَإِنَّ اللَّهَ شَدِيدُ الْعِقَابِ
2:74	22	yashaqqaqu	split	 وَإِنَّ مِنْهَا لَمَا يَشَّقَّقُ فَيَخْرُجُ مِنْهُ الْمَاءُ
25:25	2	tashaqqaqu	will split open	 وَيَوْمَ تَشَقَّقُ السَّمَاءُ بِالْغَمَامِ وَنُزِّلَ الْمَلَائِكَةُ تَنْزِيلًا
50:44	2	tashaqqaqu	will split	 يَوْمَ تَشَقَّقُ الْأَرْضُ عَنْهُمْ سِرَاعًا ذَٰلِكَ حَشْرٌ عَلَيْنَا يَسِيرٌ
19:90	5	watanshaqqu	and splits asunder	 تَكَادُ السَّمَاوَاتُ يَتَفَطَّرْنَ مِنْهُ وَتَنْشَقُّ الْأَرْضُ
54:1	3	wa-inshaqqa	and has split	 اقْتَرَبَتِ السَّاعَةُ وَانْشَقَّ الْقَمَرُ
55:37	2	inshaqqati	is split	 فَإِذَا انْشَقَّتِ السَّمَاءُ فَكَانَتْ وَرْدَةً كَالدِّهَانِ
69:16	1	wa-inshaqqati	And will split	 وَانْشَقَّتِ السَّمَاءُ فَهِيَ يَوْمَئِذٍ وَاهِيَةٌ
84:1	3	inshaqqat	is split asunder	 إِذَا السَّمَاءُ انْشَقَّتْ
13:34	8	ashaqqu	(is) harder	 لَهُمْ عَذَابٌ فِي الْحَيَاةِ الدُّنْيَا وَلَعَذَابُ الْآخِرَةِ أَشَقُّ
80:26	4	shaqqan	splitting	 ثُمَّ شَقَقْنَا الْأَرْضَ شَقًّا
16:7	9	bishiqqi	with great trouble	 وَتَحْمِلُ أَثْقَالَكُمْ إِلَىٰ بَلَدٍ لَمْ تَكُونُوا بَالِغِيهِ إِلَّا بِشِقِّ الْأَنْفُسِ
9:42	11	l-shuqatu	the distance	 وَلَٰكِنْ بَعُدَتْ عَلَيْهِمُ الشُّقَّةُ
2:137	14	shiqāqin	dissension	 وَإِنْ تَوَلَّوْا فَإِنَّمَا هُمْ فِي شِقَاقٍ
2:176	13	shiqāqin	schism	 وَإِنَّ الَّذِينَ اخْتَلَفُوا فِي الْكِتَابِ لَفِي شِقَاقٍ بَعِيدٍ
4:35	3	shiqāqa	a dissension	 وَإِنْ خِفْتُمْ شِقَاقَ بَيْنِهِمَا فَابْعَثُوا حَكَمًا مِنْ أَهْلِهِ وَحَكَمًا مِنْ أَهْلِهَا إِنْ يُرِيدَا إِصْلَاحًا يُوَفِّقِ اللَّهُ بَيْنَهُمَا
11:89	4	shiqāqī	my dissension	 وَيَا قَوْمِ لَا يَجْرِمَنَّكُمْ شِقَاقِي أَنْ يُصِيبَكُمْ مِثْلُ مَا أَصَابَ قَوْمَ نُوحٍ أَوْ قَوْمَ هُودٍ أَوْ قَوْمَ صَالِحٍ
22:53	15	shiqāqin	schism	 وَإِنَّ الظَّالِمِينَ لَفِي شِقَاقٍ بَعِيدٍ
38:2	6	washiqāqin	and opposition	 بَلِ الَّذِينَ كَفَرُوا فِي عِزَّةٍ وَشِقَاقٍ
41:52	16	shiqāqin	opposition	 مَنْ أَضَلُّ مِمَّنْ هُوَ فِي شِقَاقٍ بَعِيدٍ
