surah:ayah	position	word	meaning	ayah_link
3:3	11	wal-injīla	and the Injeel	 وَأَنْزَلَ التَّوْرَاةَ وَالْإِنْجِيلَ
3:48	5	wal-injīla	and the Injeel	 وَيُعَلِّمُهُ الْكِتَابَ وَالْحِكْمَةَ وَالتَّوْرَاةَ وَالْإِنْجِيلَ
3:65	10	wal-injīlu	and the Injeel	 وَمَا أُنْزِلَتِ التَّوْرَاةُ وَالْإِنْجِيلُ إِلَّا مِنْ بَعْدِهِ
5:46	14	l-injīla	the Injeel	 وَآتَيْنَاهُ الْإِنْجِيلَ فِيهِ هُدًى وَنُورٌ
5:47	3	l-injīli	(of) the Injeel	 وَلْيَحْكُمْ أَهْلُ الْإِنْجِيلِ بِمَا أَنْزَلَ اللَّهُ فِيهِ
5:66	5	wal-injīla	and the Injeel	 وَلَوْ أَنَّهُمْ أَقَامُوا التَّوْرَاةَ وَالْإِنْجِيلَ وَمَا أُنْزِلَ إِلَيْهِمْ مِنْ رَبِّهِمْ لَأَكَلُوا مِنْ فَوْقِهِمْ وَمِنْ تَحْتِ أَرْجُلِهِمْ
5:68	10	wal-injīla	and the Injeel	 لَسْتُمْ عَلَىٰ شَيْءٍ حَتَّىٰ تُقِيمُوا التَّوْرَاةَ وَالْإِنْجِيلَ
5:110	26	wal-injīla	and the Injeel	 وَإِذْ عَلَّمْتُكَ الْكِتَابَ وَالْحِكْمَةَ وَالتَّوْرَاةَ وَالْإِنْجِيلَ
7:157	12	wal-injīli	and the Injeel	 الَّذِينَ يَتَّبِعُونَ الرَّسُولَ النَّبِيَّ الْأُمِّيَّ الَّذِي يَجِدُونَهُ مَكْتُوبًا عِنْدَهُمْ فِي التَّوْرَاةِ وَالْإِنْجِيلِ
9:111	22	wal-injīli	and the Injeel	 وَعْدًا عَلَيْهِ حَقًّا فِي التَّوْرَاةِ وَالْإِنْجِيلِ وَالْقُرْآنِ
48:29	31	l-injīli	the Injeel	 وَمَثَلُهُمْ فِي الْإِنْجِيلِ كَزَرْعٍ أَخْرَجَ شَطْأَهُ فَآزَرَهُ فَاسْتَغْلَظَ
57:27	11	l-injīla	the Injeel	 وَقَفَّيْنَا بِعِيسَى ابْنِ مَرْيَمَ وَآتَيْنَاهُ الْإِنْجِيلَ
