surah:ayah	position	word	meaning	ayah_link
2:133	22	wa-is'ḥāqa	and Isaac 	 قَالُوا نَعْبُدُ إِلَٰهَكَ وَإِلَٰهَ آبَائِكَ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ
2:136	12	wa-is'ḥāqa	and Isaac	 وَمَا أُنْزِلَ إِلَيْنَا وَمَا أُنْزِلَ إِلَىٰ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ
2:140	6	wa-is'ḥāqa	and Isaac	 أَمْ تَقُولُونَ إِنَّ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ وَيَعْقُوبَ وَالْأَسْبَاطَ كَانُوا هُودًا أَوْ نَصَارَىٰ
3:84	12	wa-is'ḥāqa	and Isaac	 قُلْ آمَنَّا بِاللَّهِ وَمَا أُنْزِلَ عَلَيْنَا وَمَا أُنْزِلَ عَلَىٰ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ وَيَعْقُوبَ وَالْأَسْبَاطِ
4:163	15	wa-is'ḥāqa	and Isaac	 وَأَوْحَيْنَا إِلَىٰ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ وَيَعْقُوبَ
6:84	3	is'ḥāqa	Isaac	 وَوَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ كُلًّا هَدَيْنَا
11:71	5	bi-is'ḥāqa	of Isaac	 وَامْرَأَتُهُ قَائِمَةٌ فَضَحِكَتْ فَبَشَّرْنَاهَا بِإِسْحَاقَ
11:71	8	is'ḥāqa	Isaac	 وَمِنْ وَرَاءِ إِسْحَاقَ يَعْقُوبَ
12:6	21	wa-is'ḥāqa	and Isaac	 كَمَا أَتَمَّهَا عَلَىٰ أَبَوَيْكَ مِنْ قَبْلُ إِبْرَاهِيمَ وَإِسْحَاقَ
12:38	5	wa-is'ḥāqa	and Isaac	 وَاتَّبَعْتُ مِلَّةَ آبَائِي إِبْرَاهِيمَ وَإِسْحَاقَ وَيَعْقُوبَ
14:39	9	wa-is'ḥāqa	and Isaac	 الْحَمْدُ لِلَّهِ الَّذِي وَهَبَ لِي عَلَى الْكِبَرِ إِسْمَاعِيلَ وَإِسْحَاقَ
19:49	10	is'ḥāqa	Isaac	 فَلَمَّا اعْتَزَلَهُمْ وَمَا يَعْبُدُونَ مِنْ دُونِ اللَّهِ وَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ
21:72	3	is'ḥāqa	Isaac	 وَوَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ نَافِلَةً وَكُلًّا جَعَلْنَا صَالِحِينَ
29:27	3	is'ḥāqa	Isaac	 وَوَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ وَجَعَلْنَا فِي ذُرِّيَّتِهِ النُّبُوَّةَ وَالْكِتَابَ
37:112	2	bi-is'ḥāqa	of Isaac	 وَبَشَّرْنَاهُ بِإِسْحَاقَ نَبِيًّا مِنَ الصَّالِحِينَ
37:113	4	is'ḥāqa	Isaac	 وَبَارَكْنَا عَلَيْهِ وَعَلَىٰ إِسْحَاقَ
38:45	4	wa-is'ḥāqa	and Isaac	 وَاذْكُرْ عِبَادَنَا إِبْرَاهِيمَ وَإِسْحَاقَ وَيَعْقُوبَ
