surah:ayah	position	word	meaning	ayah_link
5:75	25	yu'fakūna	they are deluded	 انْظُرْ كَيْفَ نُبَيِّنُ لَهُمُ الْآيَاتِ ثُمَّ انْظُرْ أَنَّىٰ يُؤْفَكُونَ
6:95	17	tu'fakūna	are you deluded	 ذَٰلِكُمُ اللَّهُ فَأَنَّىٰ تُؤْفَكُونَ
7:117	11	yafikūna	they (were) falsifying	 أَنْ أَلْقِ عَصَاكَ فَإِذَا هِيَ تَلْقَفُ مَا يَأْفِكُونَ
9:30	23	yu'fakūna	deluded are they	 يُضَاهِئُونَ قَوْلَ الَّذِينَ كَفَرُوا مِنْ قَبْلُ قَاتَلَهُمُ اللَّهُ أَنَّىٰ يُؤْفَكُونَ
10:34	17	tu'fakūna	you are deluded	 قُلِ اللَّهُ يَبْدَأُ الْخَلْقَ ثُمَّ يُعِيدُهُ فَأَنَّىٰ تُؤْفَكُونَ
26:45	8	yafikūna	they falsified	 فَأَلْقَىٰ مُوسَىٰ عَصَاهُ فَإِذَا هِيَ تَلْقَفُ مَا يَأْفِكُونَ
29:61	13	yu'fakūna	are they deluded	 وَسَخَّرَ الشَّمْسَ وَالْقَمَرَ لَيَقُولُنَّ اللَّهُ فَأَنَّىٰ يُؤْفَكُونَ
30:55	12	yu'fakūna	deluded	 يُقْسِمُ الْمُجْرِمُونَ مَا لَبِثُوا غَيْرَ سَاعَةٍ كَذَٰلِكَ كَانُوا يُؤْفَكُونَ
35:3	21	tu'fakūna	(are) you deluded	 لَا إِلَٰهَ إِلَّا هُوَ فَأَنَّىٰ تُؤْفَكُونَ
40:62	12	tu'fakūna	are you deluded	 ذَٰلِكُمُ اللَّهُ رَبُّكُمْ خَالِقُ كُلِّ شَيْءٍ لَا إِلَٰهَ إِلَّا هُوَ فَأَنَّىٰ تُؤْفَكُونَ
40:63	2	yu'faku	were deluded	 كَذَٰلِكَ يُؤْفَكُ الَّذِينَ كَانُوا بِآيَاتِ اللَّهِ يَجْحَدُونَ
43:87	8	yu'fakūna	are they deluded	 وَلَئِنْ سَأَلْتَهُمْ مَنْ خَلَقَهُمْ لَيَقُولُنَّ اللَّهُ فَأَنَّىٰ يُؤْفَكُونَ
46:22	3	litafikanā	to turn us away	 قَالُوا أَجِئْتَنَا لِتَأْفِكَنَا عَنْ آلِهَتِنَا
51:9	1	yu'faku	Deluded away	 يُؤْفَكُ عَنْهُ مَنْ أُفِكَ
51:9	4	ufika	is deluded	 يُؤْفَكُ عَنْهُ مَنْ أُفِكَ
63:4	22	yu'fakūna	are they deluded	 هُمُ الْعَدُوُّ فَاحْذَرْهُمْ قَاتَلَهُمُ اللَّهُ أَنَّىٰ يُؤْفَكُونَ
24:11	4	bil-if'ki	the lie	 إِنَّ الَّذِينَ جَاءُوا بِالْإِفْكِ عُصْبَةٌ مِنْكُمْ
24:12	11	if'kun	(is) a lie	 ظَنَّ الْمُؤْمِنُونَ وَالْمُؤْمِنَاتُ بِأَنْفُسِهِمْ خَيْرًا وَقَالُوا هَٰذَا إِفْكٌ
25:4	7	if'kun	a lie	 وَقَالَ الَّذِينَ كَفَرُوا إِنْ هَٰذَا إِلَّا إِفْكٌ افْتَرَاهُ
29:17	8	if'kan	falsehood	 إِنَّمَا تَعْبُدُونَ مِنْ دُونِ اللَّهِ أَوْثَانًا وَتَخْلُقُونَ إِفْكًا
34:43	22	if'kun	a lie	 وَقَالُوا مَا هَٰذَا إِلَّا إِفْكٌ مُفْتَرًى
37:86	1	a-if'kan	Is it falsehood 	 أَئِفْكًا آلِهَةً دُونَ اللَّهِ تُرِيدُونَ
37:151	4	if'kihim	their falsehood	 أَلَا إِنَّهُمْ مِنْ إِفْكِهِمْ لَيَقُولُونَ
46:11	18	if'kun	(is) a lie	 وَإِذْ لَمْ يَهْتَدُوا بِهِ فَسَيَقُولُونَ هَٰذَا إِفْكٌ قَدِيمٌ
46:28	14	if'kuhum	(was) their falsehood	 بَلْ ضَلُّوا عَنْهُمْ وَذَٰلِكَ إِفْكُهُمْ وَمَا كَانُوا يَفْتَرُونَ
26:222	4	affākin	liar	 تَنَزَّلُ عَلَىٰ كُلِّ أَفَّاكٍ أَثِيمٍ
45:7	3	affākin	liar	 وَيْلٌ لِكُلِّ أَفَّاكٍ أَثِيمٍ
9:70	15	wal-mu'tafikāti	and the towns overturned	 وَقَوْمِ إِبْرَاهِيمَ وَأَصْحَابِ مَدْيَنَ وَالْمُؤْتَفِكَاتِ
53:53	1	wal-mu'tafikata	And the overturned cities	 وَالْمُؤْتَفِكَةَ أَهْوَىٰ
69:9	5	wal-mu'tafikātu	and the overturned cities	 وَجَاءَ فِرْعَوْنُ وَمَنْ قَبْلَهُ وَالْمُؤْتَفِكَاتُ بِالْخَاطِئَةِ
