surah:ayah	position	word	meaning	ayah_link
9:66	2	taʿtadhirū	make excuse	 لَا تَعْتَذِرُوا قَدْ كَفَرْتُمْ بَعْدَ إِيمَانِكُمْ
9:94	1	yaʿtadhirūna	They will make excuses	 يَعْتَذِرُونَ إِلَيْكُمْ إِذَا رَجَعْتُمْ إِلَيْهِمْ
9:94	8	taʿtadhirū	make excuse	 قُلْ لَا تَعْتَذِرُوا لَنْ نُؤْمِنَ لَكُمْ قَدْ نَبَّأَنَا اللَّهُ مِنْ أَخْبَارِكُمْ
66:7	5	taʿtadhirū	make excuses	 يَا أَيُّهَا الَّذِينَ كَفَرُوا لَا تَعْتَذِرُوا الْيَوْمَ
77:36	4	fayaʿtadhirūna	to make excuses	 وَلَا يُؤْذَنُ لَهُمْ فَيَعْتَذِرُونَ
18:76	13	ʿudh'ran	an excuse	 فَلَا تُصَاحِبْنِي قَدْ بَلَغْتَ مِنْ لَدُنِّي عُذْرًا
77:6	1	ʿudh'ran	(As) justification	 عُذْرًا أَوْ نُذْرًا
75:15	3	maʿādhīrahu	his excuses	 وَلَوْ أَلْقَىٰ مَعَاذِيرَهُ
7:164	15	maʿdhiratan	To be absolved	 قَالُوا مَعْذِرَةً إِلَىٰ رَبِّكُمْ وَلَعَلَّهُمْ يَتَّقُونَ
30:57	6	maʿdhiratuhum	their excuses	 فَيَوْمَئِذٍ لَا يَنْفَعُ الَّذِينَ ظَلَمُوا مَعْذِرَتُهُمْ وَلَا هُمْ يُسْتَعْتَبُونَ
40:52	5	maʿdhiratuhum	their excuse	 يَوْمَ لَا يَنْفَعُ الظَّالِمِينَ مَعْذِرَتُهُمْ وَلَهُمُ اللَّعْنَةُ وَلَهُمْ سُوءُ الدَّارِ
9:90	2	l-muʿadhirūna	the ones who make excuses	 وَجَاءَ الْمُعَذِّرُونَ مِنَ الْأَعْرَابِ لِيُؤْذَنَ لَهُمْ
