surah:ayah	position	word	meaning	ayah_link
4:154	13	taʿdū	transgress	 وَقُلْنَا لَهُمْ لَا تَعْدُوا فِي السَّبْتِ وَأَخَذْنَا مِنْهُمْ مِيثَاقًا غَلِيظًا
7:163	9	yaʿdūna	they transgressed	 وَاسْأَلْهُمْ عَنِ الْقَرْيَةِ الَّتِي كَانَتْ حَاضِرَةَ الْبَحْرِ إِذْ يَعْدُونَ فِي السَّبْتِ
18:28	12	taʿdu	pass beyond	 وَلَا تَعْدُ عَيْنَاكَ عَنْهُمْ تُرِيدُ زِينَةَ الْحَيَاةِ الدُّنْيَا
60:7	8	ʿādaytum	you have been enemies	 عَسَى اللَّهُ أَنْ يَجْعَلَ بَيْنَكُمْ وَبَيْنَ الَّذِينَ عَادَيْتُمْ مِنْهُمْ مَوَدَّةً
2:229	41	yataʿadda	transgresses	 وَمَنْ يَتَعَدَّ حُدُودَ اللَّهِ فَأُولَٰئِكَ هُمُ الظَّالِمُونَ
4:14	5	wayataʿadda	and transgresses	 وَمَنْ يَعْصِ اللَّهَ وَرَسُولَهُ وَيَتَعَدَّ حُدُودَهُ يُدْخِلْهُ نَارًا خَالِدًا فِيهَا
65:1	28	yataʿadda	transgresses	 وَمَنْ يَتَعَدَّ حُدُودَ اللَّهِ فَقَدْ ظَلَمَ نَفْسَهُ
2:61	59	yaʿtadūna	transgressing	 ذَٰلِكَ بِمَا عَصَوْا وَكَانُوا يَعْتَدُونَ
2:65	4	iʿ'tadaw	transgressed	 وَلَقَدْ عَلِمْتُمُ الَّذِينَ اعْتَدَوْا مِنْكُمْ فِي السَّبْتِ
2:178	32	iʿ'tadā	transgresses	 فَمَنِ اعْتَدَىٰ بَعْدَ ذَٰلِكَ فَلَهُ عَذَابٌ أَلِيمٌ
2:190	8	taʿtadū	transgress	 وَقَاتِلُوا فِي سَبِيلِ اللَّهِ الَّذِينَ يُقَاتِلُونَكُمْ وَلَا تَعْتَدُوا
2:194	8	iʿ'tadā	transgressed	 فَمَنِ اعْتَدَىٰ عَلَيْكُمْ
2:194	10	fa-iʿ'tadū	then you transgress	 فَمَنِ اعْتَدَىٰ عَلَيْكُمْ فَاعْتَدُوا عَلَيْهِ بِمِثْلِ مَا اعْتَدَىٰ عَلَيْكُمْ
2:194	14	iʿ'tadā	he transgressed	 فَاعْتَدُوا عَلَيْهِ بِمِثْلِ مَا اعْتَدَىٰ عَلَيْكُمْ
2:229	39	taʿtadūhā	transgress them	 تِلْكَ حُدُودُ اللَّهِ فَلَا تَعْتَدُوهَا
2:231	14	litaʿtadū	so that you transgress	 وَلَا تُمْسِكُوهُنَّ ضِرَارًا لِتَعْتَدُوا
3:112	35	yaʿtadūna	transgress	 وَيَقْتُلُونَ الْأَنْبِيَاءَ بِغَيْرِ حَقٍّ ذَٰلِكَ بِمَا عَصَوْا وَكَانُوا يَعْتَدُونَ
5:2	37	taʿtadū	you commit transgression	 وَلَا يَجْرِمَنَّكُمْ شَنَآنُ قَوْمٍ أَنْ صَدُّوكُمْ عَنِ الْمَسْجِدِ الْحَرَامِ أَنْ تَعْتَدُوا
5:78	17	yaʿtadūna	transgressing	 ذَٰلِكَ بِمَا عَصَوْا وَكَانُوا يَعْتَدُونَ
5:87	12	taʿtadū	transgress	 لَا تُحَرِّمُوا طَيِّبَاتِ مَا أَحَلَّ اللَّهُ لَكُمْ وَلَا تَعْتَدُوا
5:94	18	iʿ'tadā	transgressed	 فَمَنِ اعْتَدَىٰ بَعْدَ ذَٰلِكَ فَلَهُ عَذَابٌ أَلِيمٌ
5:107	22	iʿ'tadaynā	we have transgressed	 لَشَهَادَتُنَا أَحَقُّ مِنْ شَهَادَتِهِمَا وَمَا اعْتَدَيْنَا
