surah:ayah	position	word	meaning	form	p-o-s	ayah_link
2:125	12	waʿahid'nā	And We made a covenant	I	Verb	 وَعَهِدْنَا إِلَىٰ إِبْرَاهِيمَ وَإِسْمَاعِيلَ أَنْ طَهِّرَا بَيْتِيَ لِلطَّائِفِينَ
3:183	5	ʿahida	(has) taken promise	I	Verb	 إِنَّ اللَّهَ عَهِدَ إِلَيْنَا أَلَّا نُؤْمِنَ لِرَسُولٍ حَتَّىٰ يَأْتِيَنَا بِقُرْبَانٍ تَأْكُلُهُ النَّارُ
7:134	11	ʿahida	He has promised	I	Verb	 قَالُوا يَا مُوسَى ادْعُ لَنَا رَبَّكَ بِمَا عَهِدَ عِنْدَكَ
20:115	2	ʿahid'nā	We made a covenant	I	Verb	 وَلَقَدْ عَهِدْنَا إِلَىٰ آدَمَ مِنْ قَبْلُ فَنَسِيَ وَلَمْ نَجِدْ لَهُ عَزْمًا
36:60	2	aʿhad	I enjoin	I	Verb	 أَلَمْ أَعْهَدْ إِلَيْكُمْ يَا بَنِي آدَمَ أَنْ لَا تَعْبُدُوا الشَّيْطَانَ
43:49	8	ʿahida	He has made covenant	I	Verb	 وَقَالُوا يَا أَيُّهَ السَّاحِرُ ادْعُ لَنَا رَبَّكَ بِمَا عَهِدَ عِنْدَكَ
2:100	2	ʿāhadū	they took	III	Verb	 أَوَكُلَّمَا عَاهَدُوا عَهْدًا نَبَذَهُ فَرِيقٌ مِنْهُمْ
2:177	39	ʿāhadū	they make it	III	Verb	 وَالْمُوفُونَ بِعَهْدِهِمْ إِذَا عَاهَدُوا
8:56	2	ʿāhadtta	you made a covenant	III	Verb	 الَّذِينَ عَاهَدْتَ مِنْهُمْ ثُمَّ يَنْقُضُونَ عَهْدَهُمْ فِي كُلِّ مَرَّةٍ
9:1	7	ʿāhadttum	you made a covenant	III	Verb	 بَرَاءَةٌ مِنَ اللَّهِ وَرَسُولِهِ إِلَى الَّذِينَ عَاهَدْتُمْ مِنَ الْمُشْرِكِينَ
9:4	3	ʿāhadttum	you have a covenant	III	Verb	 إِلَّا الَّذِينَ عَاهَدْتُمْ مِنَ الْمُشْرِكِينَ ثُمَّ لَمْ يَنْقُصُوكُمْ شَيْئًا
9:7	11	ʿāhadttum	you made a covenant	III	Verb	 إِلَّا الَّذِينَ عَاهَدْتُمْ عِنْدَ الْمَسْجِدِ الْحَرَامِ فَمَا اسْتَقَامُوا
9:75	3	ʿāhada	made a covenant	III	Verb	 وَمِنْهُمْ مَنْ عَاهَدَ اللَّهَ لَئِنْ آتَانَا مِنْ فَضْلِهِ لَنَصَّدَّقَنَّ
16:91	5	ʿāhadttum	you have taken a covenant	III	Verb	 وَأَوْفُوا بِعَهْدِ اللَّهِ إِذَا عَاهَدْتُمْ
33:15	3	ʿāhadū	promised	III	Verb	 وَلَقَدْ كَانُوا عَاهَدُوا اللَّهَ مِنْ قَبْلُ لَا يُوَلُّونَ الْأَدْبَارَ
33:23	6	ʿāhadū	they promised Allah	III	Verb	 مِنَ الْمُؤْمِنِينَ رِجَالٌ صَدَقُوا مَا عَاهَدُوا اللَّهَ عَلَيْهِ
48:10	20	ʿāhada	he has covenanted	III	Verb	 وَمَنْ أَوْفَىٰ بِمَا عَاهَدَ عَلَيْهُ اللَّهَ فَسَيُؤْتِيهِ أَجْرًا عَظِيمًا
2:27	3	ʿahda	(the) Covenant	I	Noun	 الَّذِينَ يَنْقُضُونَ عَهْدَ اللَّهِ مِنْ بَعْدِ مِيثَاقِهِ
