surah:ayah	position	word	meaning	ayah_link
7:150	13	aʿajil'tum	Were you impatient	 قَالَ بِئْسَمَا خَلَفْتُمُونِي مِنْ بَعْدِي أَعَجِلْتُمْ أَمْرَ رَبِّكُمْ
19:84	2	taʿjal	make haste	 فَلَا تَعْجَلْ عَلَيْهِمْ إِنَّمَا نَعُدُّ لَهُمْ عَدًّا
20:84	6	waʿajil'tu	and I hastened	 قَالَ هُمْ أُولَاءِ عَلَىٰ أَثَرِي وَعَجِلْتُ إِلَيْكَ رَبِّ لِتَرْضَىٰ
20:114	6	taʿjal	hasten	 وَلَا تَعْجَلْ بِالْقُرْآنِ مِنْ قَبْلِ أَنْ يُقْضَىٰ إِلَيْكَ وَحْيُهُ
75:16	5	litaʿjala	to hasten	 لَا تُحَرِّكْ بِهِ لِسَانَكَ لِتَعْجَلَ بِهِ
10:11	2	yuʿajjilu	hastens	 وَلَوْ يُعَجِّلُ اللَّهُ لِلنَّاسِ الشَّرَّ اسْتِعْجَالَهُمْ بِالْخَيْرِ لَقُضِيَ إِلَيْهِمْ أَجَلُهُمْ
17:18	5	ʿajjalnā	We hasten	 مَنْ كَانَ يُرِيدُ الْعَاجِلَةَ عَجَّلْنَا لَهُ فِيهَا مَا نَشَاءُ لِمَنْ نُرِيدُ
18:58	9	laʿajjala	surely, He (would) have hastened	 لَوْ يُؤَاخِذُهُمْ بِمَا كَسَبُوا لَعَجَّلَ لَهُمُ الْعَذَابَ
38:16	3	ʿajjil	Hasten	 وَقَالُوا رَبَّنَا عَجِّلْ لَنَا قِطَّنَا قَبْلَ يَوْمِ الْحِسَابِ
48:20	6	faʿajjala	and He has hastened	 وَعَدَكُمُ اللَّهُ مَغَانِمَ كَثِيرَةً تَأْخُذُونَهَا فَعَجَّلَ لَكُمْ هَٰذِهِ
20:83	2	aʿjalaka	made you hasten	 وَمَا أَعْجَلَكَ عَنْ قَوْمِكَ يَا مُوسَىٰ
2:203	7	taʿajjala	hurries	 فَمَنْ تَعَجَّلَ فِي يَوْمَيْنِ فَلَا إِثْمَ عَلَيْهِ
6:57	12	tastaʿjilūna	you seek to hasten	 مَا عِنْدِي مَا تَسْتَعْجِلُونَ بِهِ إِنِ الْحُكْمُ إِلَّا لِلَّهِ
6:58	6	tastaʿjilūna	you seek to hasten	 قُلْ لَوْ أَنَّ عِنْدِي مَا تَسْتَعْجِلُونَ بِهِ لَقُضِيَ الْأَمْرُ بَيْنِي وَبَيْنَكُمْ
10:50	10	yastaʿjilu	of it would (wish to) hasten	 مَاذَا يَسْتَعْجِلُ مِنْهُ الْمُجْرِمُونَ
10:51	11	tastaʿjilūna	seeking to hasten it	 أَثُمَّ إِذَا مَا وَقَعَ آمَنْتُمْ بِهِ آلْآنَ وَقَدْ كُنْتُمْ بِهِ تَسْتَعْجِلُونَ
13:6	1	wayastaʿjilūnaka	And they ask you to hasten	 وَيَسْتَعْجِلُونَكَ بِالسَّيِّئَةِ قَبْلَ الْحَسَنَةِ
16:1	5	tastaʿjilūhu	(be) impatient for it	 أَتَىٰ أَمْرُ اللَّهِ فَلَا تَسْتَعْجِلُوهُ
21:37	8	tastaʿjilūni	ask Me to hasten	 سَأُرِيكُمْ آيَاتِي فَلَا تَسْتَعْجِلُونِ
