surah:ayah	position	word	meaning	ayah_link
7:137	29	yaʿrishūna	erect	 وَدَمَّرْنَا مَا كَانَ يَصْنَعُ فِرْعَوْنُ وَقَوْمُهُ وَمَا كَانُوا يَعْرِشُونَ
16:68	13	yaʿrishūna	they construct	 أَنِ اتَّخِذِي مِنَ الْجِبَالِ بُيُوتًا وَمِنَ الشَّجَرِ وَمِمَّا يَعْرِشُونَ
2:259	9	ʿurūshihā	its roofs	 أَوْ كَالَّذِي مَرَّ عَلَىٰ قَرْيَةٍ وَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا
7:54	14	l-ʿarshi	the Throne	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ يُغْشِي اللَّيْلَ النَّهَارَ
9:129	14	l-ʿarshi	(of) the Throne	 عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ
10:3	14	l-ʿarshi	the Throne	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ يُدَبِّرُ الْأَمْرَ
11:7	10	ʿarshuhu	and His throne was	 وَكَانَ عَرْشُهُ عَلَى الْمَاءِ لِيَبْلُوَكُمْ أَيُّكُمْ أَحْسَنُ عَمَلًا
12:100	4	l-ʿarshi	the throne	 وَرَفَعَ أَبَوَيْهِ عَلَى الْعَرْشِ وَخَرُّوا لَهُ سُجَّدًا
13:2	11	l-ʿarshi	the Throne	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ وَسَخَّرَ الشَّمْسَ وَالْقَمَرَ
17:42	12	l-ʿarshi	(of) the Throne	 إِذًا لَابْتَغَوْا إِلَىٰ ذِي الْعَرْشِ سَبِيلًا
18:42	13	ʿurūshihā	its trellises	 فَأَصْبَحَ يُقَلِّبُ كَفَّيْهِ عَلَىٰ مَا أَنْفَقَ فِيهَا وَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا
20:5	3	l-ʿarshi	the Throne	 الرَّحْمَٰنُ عَلَى الْعَرْشِ اسْتَوَىٰ
21:22	11	l-ʿarshi	(of) the Throne	 فَسُبْحَانَ اللَّهِ رَبِّ الْعَرْشِ عَمَّا يَصِفُونَ
22:45	10	ʿurūshihā	its roofs	 وَهِيَ ظَالِمَةٌ فَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا
23:86	7	l-ʿarshi	(of) the Throne	 قُلْ مَنْ رَبُّ السَّمَاوَاتِ السَّبْعِ وَرَبُّ الْعَرْشِ الْعَظِيمِ
23:116	10	l-ʿarshi	(of) the Throne	 فَتَعَالَى اللَّهُ الْمَلِكُ الْحَقُّ لَا إِلَٰهَ إِلَّا هُوَ رَبُّ الْعَرْشِ الْكَرِيمِ
25:59	13	l-ʿarshi	the Throne 	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ الرَّحْمَٰنُ فَاسْأَلْ بِهِ خَبِيرًا
27:23	10	ʿarshun	(is) a throne	 وَأُوتِيَتْ مِنْ كُلِّ شَيْءٍ وَلَهَا عَرْشٌ عَظِيمٌ
27:26	7	l-ʿarshi	(of) the Throne	 اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ رَبُّ الْعَرْشِ الْعَظِيمِ
27:38	6	biʿarshihā	her throne	 أَيُّكُمْ يَأْتِينِي بِعَرْشِهَا قَبْلَ أَنْ يَأْتُونِي مُسْلِمِينَ
27:41	4	ʿarshahā	her throne	 قَالَ نَكِّرُوا لَهَا عَرْشَهَا نَنْظُرْ أَتَهْتَدِي أَمْ تَكُونُ مِنَ الَّذِينَ لَا يَهْتَدُونَ
27:42	5	ʿarshuki	your throne	 فَلَمَّا جَاءَتْ قِيلَ أَهَٰكَذَا عَرْشُكِ
32:4	14	l-ʿarshi	the Throne	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ مَا لَكُمْ مِنْ دُونِهِ مِنْ وَلِيٍّ وَلَا شَفِيعٍ
39:75	6	l-ʿarshi	the Throne	 وَتَرَى الْمَلَائِكَةَ حَافِّينَ مِنْ حَوْلِ الْعَرْشِ
40:7	3	l-ʿarsha	the Throne	 الَّذِينَ يَحْمِلُونَ الْعَرْشَ وَمَنْ حَوْلَهُ يُسَبِّحُونَ بِحَمْدِ رَبِّهِمْ
40:15	4	l-ʿarshi	Owner (of) the Throne	 رَفِيعُ الدَّرَجَاتِ ذُو الْعَرْشِ
43:82	6	l-ʿarshi	(of) the Throne	 سُبْحَانَ رَبِّ السَّمَاوَاتِ وَالْأَرْضِ رَبِّ الْعَرْشِ عَمَّا يَصِفُونَ
57:4	12	l-ʿarshi	the Throne	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ يَعْلَمُ مَا يَلِجُ فِي الْأَرْضِ وَمَا يَخْرُجُ مِنْهَا
69:17	5	ʿarsha	(the) Throne	 وَيَحْمِلُ عَرْشَ رَبِّكَ فَوْقَهُمْ يَوْمَئِذٍ ثَمَانِيَةٌ
81:20	5	l-ʿarshi	the Throne	 ذِي قُوَّةٍ عِنْدَ ذِي الْعَرْشِ مَكِينٍ
85:15	2	l-ʿarshi	the Throne	 ذُو الْعَرْشِ الْمَجِيدُ
6:141	7	maʿrūshātin	trellised	 وَغَيْرَ مَعْرُوشَاتٍ وَالنَّخْلَ وَالزَّرْعَ مُخْتَلِفًا أُكُلُهُ
6:141	5	maʿrūshātin	trellised	 وَهُوَ الَّذِي أَنْشَأَ جَنَّاتٍ مَعْرُوشَاتٍ
