surah:ayah	position	word	meaning	ayah_link
2:275	39	ʿāda	repeated	 وَمَنْ عَادَ فَأُولَٰئِكَ أَصْحَابُ النَّارِ هُمْ فِيهَا خَالِدُونَ
5:95	43	ʿāda	returned	 وَمَنْ عَادَ فَيَنْتَقِمُ اللَّهُ مِنْهُ وَاللَّهُ عَزِيزٌ ذُو انْتِقَامٍ
6:28	11	laʿādū	certainly they (would) return	 وَلَوْ رُدُّوا لَعَادُوا لِمَا نُهُوا عَنْهُ وَإِنَّهُمْ لَكَاذِبُونَ
7:29	16	taʿūdūna	(so) will you return	 وَادْعُوهُ مُخْلِصِينَ لَهُ الدِّينَ كَمَا بَدَأَكُمْ تَعُودُونَ
7:88	15	lataʿūdunna	you must return	 أَوْ لَتَعُودُنَّ فِي مِلَّتِنَا
7:89	7	ʿud'nā	we returned	 قَدِ افْتَرَيْنَا عَلَى اللَّهِ كَذِبًا إِنْ عُدْنَا فِي مِلَّتِكُمْ
7:89	19	naʿūda	we return	 وَمَا يَكُونُ لَنَا أَنْ نَعُودَ فِيهَا إِلَّا أَنْ يَشَاءَ اللَّهُ رَبُّنَا
8:19	12	taʿūdū	you return	 وَإِنْ تَعُودُوا نَعُدْ وَلَنْ تُغْنِيَ عَنْكُمْ فِئَتُكُمْ شَيْئًا وَلَوْ كَثُرَتْ
8:19	13	naʿud	We will return (too)	 وَإِنْ تَعُودُوا نَعُدْ وَلَنْ تُغْنِيَ عَنْكُمْ فِئَتُكُمْ شَيْئًا وَلَوْ كَثُرَتْ
8:38	12	yaʿūdū	they return	 وَإِنْ يَعُودُوا فَقَدْ مَضَتْ سُنَّتُ الْأَوَّلِينَ
14:13	9	lataʿūdunna	surely you should return	 لَنُخْرِجَنَّكُمْ مِنْ أَرْضِنَا أَوْ لَتَعُودُنَّ فِي مِلَّتِنَا
17:8	6	ʿudttum	you return	 وَإِنْ عُدْتُمْ عُدْنَا وَجَعَلْنَا جَهَنَّمَ لِلْكَافِرِينَ حَصِيرًا
17:8	7	ʿud'nā	We will return	 وَإِنْ عُدْتُمْ عُدْنَا وَجَعَلْنَا جَهَنَّمَ لِلْكَافِرِينَ حَصِيرًا
23:107	5	ʿud'nā	we return	 رَبَّنَا أَخْرِجْنَا مِنْهَا فَإِنْ عُدْنَا فَإِنَّا ظَالِمُونَ
24:17	4	taʿūdū	you return	 يَعِظُكُمُ اللَّهُ أَنْ تَعُودُوا لِمِثْلِهِ أَبَدًا إِنْ كُنْتُمْ مُؤْمِنِينَ
36:39	5	ʿāda	it returns	 وَالْقَمَرَ قَدَّرْنَاهُ مَنَازِلَ حَتَّىٰ عَادَ كَالْعُرْجُونِ الْقَدِيمِ
58:3	6	yaʿūdūna	go back	 ثُمَّ يَعُودُونَ لِمَا قَالُوا فَتَحْرِيرُ رَقَبَةٍ مِنْ قَبْلِ أَنْ يَتَمَاسَّا
58:8	9	yaʿūdūna	they return	 أَلَمْ تَرَ إِلَى الَّذِينَ نُهُوا عَنِ النَّجْوَىٰ ثُمَّ يَعُودُونَ لِمَا نُهُوا عَنْهُ
10:4	11	yuʿīduhu	He repeats it	 إِنَّهُ يَبْدَأُ الْخَلْقَ ثُمَّ يُعِيدُهُ
10:34	9	yuʿīduhu	repeats it	 قُلْ هَلْ مِنْ شُرَكَائِكُمْ مَنْ يَبْدَأُ الْخَلْقَ ثُمَّ يُعِيدُهُ
10:34	15	yuʿīduhu	repeats it	 قُلِ اللَّهُ يَبْدَأُ الْخَلْقَ ثُمَّ يُعِيدُهُ فَأَنَّىٰ تُؤْفَكُونَ
17:51	9	yuʿīdunā	will restore us	 فَسَيَقُولُونَ مَنْ يُعِيدُنَا قُلِ الَّذِي فَطَرَكُمْ أَوَّلَ مَرَّةٍ
17:69	4	yuʿīdakum	He will send you back	 أَمْ أَمِنْتُمْ أَنْ يُعِيدَكُمْ فِيهِ تَارَةً أُخْرَىٰ
18:20	7	yuʿīdūkum	return you	 إِنَّهُمْ إِنْ يَظْهَرُوا عَلَيْكُمْ يَرْجُمُوكُمْ أَوْ يُعِيدُوكُمْ فِي مِلَّتِهِمْ
20:21	5	sanuʿīduhā	We will return it	 قَالَ خُذْهَا وَلَا تَخَفْ سَنُعِيدُهَا سِيرَتَهَا الْأُولَىٰ
20:55	4	nuʿīdukum	We will return you	 مِنْهَا خَلَقْنَاكُمْ وَفِيهَا نُعِيدُكُمْ وَمِنْهَا نُخْرِجُكُمْ تَارَةً أُخْرَىٰ
21:104	11	nuʿīduhu	We will repeat it	 كَمَا بَدَأْنَا أَوَّلَ خَلْقٍ نُعِيدُهُ
22:22	8	uʿīdū	they will be returned	 كُلَّمَا أَرَادُوا أَنْ يَخْرُجُوا مِنْهَا مِنْ غَمٍّ أُعِيدُوا فِيهَا
27:64	5	yuʿīduhu	repeats it	 أَمَّنْ يَبْدَأُ الْخَلْقَ ثُمَّ يُعِيدُهُ وَمَنْ يَرْزُقُكُمْ مِنَ السَّمَاءِ وَالْأَرْضِ
29:19	8	yuʿīduhu	repeats it	 أَوَلَمْ يَرَوْا كَيْفَ يُبْدِئُ اللَّهُ الْخَلْقَ ثُمَّ يُعِيدُهُ
30:11	5	yuʿīduhu	He repeats it	 اللَّهُ يَبْدَأُ الْخَلْقَ ثُمَّ يُعِيدُهُ ثُمَّ إِلَيْهِ تُرْجَعُونَ
30:27	6	yuʿīduhu	repeats it	 وَهُوَ الَّذِي يَبْدَأُ الْخَلْقَ ثُمَّ يُعِيدُهُ وَهُوَ أَهْوَنُ عَلَيْهِ
32:20	11	uʿīdū	they (will) be returned	 كُلَّمَا أَرَادُوا أَنْ يَخْرُجُوا مِنْهَا أُعِيدُوا فِيهَا
34:49	8	yuʿīdu	repeat	 قُلْ جَاءَ الْحَقُّ وَمَا يُبْدِئُ الْبَاطِلُ وَمَا يُعِيدُ
71:18	2	yuʿīdukum	He will return you	 ثُمَّ يُعِيدُكُمْ فِيهَا وَيُخْرِجُكُمْ إِخْرَاجًا
85:13	4	wayuʿīdu	and repeats	 إِنَّهُ هُوَ يُبْدِئُ وَيُعِيدُ
7:65	2	ʿādin	Aad	 وَإِلَىٰ عَادٍ أَخَاهُمْ هُودًا قَالَ يَا قَوْمِ اعْبُدُوا اللَّهَ
7:74	7	ʿādin	Aad	 وَاذْكُرُوا إِذْ جَعَلَكُمْ خُلَفَاءَ مِنْ بَعْدِ عَادٍ وَبَوَّأَكُمْ فِي الْأَرْضِ
9:70	9	waʿādin	and Aad	 أَلَمْ يَأْتِهِمْ نَبَأُ الَّذِينَ مِنْ قَبْلِهِمْ قَوْمِ نُوحٍ وَعَادٍ وَثَمُودَ
11:50	2	ʿādin	Aad	 وَإِلَىٰ عَادٍ أَخَاهُمْ هُودًا قَالَ يَا قَوْمِ اعْبُدُوا اللَّهَ
11:59	2	ʿādun	(was) Aad	 وَتِلْكَ عَادٌ جَحَدُوا بِآيَاتِ رَبِّهِمْ وَعَصَوْا رُسُلَهُ
11:60	10	ʿādan	Aad	 أَلَا إِنَّ عَادًا كَفَرُوا رَبَّهُمْ أَلَا بُعْدًا لِعَادٍ قَوْمِ هُودٍ
11:60	15	liʿādin	with Aad	 أَلَا بُعْدًا لِعَادٍ قَوْمِ هُودٍ
14:9	9	waʿādin	and Aad	 أَلَمْ يَأْتِكُمْ نَبَأُ الَّذِينَ مِنْ قَبْلِكُمْ قَوْمِ نُوحٍ وَعَادٍ وَثَمُودَ
22:42	8	waʿādun	and Aad	 وَإِنْ يُكَذِّبُوكَ فَقَدْ كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ وَعَادٌ وَثَمُودُ
25:38	1	waʿādan	And Ad	 وَعَادًا وَثَمُودَ وَأَصْحَابَ الرَّسِّ وَقُرُونًا بَيْنَ ذَٰلِكَ كَثِيرًا
26:123	2	ʿādun	(the people) of Aad	 كَذَّبَتْ عَادٌ الْمُرْسَلِينَ
29:38	1	waʿādan	And Aad	 وَعَادًا وَثَمُودَ وَقَدْ تَبَيَّنَ لَكُمْ مِنْ مَسَاكِنِهِمْ
38:12	5	waʿādun	and Aad	 كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ وَعَادٌ وَفِرْعَوْنُ ذُو الْأَوْتَادِ
40:31	5	waʿādin	and Aad	 مِثْلَ دَأْبِ قَوْمِ نُوحٍ وَعَادٍ وَثَمُودَ وَالَّذِينَ مِنْ بَعْدِهِمْ
41:13	8	ʿādin	(of) Aad	 فَإِنْ أَعْرَضُوا فَقُلْ أَنْذَرْتُكُمْ صَاعِقَةً مِثْلَ صَاعِقَةِ عَادٍ وَثَمُودَ
41:15	2	ʿādun	Aad	 فَأَمَّا عَادٌ فَاسْتَكْبَرُوا فِي الْأَرْضِ بِغَيْرِ الْحَقِّ
46:21	3	ʿādin	(of) Aad	 وَاذْكُرْ أَخَا عَادٍ إِذْ أَنْذَرَ قَوْمَهُ بِالْأَحْقَافِ
50:13	1	waʿādun	And Aad	 وَعَادٌ وَفِرْعَوْنُ وَإِخْوَانُ لُوطٍ
51:41	2	ʿādin	Aad	 وَفِي عَادٍ إِذْ أَرْسَلْنَا عَلَيْهِمُ الرِّيحَ الْعَقِيمَ
53:50	3	ʿādan	Aad	 وَأَنَّهُ أَهْلَكَ عَادًا الْأُولَىٰ
54:18	2	ʿādun	Aad	 كَذَّبَتْ عَادٌ فَكَيْفَ كَانَ عَذَابِي وَنُذُرِ
69:4	3	waʿādun	and Aad	 كَذَّبَتْ ثَمُودُ وَعَادٌ بِالْقَارِعَةِ
69:6	2	ʿādun	Aad	 وَأَمَّا عَادٌ فَأُهْلِكُوا بِرِيحٍ صَرْصَرٍ عَاتِيَةٍ
89:6	6	biʿādin	with Aad	 أَلَمْ تَرَ كَيْفَ فَعَلَ رَبُّكَ بِعَادٍ
5:114	14	ʿīdan	a festival	 تَكُونُ لَنَا عِيدًا لِأَوَّلِنَا وَآخِرِنَا وَآيَةً مِنْكَ
28:85	8	maʿādin	a place of return	 إِنَّ الَّذِي فَرَضَ عَلَيْكَ الْقُرْآنَ لَرَادُّكَ إِلَىٰ مَعَادٍ
44:15	6	ʿāidūna	(will) return	 إِنَّا كَاشِفُو الْعَذَابِ قَلِيلًا إِنَّكُمْ عَائِدُونَ
