surah:ayah	position	word	meaning	ayah_link
2:87	10	ʿīsā	Isa	<a style='color:#95C7FF' href='https://quran.com/2:87/tafsirs/toBeReplaced'> وَآتَيْنَا عِيسَى ابْنَ مَرْيَمَ الْبَيِّنَاتِ وَأَيَّدْنَاهُ بِرُوحِ الْقُدُسِ</a>
2:136	18	waʿīsā	and Isa	<a style='color:#95C7FF' href='https://quran.com/2:136/tafsirs/toBeReplaced'> وَمَا أُوتِيَ مُوسَىٰ وَعِيسَىٰ وَمَا أُوتِيَ النَّبِيُّونَ مِنْ رَبِّهِمْ</a>
2:253	15	ʿīsā	Isa	<a style='color:#95C7FF' href='https://quran.com/2:253/tafsirs/toBeReplaced'> وَآتَيْنَا عِيسَى ابْنَ مَرْيَمَ الْبَيِّنَاتِ وَأَيَّدْنَاهُ بِرُوحِ الْقُدُسِ</a>
3:45	12	ʿīsā	Isa	<a style='color:#95C7FF' href='https://quran.com/3:45/tafsirs/toBeReplaced'> إِنَّ اللَّهَ يُبَشِّرُكِ بِكَلِمَةٍ مِنْهُ اسْمُهُ الْمَسِيحُ عِيسَى ابْنُ مَرْيَمَ</a>
3:52	3	ʿīsā	Isa	<a style='color:#95C7FF' href='https://quran.com/3:52/tafsirs/toBeReplaced'> فَلَمَّا أَحَسَّ عِيسَىٰ مِنْهُمُ الْكُفْرَ قَالَ مَنْ أَنْصَارِي إِلَى اللَّهِ</a>
3:55	4	yāʿīsā	O Isa	<a style='color:#95C7FF' href='https://quran.com/3:55/tafsirs/toBeReplaced'> إِذْ قَالَ اللَّهُ يَا عِيسَىٰ إِنِّي مُتَوَفِّيكَ وَرَافِعُكَ إِلَيَّ</a>
3:59	3	ʿīsā	(of) Isa	<a style='color:#95C7FF' href='https://quran.com/3:59/tafsirs/toBeReplaced'> إِنَّ مَثَلَ عِيسَىٰ عِنْدَ اللَّهِ كَمَثَلِ آدَمَ خَلَقَهُ مِنْ تُرَابٍ</a>
3:84	18	waʿīsā	and Isa	<a style='color:#95C7FF' href='https://quran.com/3:84/tafsirs/toBeReplaced'> وَمَا أُوتِيَ مُوسَىٰ وَعِيسَىٰ وَالنَّبِيُّونَ مِنْ رَبِّهِمْ</a>
4:157	5	ʿīsā	Isa	<a style='color:#95C7FF' href='https://quran.com/4:157/tafsirs/toBeReplaced'> وَقَوْلِهِمْ إِنَّا قَتَلْنَا الْمَسِيحَ عِيسَى ابْنَ مَرْيَمَ رَسُولَ اللَّهِ</a>
4:163	18	waʿīsā	and Isa	<a style='color:#95C7FF' href='https://quran.com/4:163/tafsirs/toBeReplaced'> وَأَوْحَيْنَا إِلَىٰ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ وَيَعْقُوبَ وَالْأَسْبَاطِ وَعِيسَىٰ وَأَيُّوبَ وَيُونُسَ وَهَارُونَ وَسُلَيْمَانَ</a>
4:171	15	ʿīsā	Isa	<a style='color:#95C7FF' href='https://quran.com/4:171/tafsirs/toBeReplaced'> إِنَّمَا الْمَسِيحُ عِيسَى ابْنُ مَرْيَمَ رَسُولُ اللَّهِ وَكَلِمَتُهُ أَلْقَاهَا إِلَىٰ مَرْيَمَ</a>
5:46	4	biʿīsā	Isa	<a style='color:#95C7FF' href='https://quran.com/5:46/tafsirs/toBeReplaced'> وَقَفَّيْنَا عَلَىٰ آثَارِهِمْ بِعِيسَى ابْنِ مَرْيَمَ مُصَدِّقًا لِمَا بَيْنَ يَدَيْهِ</a>
5:78	10	waʿīsā	and Isa	<a style='color:#95C7FF' href='https://quran.com/5:78/tafsirs/toBeReplaced'> لُعِنَ الَّذِينَ كَفَرُوا مِنْ بَنِي إِسْرَائِيلَ عَلَىٰ لِسَانِ دَاوُودَ وَعِيسَى ابْنِ مَرْيَمَ</a>
5:110	4	yāʿīsā	O Isa	<a style='color:#95C7FF' href='https://quran.com/5:110/tafsirs/toBeReplaced'> إِذْ قَالَ اللَّهُ يَا عِيسَى ابْنَ مَرْيَمَ اذْكُرْ نِعْمَتِي عَلَيْكَ وَعَلَىٰ وَالِدَتِكَ</a>
5:112	4	yāʿīsā	O Isa	<a style='color:#95C7FF' href='https://quran.com/5:112/tafsirs/toBeReplaced'> إِذْ قَالَ الْحَوَارِيُّونَ يَا عِيسَى ابْنَ مَرْيَمَ هَلْ يَسْتَطِيعُ رَبُّكَ أَنْ يُنَزِّلَ عَلَيْنَا مَائِدَةً مِنَ السَّمَاءِ</a>
5:114	2	ʿīsā	Isa	<a style='color:#95C7FF' href='https://quran.com/5:114/tafsirs/toBeReplaced'> قَالَ عِيسَى ابْنُ مَرْيَمَ اللَّهُمَّ رَبَّنَا أَنْزِلْ عَلَيْنَا مَائِدَةً مِنَ السَّمَاءِ</a>
