surah:ayah	position	word	meaning	ayah_link
2:203	25	tuḥ'sharūna	will be gathered	 وَاتَّقُوا اللَّهَ وَاعْلَمُوا أَنَّكُمْ إِلَيْهِ تُحْشَرُونَ
3:12	5	watuḥ'sharūna	and you will be gathered	 قُلْ لِلَّذِينَ كَفَرُوا سَتُغْلَبُونَ وَتُحْشَرُونَ إِلَىٰ جَهَنَّمَ
3:158	7	tuḥ'sharūna	you will be gathered	 وَلَئِنْ مُتُّمْ أَوْ قُتِلْتُمْ لَإِلَى اللَّهِ تُحْشَرُونَ
4:172	16	fasayaḥshuruhum	then He will gather them	 وَمَنْ يَسْتَنْكِفْ عَنْ عِبَادَتِهِ وَيَسْتَكْبِرْ فَسَيَحْشُرُهُمْ إِلَيْهِ جَمِيعًا
5:96	20	tuḥ'sharūna	you will be gathered	 وَاتَّقُوا اللَّهَ الَّذِي إِلَيْهِ تُحْشَرُونَ
6:22	2	naḥshuruhum	We will gather them	 وَيَوْمَ نَحْشُرُهُمْ جَمِيعًا ثُمَّ نَقُولُ لِلَّذِينَ أَشْرَكُوا أَيْنَ شُرَكَاؤُكُمُ
6:38	22	yuḥ'sharūna	they will be gathered	 مَا فَرَّطْنَا فِي الْكِتَابِ مِنْ شَيْءٍ ثُمَّ إِلَىٰ رَبِّهِمْ يُحْشَرُونَ
6:51	6	yuḥ'sharū	they will be gathered	 وَأَنْذِرْ بِهِ الَّذِينَ يَخَافُونَ أَنْ يُحْشَرُوا إِلَىٰ رَبِّهِمْ
6:72	8	tuḥ'sharūna	you will be gathered	 وَأَنْ أَقِيمُوا الصَّلَاةَ وَاتَّقُوهُ وَهُوَ الَّذِي إِلَيْهِ تُحْشَرُونَ
6:111	8	waḥasharnā	and We gathered	 وَحَشَرْنَا عَلَيْهِمْ كُلَّ شَيْءٍ قُبُلًا مَا كَانُوا لِيُؤْمِنُوا إِلَّا أَنْ يَشَاءَ اللَّهُ
6:128	2	yaḥshuruhum	He will gather them	 وَيَوْمَ يَحْشُرُهُمْ جَمِيعًا يَا مَعْشَرَ الْجِنِّ قَدِ اسْتَكْثَرْتُمْ مِنَ الْإِنْسِ
8:24	20	tuḥ'sharūna	you will be gathered	 وَاعْلَمُوا أَنَّ اللَّهَ يَحُولُ بَيْنَ الْمَرْءِ وَقَلْبِهِ وَأَنَّهُ إِلَيْهِ تُحْشَرُونَ
8:36	21	yuḥ'sharūna	they will be gathered	 وَالَّذِينَ كَفَرُوا إِلَىٰ جَهَنَّمَ يُحْشَرُونَ
10:28	2	naḥshuruhum	We will gather them	 وَيَوْمَ نَحْشُرُهُمْ جَمِيعًا ثُمَّ نَقُولُ لِلَّذِينَ أَشْرَكُوا مَكَانَكُمْ
10:45	2	yaḥshuruhum	He will gather them	 وَيَوْمَ يَحْشُرُهُمْ كَأَنْ لَمْ يَلْبَثُوا إِلَّا سَاعَةً مِنَ النَّهَارِ
15:25	4	yaḥshuruhum	will gather them	 وَإِنَّ رَبَّكَ هُوَ يَحْشُرُهُمْ إِنَّهُ حَكِيمٌ عَلِيمٌ
17:97	14	wanaḥshuruhum	And We will gather them	 وَنَحْشُرُهُمْ يَوْمَ الْقِيَامَةِ عَلَىٰ وُجُوهِهِمْ عُمْيًا وَبُكْمًا وَصُمًّا
18:47	7	waḥasharnāhum	and We will gather them	 وَتَرَى الْأَرْضَ بَارِزَةً وَحَشَرْنَاهُمْ فَلَمْ نُغَادِرْ مِنْهُمْ أَحَدًا
19:68	2	lanaḥshurannahum	surely, We will gather them	 فَوَرَبِّكَ لَنَحْشُرَنَّهُمْ وَالشَّيَاطِينَ
19:85	2	naḥshuru	We will gather	 يَوْمَ نَحْشُرُ الْمُتَّقِينَ إِلَى الرَّحْمَٰنِ وَفْدًا
20:59	6	yuḥ'shara	will be assembled	 قَالَ مَوْعِدُكُمْ يَوْمُ الزِّينَةِ وَأَنْ يُحْشَرَ النَّاسُ ضُحًى
20:102	5	wanaḥshuru	and We will gather	 يَوْمَ يُنْفَخُ فِي الصُّورِ وَنَحْشُرُ الْمُجْرِمِينَ يَوْمَئِذٍ زُرْقًا
20:124	9	wanaḥshuruhu	and We will gather him	 وَنَحْشُرُهُ يَوْمَ الْقِيَامَةِ أَعْمَىٰ
20:125	4	ḥashartanī	You raised me	 قَالَ رَبِّ لِمَ حَشَرْتَنِي أَعْمَىٰ وَقَدْ كُنْتُ بَصِيرًا
23:79	7	tuḥ'sharūna	you will be gathered	 وَهُوَ الَّذِي ذَرَأَكُمْ فِي الْأَرْضِ وَإِلَيْهِ تُحْشَرُونَ
