surah:ayah	position	word	meaning	ayah_link
4:34	20	ḥafiẓa	(orders) them to guard	 فَالصَّالِحَاتُ قَانِتَاتٌ حَافِظَاتٌ لِلْغَيْبِ بِمَا حَفِظَ اللَّهُ
5:89	37	wa-iḥ'faẓū	And guard	 ذَٰلِكَ كَفَّارَةُ أَيْمَانِكُمْ إِذَا حَلَفْتُمْ وَاحْفَظُوا أَيْمَانَكُمْ
12:65	18	wanaḥfaẓu	and we will protect	 وَنَمِيرُ أَهْلَنَا وَنَحْفَظُ أَخَانَا وَنَزْدَادُ كَيْلَ بَعِيرٍ
13:11	8	yaḥfaẓūnahu	who guard him	 لَهُ مُعَقِّبَاتٌ مِنْ بَيْنِ يَدَيْهِ وَمِنْ خَلْفِهِ يَحْفَظُونَهُ مِنْ أَمْرِ اللَّهِ
15:17	1	waḥafiẓ'nāhā	And We have protected it	 وَحَفِظْنَاهَا مِنْ كُلِّ شَيْطَانٍ رَجِيمٍ
24:30	6	wayaḥfaẓū	and they should guard	 قُلْ لِلْمُؤْمِنِينَ يَغُضُّوا مِنْ أَبْصَارِهِمْ وَيَحْفَظُوا فُرُوجَهُمْ
24:31	6	wayaḥfaẓna	and they should guard	 وَقُلْ لِلْمُؤْمِنَاتِ يَغْضُضْنَ مِنْ أَبْصَارِهِنَّ وَيَحْفَظْنَ فُرُوجَهُنَّ
2:238	1	ḥāfiẓū	Guard strictly	 حَافِظُوا عَلَى الصَّلَوَاتِ وَالصَّلَاةِ الْوُسْطَىٰ
6:92	22	yuḥāfiẓūna	(are) guarding	 وَهُمْ عَلَىٰ صَلَاتِهِمْ يُحَافِظُونَ
23:9	5	yuḥāfiẓūna	they guard	 وَالَّذِينَ هُمْ عَلَىٰ صَلَوَاتِهِمْ يُحَافِظُونَ
70:34	5	yuḥāfiẓūna	keep a guard 	 وَالَّذِينَ هُمْ عَلَىٰ صَلَاتِهِمْ يُحَافِظُونَ
5:44	17	us'tuḥ'fiẓū	they were entrusted	 بِمَا اسْتُحْفِظُوا مِنْ كِتَابِ اللَّهِ وَكَانُوا عَلَيْهِ شُهَدَاءَ
2:255	47	ḥif'ẓuhumā	(the) guarding of both of them	 وَسِعَ كُرْسِيُّهُ السَّمَاوَاتِ وَالْأَرْضَ وَلَا يَئُودُهُ حِفْظُهُمَا
37:7	1	waḥif'ẓan	And (to) guard	 وَحِفْظًا مِنْ كُلِّ شَيْطَانٍ مَارِدٍ
41:12	15	waḥif'ẓan	and (to) guard	 وَزَيَّنَّا السَّمَاءَ الدُّنْيَا بِمَصَابِيحَ وَحِفْظًا
9:112	12	wal-ḥāfiẓūna	and those who observe	 وَالنَّاهُونَ عَنِ الْمُنْكَرِ وَالْحَافِظُونَ لِحُدُودِ اللَّهِ
12:12	8	laḥāfiẓūna	(will) surely (be) guardians	 أَرْسِلْهُ مَعَنَا غَدًا يَرْتَعْ وَيَلْعَبْ وَإِنَّا لَهُ لَحَافِظُونَ
12:63	16	laḥāfiẓūna	(will) surely (be) guardians	 مُنِعَ مِنَّا الْكَيْلُ فَأَرْسِلْ مَعَنَا أَخَانَا نَكْتَلْ وَإِنَّا لَهُ لَحَافِظُونَ
12:64	14	ḥāfiẓan	Guardian	 فَاللَّهُ خَيْرٌ حَافِظًا وَهُوَ أَرْحَمُ الرَّاحِمِينَ
12:81	17	ḥāfiẓīna	guardians	 وَمَا شَهِدْنَا إِلَّا بِمَا عَلِمْنَا وَمَا كُنَّا لِلْغَيْبِ حَافِظِينَ
15:9	7	laḥāfiẓūna	(are) surely Guardians	 إِنَّا نَحْنُ نَزَّلْنَا الذِّكْرَ وَإِنَّا لَهُ لَحَافِظُونَ
21:82	12	ḥāfiẓīna	Guardians	 وَيَعْمَلُونَ عَمَلًا دُونَ ذَٰلِكَ وَكُنَّا لَهُمْ حَافِظِينَ
23:5	4	ḥāfiẓūna	(are) guardians	 وَالَّذِينَ هُمْ لِفُرُوجِهِمْ حَافِظُونَ
33:35	18	wal-ḥāfiẓīna	and the men who guard	 وَالْحَافِظِينَ فُرُوجَهُمْ وَالْحَافِظَاتِ وَالذَّاكِرِينَ اللَّهَ كَثِيرًا وَالذَّاكِرَاتِ أَعَدَّ اللَّهُ لَهُمْ مَغْفِرَةً وَأَجْرًا عَظِيمًا
70:29	4	ḥāfiẓūna	(are) guardians	 وَالَّذِينَ هُمْ لِفُرُوجِهِمْ حَافِظُونَ
82:10	3	laḥāfiẓīna	(are) surely guardians	 وَإِنَّ عَلَيْكُمْ لَحَافِظِينَ
83:33	4	ḥāfiẓīna	(as) guardians	 وَمَا أُرْسِلُوا عَلَيْهِمْ حَافِظِينَ
86:4	6	ḥāfiẓun	(is) a protector	 إِنْ كُلُّ نَفْسٍ لَمَّا عَلَيْهَا حَافِظٌ
4:34	17	ḥāfiẓātun	guarding	 فَالصَّالِحَاتُ قَانِتَاتٌ حَافِظَاتٌ لِلْغَيْبِ بِمَا حَفِظَ اللَّهُ
33:35	20	wal-ḥāfiẓāti	and the women who guard (it)	 وَالْحَافِظِينَ فُرُوجَهُمْ وَالْحَافِظَاتِ وَالذَّاكِرِينَ اللَّهَ كَثِيرًا وَالذَّاكِرَاتِ أَعَدَّ اللَّهُ لَهُمْ مَغْفِرَةً وَأَجْرًا عَظِيمًا
4:80	12	ḥafīẓan	(as) a guardian	 وَمَنْ تَوَلَّىٰ فَمَا أَرْسَلْنَاكَ عَلَيْهِمْ حَفِيظًا
6:61	7	ḥafaẓatan	guardians	 وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ وَيُرْسِلُ عَلَيْكُمْ حَفَظَةً
6:104	15	biḥafīẓin	a guardian	 فَمَنْ أَبْصَرَ فَلِنَفْسِهِ وَمَنْ عَمِيَ فَعَلَيْهَا وَمَا أَنَا عَلَيْكُمْ بِحَفِيظٍ
6:107	9	ḥafīẓan	a guardian	 وَلَوْ شَاءَ اللَّهُ مَا أَشْرَكُوا وَمَا جَعَلْنَاكَ عَلَيْهِمْ حَفِيظًا
11:86	11	biḥafīẓin	a guardian	 بَقِيَّتُ اللَّهِ خَيْرٌ لَكُمْ إِنْ كُنْتُمْ مُؤْمِنِينَ وَمَا أَنَا عَلَيْكُمْ بِحَفِيظٍ
12:55	7	ḥafīẓun	(will be) a guardian	 قَالَ اجْعَلْنِي عَلَىٰ خَزَائِنِ الْأَرْضِ إِنِّي حَفِيظٌ عَلِيمٌ
42:48	6	ḥafīẓan	(as) a guardian	 فَإِنْ أَعْرَضُوا فَمَا أَرْسَلْنَاكَ عَلَيْهِمْ حَفِيظًا
11:57	21	ḥafīẓun	a Guardian	 إِنَّ رَبِّي عَلَىٰ كُلِّ شَيْءٍ حَفِيظٌ
34:21	21	ḥafīẓun	(is) a Guardian	 وَرَبُّكَ عَلَىٰ كُلِّ شَيْءٍ حَفِيظٌ
42:6	7	ḥafīẓun	(is) a Guardian	 وَالَّذِينَ اتَّخَذُوا مِنْ دُونِهِ أَوْلِيَاءَ اللَّهُ حَفِيظٌ عَلَيْهِمْ
50:4	9	ḥafīẓun	guarded	 قَدْ عَلِمْنَا مَا تَنْقُصُ الْأَرْضُ مِنْهُمْ وَعِنْدَنَا كِتَابٌ حَفِيظٌ
50:32	6	ḥafīẓin	(and) who keeps	 هَٰذَا مَا تُوعَدُونَ لِكُلِّ أَوَّابٍ حَفِيظٍ
21:32	4	maḥfūẓan	protected	 وَجَعَلْنَا السَّمَاءَ سَقْفًا مَحْفُوظًا وَهُمْ عَنْ آيَاتِهَا مُعْرِضُونَ
85:22	3	maḥfūẓin	Guarded	 فِي لَوْحٍ مَحْفُوظٍ
