surah:ayah	position	word	meaning	ayah_link
4:62	10	yaḥlifūna	swearing	 ثُمَّ جَاءُوكَ يَحْلِفُونَ بِاللَّهِ إِنْ أَرَدْنَا إِلَّا إِحْسَانًا وَتَوْفِيقًا
5:89	36	ḥalaftum	you have sworn	 فَمَنْ لَمْ يَجِدْ فَصِيَامُ ثَلَاثَةِ أَيَّامٍ ذَٰلِكَ كَفَّارَةُ أَيْمَانِكُمْ إِذَا حَلَفْتُمْ
9:42	12	wasayaḥlifūna	And they will swear	 وَسَيَحْلِفُونَ بِاللَّهِ لَوِ اسْتَطَعْنَا لَخَرَجْنَا مَعَكُمْ
9:56	1	wayaḥlifūna	And they swear	 وَيَحْلِفُونَ بِاللَّهِ إِنَّهُمْ لَمِنْكُمْ وَمَا هُمْ مِنْكُمْ وَلَٰكِنَّهُمْ قَوْمٌ يَفْرَقُونَ
9:62	1	yaḥlifūna	They swear	 يَحْلِفُونَ بِاللَّهِ لَكُمْ لِيُرْضُوكُمْ وَاللَّهُ وَرَسُولُهُ أَحَقُّ أَنْ يُرْضُوهُ
9:74	1	yaḥlifūna	They swear	 يَحْلِفُونَ بِاللَّهِ مَا قَالُوا وَلَقَدْ قَالُوا كَلِمَةَ الْكُفْرِ
9:95	1	sayaḥlifūna	They will swear	 سَيَحْلِفُونَ بِاللَّهِ لَكُمْ إِذَا انْقَلَبْتُمْ إِلَيْهِمْ لِتُعْرِضُوا عَنْهُمْ
9:96	1	yaḥlifūna	They swear	 يَحْلِفُونَ لَكُمْ لِتَرْضَوْا عَنْهُمْ
9:107	16	walayaḥlifunna	And surely they will swear	 وَلَيَحْلِفُنَّ إِنْ أَرَدْنَا إِلَّا الْحُسْنَىٰ
58:14	15	wayaḥlifūna	and they swear	 مَا هُمْ مِنْكُمْ وَلَا مِنْهُمْ وَيَحْلِفُونَ عَلَى الْكَذِبِ وَهُمْ يَعْلَمُونَ
58:18	5	fayaḥlifūna	then they will swear	 يَوْمَ يَبْعَثُهُمُ اللَّهُ جَمِيعًا فَيَحْلِفُونَ لَهُ
58:18	8	yaḥlifūna	they swear	 كَمَا يَحْلِفُونَ لَكُمْ وَيَحْسَبُونَ أَنَّهُمْ عَلَىٰ شَيْءٍ
68:10	4	ḥallāfin	habitual swearer	 وَلَا تُطِعْ كُلَّ حَلَّافٍ مَهِينٍ
