surah:ayah	position	word	meaning	ayah_link
2:228	7	yaḥillu	lawful	 وَلَا يَحِلُّ لَهُنَّ أَنْ يَكْتُمْنَ مَا خَلَقَ اللَّهُ فِي أَرْحَامِهِنَّ
2:229	9	yaḥillu	lawful	 وَلَا يَحِلُّ لَكُمْ أَنْ تَأْخُذُوا مِمَّا آتَيْتُمُوهُنَّ شَيْئًا
2:230	4	taḥillu	lawful	 فَإِنْ طَلَّقَهَا فَلَا تَحِلُّ لَهُ مِنْ بَعْدُ حَتَّىٰ تَنْكِحَ زَوْجًا غَيْرَهُ
4:19	5	yaḥillu	(is) lawful	 يَا أَيُّهَا الَّذِينَ آمَنُوا لَا يَحِلُّ لَكُمْ أَنْ تَرِثُوا النِّسَاءَ كَرْهًا
5:2	25	ḥalaltum	you come out of Ihram	 وَإِذَا حَلَلْتُمْ فَاصْطَادُوا
11:39	7	wayaḥillu	and will descend	 فَسَوْفَ تَعْلَمُونَ مَنْ يَأْتِيهِ عَذَابٌ يُخْزِيهِ وَيَحِلُّ عَلَيْهِ عَذَابٌ مُقِيمٌ
13:31	39	taḥullu	it settles	 تُصِيبُهُمْ بِمَا صَنَعُوا قَارِعَةٌ أَوْ تَحُلُّ قَرِيبًا مِنْ دَارِهِمْ
20:27	1	wa-uḥ'lul	And untie	 وَاحْلُلْ عُقْدَةً مِنْ لِسَانِي
20:81	9	fayaḥilla	lest should descend	 كُلُوا مِنْ طَيِّبَاتِ مَا رَزَقْنَاكُمْ وَلَا تَطْغَوْا فِيهِ فَيَحِلَّ عَلَيْكُمْ غَضَبِي
20:81	13	yaḥlil	on whom descends	 وَمَنْ يَحْلِلْ عَلَيْهِ غَضَبِي فَقَدْ هَوَىٰ
20:86	20	yaḥilla	descend	 أَمْ أَرَدْتُمْ أَنْ يَحِلَّ عَلَيْكُمْ غَضَبٌ مِنْ رَبِّكُمْ فَأَخْلَفْتُمْ مَوْعِدِي
33:52	2	yaḥillu	lawful	 لَا يَحِلُّ لَكَ النِّسَاءُ مِنْ بَعْدُ وَلَا أَنْ تَبَدَّلَ بِهِنَّ مِنْ أَزْوَاجٍ
39:40	5	wayaḥillu	and descends	 مَنْ يَأْتِيهِ عَذَابٌ يُخْزِيهِ وَيَحِلُّ عَلَيْهِ عَذَابٌ مُقِيمٌ
60:10	25	yaḥillūna	are lawful	 لَا هُنَّ حِلٌّ لَهُمْ وَلَا هُمْ يَحِلُّونَ لَهُنَّ
2:187	1	uḥilla	Permitted	 أُحِلَّ لَكُمْ لَيْلَةَ الصِّيَامِ الرَّفَثُ إِلَىٰ نِسَائِكُمْ
2:275	21	wa-aḥalla	While has permitted	 وَأَحَلَّ اللَّهُ الْبَيْعَ وَحَرَّمَ الرِّبَا
