surah:ayah	position	word	meaning	ayah_link
84:14	5	yaḥūra	he would return	 إِنَّهُ ظَنَّ أَنْ لَنْ يَحُورَ
18:34	7	yuḥāwiruhu	(was) talking with him	 فَقَالَ لِصَاحِبِهِ وَهُوَ يُحَاوِرُهُ أَنَا أَكْثَرُ مِنْكَ مَالًا وَأَعَزُّ نَفَرًا
18:37	5	yuḥāwiruhu	was talking to him	 قَالَ لَهُ صَاحِبُهُ وَهُوَ يُحَاوِرُهُ أَكَفَرْتَ بِالَّذِي خَلَقَكَ مِنْ تُرَابٍ
3:52	12	l-ḥawāriyūna	the disciples	 قَالَ الْحَوَارِيُّونَ نَحْنُ أَنْصَارُ اللَّهِ آمَنَّا بِاللَّهِ
5:111	4	l-ḥawāriyīna	the disciples	 وَإِذْ أَوْحَيْتُ إِلَى الْحَوَارِيِّينَ أَنْ آمِنُوا بِي وَبِرَسُولِي قَالُوا آمَنَّا
5:112	3	l-ḥawāriyūna	the disciples	 إِذْ قَالَ الْحَوَارِيُّونَ يَا عِيسَى ابْنَ مَرْيَمَ هَلْ يَسْتَطِيعُ رَبُّكَ أَنْ يُنَزِّلَ عَلَيْنَا مَائِدَةً مِنَ السَّمَاءِ
61:14	12	lil'ḥawāriyyīna	to the disciples	 قَالَ عِيسَى ابْنُ مَرْيَمَ لِلْحَوَارِيِّينَ مَنْ أَنْصَارِي إِلَى اللَّهِ
61:14	18	l-ḥawāriyūna	the disciples	 قَالَ الْحَوَارِيُّونَ نَحْنُ أَنْصَارُ اللَّهِ
44:54	3	biḥūrin	(to) companions with beautiful eyes	 كَذَٰلِكَ وَزَوَّجْنَاهُمْ بِحُورٍ عِينٍ
52:20	6	biḥūrin	to fair ones	 مُتَّكِئِينَ عَلَىٰ سُرُرٍ مَصْفُوفَةٍ وَزَوَّجْنَاهُمْ بِحُورٍ عِينٍ
55:72	1	ḥūrun	Fair ones	 حُورٌ مَقْصُورَاتٌ فِي الْخِيَامِ
56:22	1	waḥūrun	And fair ones	 وَحُورٌ عِينٌ
58:1	14	taḥāwurakumā	(the) dialogue of both of you	 وَتَشْتَكِي إِلَى اللَّهِ وَاللَّهُ يَسْمَعُ تَحَاوُرَكُمَا
