surah:ayah	position	word	meaning	ayah_link
5:56	8	ḥiz'ba	(the) party	 وَمَنْ يَتَوَلَّ اللَّهَ وَرَسُولَهُ وَالَّذِينَ آمَنُوا فَإِنَّ حِزْبَ اللَّهِ هُمُ الْغَالِبُونَ
11:17	23	l-aḥzābi	the sects	 وَمَنْ يَكْفُرْ بِهِ مِنَ الْأَحْزَابِ فَالنَّارُ مَوْعِدُهُ
13:36	9	l-aḥzābi	the groups	 وَمِنَ الْأَحْزَابِ مَنْ يُنْكِرُ بَعْضَهُ
18:12	5	l-ḥiz'bayni	(of) the two parties	 ثُمَّ بَعَثْنَاهُمْ لِنَعْلَمَ أَيُّ الْحِزْبَيْنِ أَحْصَىٰ لِمَا لَبِثُوا أَمَدًا
19:37	2	l-aḥzābu	the sects	 فَاخْتَلَفَ الْأَحْزَابُ مِنْ بَيْنِهِمْ
23:53	6	ḥiz'bin	faction	 فَتَقَطَّعُوا أَمْرَهُمْ بَيْنَهُمْ زُبُرًا كُلُّ حِزْبٍ بِمَا لَدَيْهِمْ فَرِحُونَ
30:32	8	ḥiz'bin	party	 كُلُّ حِزْبٍ بِمَا لَدَيْهِمْ فَرِحُونَ
33:20	2	l-aḥzāba	the confederates	 يَحْسَبُونَ الْأَحْزَابَ لَمْ يَذْهَبُوا
33:20	7	l-aḥzābu	the confederates	 وَإِنْ يَأْتِ الْأَحْزَابُ يَوَدُّوا لَوْ أَنَّهُمْ بَادُونَ فِي الْأَعْرَابِ
33:22	4	l-aḥzāba	the confederates	 وَلَمَّا رَأَى الْمُؤْمِنُونَ الْأَحْزَابَ قَالُوا هَٰذَا مَا وَعَدَنَا اللَّهُ وَرَسُولُهُ
35:6	9	ḥiz'bahu	his party	 إِنَّمَا يَدْعُو حِزْبَهُ لِيَكُونُوا مِنْ أَصْحَابِ السَّعِيرِ
38:11	6	l-aḥzābi	the companies	 مَا هُنَالِكَ مَهْزُومٌ مِنَ الْأَحْزَابِ
38:13	7	l-aḥzābu	(were) the companies	 وَثَمُودُ وَقَوْمُ لُوطٍ وَأَصْحَابُ الْأَيْكَةِ أُولَٰئِكَ الْأَحْزَابُ
40:5	5	wal-aḥzābu	and the factions	 كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ وَالْأَحْزَابُ مِنْ بَعْدِهِمْ
40:30	10	l-aḥzābi	(of) the companies	 وَقَالَ الَّذِي آمَنَ يَا قَوْمِ إِنِّي أَخَافُ عَلَيْكُمْ مِثْلَ يَوْمِ الْأَحْزَابِ
43:65	2	l-aḥzābu	the factions	 فَاخْتَلَفَ الْأَحْزَابُ مِنْ بَيْنِهِمْ فَوَيْلٌ لِلَّذِينَ ظَلَمُوا مِنْ عَذَابِ يَوْمٍ أَلِيمٍ
58:19	8	ḥiz'bu	(are the) party	 اسْتَحْوَذَ عَلَيْهِمُ الشَّيْطَانُ فَأَنْسَاهُمْ ذِكْرَ اللَّهِ أُولَٰئِكَ حِزْبُ الشَّيْطَانِ
58:19	12	ḥiz'ba	(the) party	 أَلَا إِنَّ حِزْبَ الشَّيْطَانِ هُمُ الْخَاسِرُونَ
58:22	44	ḥiz'bu	(are the) party	 رَضِيَ اللَّهُ عَنْهُمْ وَرَضُوا عَنْهُ أُولَٰئِكَ حِزْبُ اللَّهِ
58:22	48	ḥiz'ba	(the) party	 أَلَا إِنَّ حِزْبَ اللَّهِ هُمُ الْمُفْلِحُونَ
