surah:ayah	position	word	meaning	ayah_link
11:112	8	taṭghaw	transgress	 فَاسْتَقِمْ كَمَا أُمِرْتَ وَمَنْ تَابَ مَعَكَ وَلَا تَطْغَوْا
20:24	5	ṭaghā	(has) transgressed	 اذْهَبْ إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ
20:43	5	ṭaghā	(has) transgressed	 اذْهَبَا إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ
20:45	10	yaṭghā	he will transgress	 قَالَا رَبَّنَا إِنَّنَا نَخَافُ أَنْ يَفْرُطَ عَلَيْنَا أَوْ أَنْ يَطْغَىٰ
20:81	7	taṭghaw	transgress	 وَلَا تَطْغَوْا فِيهِ فَيَحِلَّ عَلَيْكُمْ غَضَبِي وَمَنْ يَحْلِلْ عَلَيْهِ غَضَبِي
53:17	5	ṭaghā	it transgressed	 مَا زَاغَ الْبَصَرُ وَمَا طَغَىٰ
55:8	2	taṭghaw	you may transgress	 أَلَّا تَطْغَوْا فِي الْمِيزَانِ
69:11	3	ṭaghā	overflowed	 إِنَّا لَمَّا طَغَى الْمَاءُ حَمَلْنَاكُمْ فِي الْجَارِيَةِ
79:17	5	ṭaghā	(has) transgressed	 اذْهَبْ إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ
79:37	3	ṭaghā	transgressed	 فَأَمَّا مَنْ طَغَىٰ
89:11	2	ṭaghaw	transgressed	 الَّذِينَ طَغَوْا فِي الْبِلَادِ
96:6	4	layaṭghā	surely transgresses	 كَلَّا إِنَّ الْإِنْسَانَ لَيَطْغَىٰ
50:27	5	aṭghaytuhu	I made him transgress	 قَالَ قَرِينُهُ رَبَّنَا مَا أَطْغَيْتُهُ وَلَٰكِنْ كَانَ فِي ضَلَالٍ بَعِيدٍ
53:52	9	wa-aṭghā	and more rebellious	 وَقَوْمَ نُوحٍ مِنْ قَبْلُ إِنَّهُمْ كَانُوا هُمْ أَظْلَمَ وَأَطْغَىٰ
