surah:ayah	position	word	meaning	ayah_link
4:64	6	liyuṭāʿa	to be obeyed	 وَمَا أَرْسَلْنَا مِنْ رَسُولٍ إِلَّا لِيُطَاعَ بِإِذْنِ اللَّهِ
40:18	15	yuṭāʿu	(who) is obeyed	 مَا لِلظَّالِمِينَ مِنْ حَمِيمٍ وَلَا شَفِيعٍ يُطَاعُ
5:30	1	faṭawwaʿat	Then prompted	 فَطَوَّعَتْ لَهُ نَفْسُهُ قَتْلَ أَخِيهِ فَقَتَلَهُ
2:285	23	wa-aṭaʿnā	and we obeyed	 وَقَالُوا سَمِعْنَا وَأَطَعْنَا غُفْرَانَكَ رَبَّنَا وَإِلَيْكَ الْمَصِيرُ
3:32	2	aṭīʿū	Obey	 قُلْ أَطِيعُوا اللَّهَ وَالرَّسُولَ
3:50	19	wa-aṭīʿūni	and obey me	 وَجِئْتُكُمْ بِآيَةٍ مِنْ رَبِّكُمْ فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
3:100	5	tuṭīʿū	you obey	 إِنْ تُطِيعُوا فَرِيقًا مِنَ الَّذِينَ أُوتُوا الْكِتَابَ يَرُدُّوكُمْ بَعْدَ إِيمَانِكُمْ كَافِرِينَ
3:132	1	wa-aṭīʿū	And obey	 وَأَطِيعُوا اللَّهَ وَالرَّسُولَ لَعَلَّكُمْ تُرْحَمُونَ
3:149	5	tuṭīʿū	you obey	 إِنْ تُطِيعُوا الَّذِينَ كَفَرُوا يَرُدُّوكُمْ عَلَىٰ أَعْقَابِكُمْ
3:168	6	aṭāʿūnā	they (had) obeyed us	 الَّذِينَ قَالُوا لِإِخْوَانِهِمْ وَقَعَدُوا لَوْ أَطَاعُونَا مَا قُتِلُوا
4:13	5	yuṭiʿi	obeys	 وَمَنْ يُطِعِ اللَّهَ وَرَسُولَهُ يُدْخِلْهُ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
4:34	31	aṭaʿnakum	they obey you	 فَإِنْ أَطَعْنَكُمْ فَلَا تَبْغُوا عَلَيْهِنَّ سَبِيلًا
4:46	24	wa-aṭaʿnā	and we obey[ed]	 وَلَوْ أَنَّهُمْ قَالُوا سَمِعْنَا وَأَطَعْنَا وَاسْمَعْ وَانْظُرْنَا لَكَانَ خَيْرًا لَهُمْ
4:59	4	aṭīʿū	Obey	 يَا أَيُّهَا الَّذِينَ آمَنُوا أَطِيعُوا اللَّهَ
4:59	6	wa-aṭīʿū	and obey	 وَأَطِيعُوا الرَّسُولَ وَأُولِي الْأَمْرِ مِنْكُمْ
4:69	2	yuṭiʿi	obeys	 وَمَنْ يُطِعِ اللَّهَ وَالرَّسُولَ فَأُولَٰئِكَ مَعَ الَّذِينَ أَنْعَمَ اللَّهُ عَلَيْهِمْ
4:80	2	yuṭiʿi	obeys	 مَنْ يُطِعِ الرَّسُولَ فَقَدْ أَطَاعَ اللَّهَ
4:80	5	aṭāʿa	he obeyed	 مَنْ يُطِعِ الرَّسُولَ فَقَدْ أَطَاعَ اللَّهَ
5:7	12	wa-aṭaʿnā	and we obeyed	 وَاذْكُرُوا نِعْمَةَ اللَّهِ عَلَيْكُمْ وَمِيثَاقَهُ الَّذِي وَاثَقَكُمْ بِهِ إِذْ قُلْتُمْ سَمِعْنَا وَأَطَعْنَا
5:92	1	wa-aṭīʿū	And obey	 وَأَطِيعُوا اللَّهَ
5:92	3	wa-aṭīʿū	and obey	 وَأَطِيعُوا الرَّسُولَ وَاحْذَرُوا
6:116	2	tuṭiʿ	you obey	 وَإِنْ تُطِعْ أَكْثَرَ مَنْ فِي الْأَرْضِ يُضِلُّوكَ عَنْ سَبِيلِ اللَّهِ
