surah:ayah	position	word	meaning	ayah_link
37:45	1	yuṭāfu	Will be circulated	 يُطَافُ عَلَيْهِمْ بِكَأْسٍ مِنْ مَعِينٍ
43:71	1	yuṭāfu	Will be circulated	 يُطَافُ عَلَيْهِمْ بِصِحَافٍ مِنْ ذَهَبٍ وَأَكْوَابٍ
52:24	1	wayaṭūfu	And will circulate	 وَيَطُوفُ عَلَيْهِمْ غِلْمَانٌ لَهُمْ كَأَنَّهُمْ لُؤْلُؤٌ مَكْنُونٌ
55:44	1	yaṭūfūna	They will go around	 يَطُوفُونَ بَيْنَهَا وَبَيْنَ حَمِيمٍ آنٍ
56:17	1	yaṭūfu	Will circulate	 يَطُوفُ عَلَيْهِمْ وِلْدَانٌ مُخَلَّدُونَ
68:19	1	faṭāfa	So there came	 فَطَافَ عَلَيْهَا طَائِفٌ مِنْ رَبِّكَ وَهُمْ نَائِمُونَ
76:15	1	wayuṭāfu	And will be circulated	 وَيُطَافُ عَلَيْهِمْ بِآنِيَةٍ مِنْ فِضَّةٍ وَأَكْوَابٍ كَانَتْ قَوَارِيرَا
76:19	1	wayaṭūfu	And will circulate	 وَيَطُوفُ عَلَيْهِمْ وِلْدَانٌ مُخَلَّدُونَ
2:158	16	yaṭṭawwafa	he walks	 فَمَنْ حَجَّ الْبَيْتَ أَوِ اعْتَمَرَ فَلَا جُنَاحَ عَلَيْهِ أَنْ يَطَّوَّفَ بِهِمَا
22:29	6	walyaṭṭawwafū	and circumambulate	 وَلْيُوفُوا نُذُورَهُمْ وَلْيَطَّوَّفُوا بِالْبَيْتِ الْعَتِيقِ
3:69	2	ṭāifatun	a group	 وَدَّتْ طَائِفَةٌ مِنْ أَهْلِ الْكِتَابِ لَوْ يُضِلُّونَكُمْ
3:72	2	ṭāifatun	a group	 وَقَالَتْ طَائِفَةٌ مِنْ أَهْلِ الْكِتَابِ آمِنُوا بِالَّذِي أُنْزِلَ عَلَى الَّذِينَ آمَنُوا وَجْهَ النَّهَارِ وَاكْفُرُوا آخِرَهُ
3:122	3	ṭāifatāni	two parties	 إِذْ هَمَّتْ طَائِفَتَانِ مِنْكُمْ أَنْ تَفْشَلَا وَاللَّهُ وَلِيُّهُمَا
3:154	10	ṭāifatan	a group	 ثُمَّ أَنْزَلَ عَلَيْكُمْ مِنْ بَعْدِ الْغَمِّ أَمَنَةً نُعَاسًا يَغْشَىٰ طَائِفَةً مِنْكُمْ
3:154	12	waṭāifatun	while a group	 وَطَائِفَةٌ قَدْ أَهَمَّتْهُمْ أَنْفُسُهُمْ يَظُنُّونَ بِاللَّهِ غَيْرَ الْحَقِّ
4:81	8	ṭāifatun	a group	 فَإِذَا بَرَزُوا مِنْ عِنْدِكَ بَيَّتَ طَائِفَةٌ مِنْهُمْ غَيْرَ الَّذِي تَقُولُ
4:102	8	ṭāifatun	a group	 فَلْتَقُمْ طَائِفَةٌ مِنْهُمْ مَعَكَ وَلْيَأْخُذُوا أَسْلِحَتَهُمْ
4:102	19	ṭāifatun	a group 	 وَلْتَأْتِ طَائِفَةٌ أُخْرَىٰ لَمْ يُصَلُّوا فَلْيُصَلُّوا مَعَكَ
4:113	7	ṭāifatun	a group	 وَلَوْلَا فَضْلُ اللَّهِ عَلَيْكَ وَرَحْمَتُهُ لَهَمَّتْ طَائِفَةٌ مِنْهُمْ أَنْ يُضِلُّوكَ
6:156	7	ṭāifatayni	the two groups	 أَنْ تَقُولُوا إِنَّمَا أُنْزِلَ الْكِتَابُ عَلَىٰ طَائِفَتَيْنِ مِنْ قَبْلِنَا
7:87	3	ṭāifatun	a group	 وَإِنْ كَانَ طَائِفَةٌ مِنْكُمْ آمَنُوا بِالَّذِي أُرْسِلْتُ بِهِ
7:87	9	waṭāifatun	and a group	 وَطَائِفَةٌ لَمْ يُؤْمِنُوا فَاصْبِرُوا حَتَّىٰ يَحْكُمَ اللَّهُ بَيْنَنَا
8:7	5	l-ṭāifatayni	(of) the two groups 	 وَإِذْ يَعِدُكُمُ اللَّهُ إِحْدَى الطَّائِفَتَيْنِ أَنَّهَا لَكُمْ
9:66	10	ṭāifatin	a party	 إِنْ نَعْفُ عَنْ طَائِفَةٍ مِنْكُمْ
9:66	13	ṭāifatan	a party	 نُعَذِّبْ طَائِفَةً بِأَنَّهُمْ كَانُوا مُجْرِمِينَ
9:83	5	ṭāifatin	a group	 فَإِنْ رَجَعَكَ اللَّهُ إِلَىٰ طَائِفَةٍ مِنْهُمْ فَاسْتَأْذَنُوكَ لِلْخُرُوجِ فَقُلْ لَنْ تَخْرُجُوا مَعِيَ أَبَدًا
9:122	12	ṭāifatun	a party	 فَلَوْلَا نَفَرَ مِنْ كُلِّ فِرْقَةٍ مِنْهُمْ طَائِفَةٌ لِيَتَفَقَّهُوا فِي الدِّينِ
