surah:ayah	position	word	meaning	ayah_link
6:151	29	baṭana	(is) concealed	 وَلَا تَقْرَبُوا الْفَوَاحِشَ مَا ظَهَرَ مِنْهَا وَمَا بَطَنَ
7:33	10	baṭana	is concealed	 قُلْ إِنَّمَا حَرَّمَ رَبِّيَ الْفَوَاحِشَ مَا ظَهَرَ مِنْهَا وَمَا بَطَنَ
3:118	6	biṭānatan	(as) intimates	 يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَتَّخِذُوا بِطَانَةً مِنْ دُونِكُمْ
55:54	4	baṭāinuhā	(whose) inner linings	 مُتَّكِئِينَ عَلَىٰ فُرُشٍ بَطَائِنُهَا مِنْ إِسْتَبْرَقٍ
2:174	17	buṭūnihim	their bellies	 أُولَٰئِكَ مَا يَأْكُلُونَ فِي بُطُونِهِمْ إِلَّا النَّارَ
3:35	11	baṭnī	my womb	 إِنِّي نَذَرْتُ لَكَ مَا فِي بَطْنِي مُحَرَّرًا فَتَقَبَّلْ مِنِّي
4:10	10	buṭūnihim	their bellies	 إِنَّمَا يَأْكُلُونَ فِي بُطُونِهِمْ نَارًا وَسَيَصْلَوْنَ سَعِيرًا
6:139	4	buṭūni	(the) wombs	 وَقَالُوا مَا فِي بُطُونِ هَٰذِهِ الْأَنْعَامِ خَالِصَةٌ لِذُكُورِنَا
16:66	9	buṭūnihi	their bellies	 نُسْقِيكُمْ مِمَّا فِي بُطُونِهِ مِنْ بَيْنِ فَرْثٍ وَدَمٍ لَبَنًا خَالِصًا
16:69	12	buṭūnihā	their bellies	 يَخْرُجُ مِنْ بُطُونِهَا شَرَابٌ مُخْتَلِفٌ أَلْوَانُهُ فِيهِ شِفَاءٌ لِلنَّاسِ
16:78	4	buṭūni	the wombs	 وَاللَّهُ أَخْرَجَكُمْ مِنْ بُطُونِ أُمَّهَاتِكُمْ لَا تَعْلَمُونَ شَيْئًا
22:20	5	buṭūnihim	their bellies	 يُصْهَرُ بِهِ مَا فِي بُطُونِهِمْ وَالْجُلُودُ
23:21	9	buṭūnihā	their bellies	 نُسْقِيكُمْ مِمَّا فِي بُطُونِهَا وَلَكُمْ فِيهَا مَنَافِعُ كَثِيرَةٌ
24:45	11	baṭnihi	its belly	 فَمِنْهُمْ مَنْ يَمْشِي عَلَىٰ بَطْنِهِ وَمِنْهُمْ مَنْ يَمْشِي عَلَىٰ رِجْلَيْنِ
37:66	6	l-buṭūna	(their) bellies	 فَإِنَّهُمْ لَآكِلُونَ مِنْهَا فَمَالِئُونَ مِنْهَا الْبُطُونَ
37:144	3	baṭnihi	its belly	 لَلَبِثَ فِي بَطْنِهِ إِلَىٰ يَوْمِ يُبْعَثُونَ
39:6	17	buṭūni	(the) wombs	 يَخْلُقُكُمْ فِي بُطُونِ أُمَّهَاتِكُمْ خَلْقًا مِنْ بَعْدِ خَلْقٍ فِي ظُلُمَاتٍ ثَلَاثٍ
44:45	4	l-buṭūni	the bellies	 كَالْمُهْلِ يَغْلِي فِي الْبُطُونِ
48:24	8	bibaṭni	within	 وَهُوَ الَّذِي كَفَّ أَيْدِيَهُمْ عَنْكُمْ وَأَيْدِيَكُمْ عَنْهُمْ بِبَطْنِ مَكَّةَ
53:32	23	buṭūni	(the) wombs	 إِذْ أَنْشَأَكُمْ مِنَ الْأَرْضِ وَإِذْ أَنْتُمْ أَجِنَّةٌ فِي بُطُونِ أُمَّهَاتِكُمْ
56:53	3	l-buṭūna	the bellies	 فَمَالِئُونَ مِنْهَا الْبُطُونَ
6:120	4	wabāṭinahu	and the secret	 وَذَرُوا ظَاهِرَ الْإِثْمِ وَبَاطِنَهُ
57:3	5	wal-bāṭinu	and the Unapparent	 هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ
57:13	21	bāṭinuhu	its interior	 فَضُرِبَ بَيْنَهُمْ بِسُورٍ لَهُ بَابٌ بَاطِنُهُ فِيهِ الرَّحْمَةُ
31:20	17	wabāṭinatan	and hidden	 وَأَسْبَغَ عَلَيْكُمْ نِعَمَهُ ظَاهِرَةً وَبَاطِنَةً
