surah:ayah	position	word	meaning	ayah_link
2:260	22	faṣur'hunna	and incline them	 قَالَ فَخُذْ أَرْبَعَةً مِنَ الطَّيْرِ فَصُرْهُنَّ إِلَيْكَ
3:6	3	yuṣawwirukum	shapes you	 هُوَ الَّذِي يُصَوِّرُكُمْ فِي الْأَرْحَامِ كَيْفَ يَشَاءُ
7:11	4	ṣawwarnākum	We fashioned you	 وَلَقَدْ خَلَقْنَاكُمْ ثُمَّ صَوَّرْنَاكُمْ ثُمَّ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ
40:64	9	waṣawwarakum	and He formed you	 وَصَوَّرَكُمْ فَأَحْسَنَ صُوَرَكُمْ وَرَزَقَكُمْ مِنَ الطَّيِّبَاتِ
64:3	5	waṣawwarakum	and He formed you	 وَصَوَّرَكُمْ فَأَحْسَنَ صُوَرَكُمْ وَإِلَيْهِ الْمَصِيرُ
6:73	18	l-ṣūri	the trumpet	 قَوْلُهُ الْحَقُّ وَلَهُ الْمُلْكُ يَوْمَ يُنْفَخُ فِي الصُّورِ
18:99	9	l-ṣūri	the trumpet	 وَنُفِخَ فِي الصُّورِ فَجَمَعْنَاهُمْ جَمْعًا
20:102	4	l-ṣūri	the Trumpet	 يَوْمَ يُنْفَخُ فِي الصُّورِ وَنَحْشُرُ الْمُجْرِمِينَ يَوْمَئِذٍ زُرْقًا
23:101	4	l-ṣūri	the trumpet	 فَإِذَا نُفِخَ فِي الصُّورِ فَلَا أَنْسَابَ بَيْنَهُمْ يَوْمَئِذٍ وَلَا يَتَسَاءَلُونَ
27:87	4	l-ṣūri	the trumpet	 وَيَوْمَ يُنْفَخُ فِي الصُّورِ فَفَزِعَ مَنْ فِي السَّمَاوَاتِ وَمَنْ فِي الْأَرْضِ
36:51	3	l-ṣūri	the trumpet	 وَنُفِخَ فِي الصُّورِ فَإِذَا هُمْ مِنَ الْأَجْدَاثِ إِلَىٰ رَبِّهِمْ يَنْسِلُونَ
39:68	3	l-ṣūri	the trumpet	 وَنُفِخَ فِي الصُّورِ فَصَعِقَ مَنْ فِي السَّمَاوَاتِ وَمَنْ فِي الْأَرْضِ
50:20	3	l-ṣūri	the trumpet	 وَنُفِخَ فِي الصُّورِ ذَٰلِكَ يَوْمُ الْوَعِيدِ
69:13	4	l-ṣūri	the trumpet 	 فَإِذَا نُفِخَ فِي الصُّورِ نَفْخَةٌ وَاحِدَةٌ
78:18	4	l-ṣūri	the trumpet	 يَوْمَ يُنْفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
40:64	11	ṣuwarakum	your forms	 وَصَوَّرَكُمْ فَأَحْسَنَ صُوَرَكُمْ وَرَزَقَكُمْ مِنَ الطَّيِّبَاتِ
64:3	7	ṣuwarakum	your forms	 وَصَوَّرَكُمْ فَأَحْسَنَ صُوَرَكُمْ وَإِلَيْهِ الْمَصِيرُ
82:8	3	ṣūratin	form	 فِي أَيِّ صُورَةٍ مَا شَاءَ رَكَّبَكَ
59:24	5	l-muṣawiru	the Fashioner	 هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ
