surah:ayah	position	word	meaning	ayah_link
30:44	9	yamhadūna	they are preparing	 مَنْ كَفَرَ فَعَلَيْهِ كُفْرُهُ وَمَنْ عَمِلَ صَالِحًا فَلِأَنْفُسِهِمْ يَمْهَدُونَ
74:14	1	wamahhadttu	And I spread	 وَمَهَّدْتُ لَهُ تَمْهِيدًا
2:206	12	l-mihādu	[the] resting-place	 فَحَسْبُهُ جَهَنَّمُ وَلَبِئْسَ الْمِهَادُ
3:12	9	l-mihādu	[the] resting place	 قُلْ لِلَّذِينَ كَفَرُوا سَتُغْلَبُونَ وَتُحْشَرُونَ إِلَىٰ جَهَنَّمَ وَبِئْسَ الْمِهَادُ
3:197	7	l-mihādu	[the] resting place	 مَتَاعٌ قَلِيلٌ ثُمَّ مَأْوَاهُمْ جَهَنَّمُ وَبِئْسَ الْمِهَادُ
7:41	4	mihādun	(is) a bed	 لَهُمْ مِنْ جَهَنَّمَ مِهَادٌ وَمِنْ فَوْقِهِمْ غَوَاشٍ
13:18	27	l-mihādu	(is) the resting place	 أُولَٰئِكَ لَهُمْ سُوءُ الْحِسَابِ وَمَأْوَاهُمْ جَهَنَّمُ وَبِئْسَ الْمِهَادُ
38:56	4	l-mihādu	the resting place	 جَهَنَّمَ يَصْلَوْنَهَا فَبِئْسَ الْمِهَادُ
78:6	4	mihādan	a resting place	 أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا
3:46	4	l-mahdi	the cradle	 وَيُكَلِّمُ النَّاسَ فِي الْمَهْدِ وَكَهْلًا وَمِنَ الصَّالِحِينَ
5:110	19	l-mahdi	the cradle	 إِذْ أَيَّدْتُكَ بِرُوحِ الْقُدُسِ تُكَلِّمُ النَّاسَ فِي الْمَهْدِ وَكَهْلًا
19:29	9	l-mahdi	the cradle	 فَأَشَارَتْ إِلَيْهِ قَالُوا كَيْفَ نُكَلِّمُ مَنْ كَانَ فِي الْمَهْدِ صَبِيًّا
20:53	5	mahdan	(as) a bed	 الَّذِي جَعَلَ لَكُمُ الْأَرْضَ مَهْدًا وَسَلَكَ لَكُمْ فِيهَا سُبُلًا
43:10	5	mahdan	a bed	 الَّذِي جَعَلَ لَكُمُ الْأَرْضَ مَهْدًا وَجَعَلَ لَكُمْ فِيهَا سُبُلًا
51:48	4	l-māhidūna	(are) the Spreaders	 وَالْأَرْضَ فَرَشْنَاهَا فَنِعْمَ الْمَاهِدُونَ
74:14	3	tamhīdan	ease	 وَمَهَّدْتُ لَهُ تَمْهِيدًا
