surah:ayah	position	word	meaning	ayah_link
3:49	18	fa-anfukhu	then I breath	 فَأَنْفُخُ فِيهِ فَيَكُونُ طَيْرًا بِإِذْنِ اللَّهِ
5:110	34	fatanfukhu	then you breath	 فَتَنْفُخُ فِيهَا فَتَكُونُ طَيْرًا بِإِذْنِي
6:73	16	yunfakhu	will be blown	 قَوْلُهُ الْحَقُّ وَلَهُ الْمُلْكُ يَوْمَ يُنْفَخُ فِي الصُّورِ
15:29	3	wanafakhtu	and [I] breathed	 فَإِذَا سَوَّيْتُهُ وَنَفَخْتُ فِيهِ مِنْ رُوحِي فَقَعُوا لَهُ سَاجِدِينَ
18:96	10	unfukhū	Blow	 حَتَّىٰ إِذَا سَاوَىٰ بَيْنَ الصَّدَفَيْنِ قَالَ انْفُخُوا
18:99	7	wanufikha	and (will be) blown	 وَنُفِخَ فِي الصُّورِ فَجَمَعْنَاهُمْ جَمْعًا
20:102	2	yunfakhu	will be blown	 يَوْمَ يُنْفَخُ فِي الصُّورِ وَنَحْشُرُ الْمُجْرِمِينَ يَوْمَئِذٍ زُرْقًا
21:91	4	fanafakhnā	so We breathed	 وَالَّتِي أَحْصَنَتْ فَرْجَهَا فَنَفَخْنَا فِيهَا مِنْ رُوحِنَا
23:101	2	nufikha	is blown	 فَإِذَا نُفِخَ فِي الصُّورِ فَلَا أَنْسَابَ بَيْنَهُمْ يَوْمَئِذٍ وَلَا يَتَسَاءَلُونَ
27:87	2	yunfakhu	will be blown	 وَيَوْمَ يُنْفَخُ فِي الصُّورِ فَفَزِعَ مَنْ فِي السَّمَاوَاتِ وَمَنْ فِي الْأَرْضِ
32:9	3	wanafakha	and breathed	 ثُمَّ سَوَّاهُ وَنَفَخَ فِيهِ مِنْ رُوحِهِ
36:51	1	wanufikha	And will be blown	 وَنُفِخَ فِي الصُّورِ فَإِذَا هُمْ مِنَ الْأَجْدَاثِ إِلَىٰ رَبِّهِمْ يَنْسِلُونَ
38:72	3	wanafakhtu	and breathed	 فَإِذَا سَوَّيْتُهُ وَنَفَخْتُ فِيهِ مِنْ رُوحِي فَقَعُوا لَهُ سَاجِدِينَ
39:68	1	wanufikha	And (will) be blown	 وَنُفِخَ فِي الصُّورِ فَصَعِقَ مَنْ فِي السَّمَاوَاتِ وَمَنْ فِي الْأَرْضِ إِلَّا مَنْ شَاءَ اللَّهُ
39:68	16	nufikha	(it will) be blown	 ثُمَّ نُفِخَ فِيهِ أُخْرَىٰ فَإِذَا هُمْ قِيَامٌ يَنْظُرُونَ
50:20	1	wanufikha	And will be blown	 وَنُفِخَ فِي الصُّورِ ذَٰلِكَ يَوْمُ الْوَعِيدِ
66:12	7	fanafakhnā	so We breathed	 وَمَرْيَمَ ابْنَتَ عِمْرَانَ الَّتِي أَحْصَنَتْ فَرْجَهَا فَنَفَخْنَا فِيهِ مِنْ رُوحِنَا
69:13	2	nufikha	is blown	 فَإِذَا نُفِخَ فِي الصُّورِ نَفْخَةٌ وَاحِدَةٌ
78:18	2	yunfakhu	(in which) shall be blown	 يَوْمَ يُنْفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
69:13	5	nafkhatun	a blast	 فَإِذَا نُفِخَ فِي الصُّورِ نَفْخَةٌ وَاحِدَةٌ
