surah:ayah	position	word	meaning	form	p-o-s	ayah_link
2:155	1	walanabluwannakum	And surely We will test you	I	Verb	 وَلَنَبْلُوَنَّكُمْ بِشَيْءٍ مِنَ الْخَوْفِ وَالْجُوعِ وَنَقْصٍ مِنَ الْأَمْوَالِ وَالْأَنْفُسِ
5:48	37	liyabluwakum	to test you	I	Verb	 وَلَوْ شَاءَ اللَّهُ لَجَعَلَكُمْ أُمَّةً وَاحِدَةً وَلَٰكِنْ لِيَبْلُوَكُمْ فِي مَا آتَاكُمْ
5:94	4	layabluwannakumu	Surely will test you	I	Verb	 يَا أَيُّهَا الَّذِينَ آمَنُوا لَيَبْلُوَنَّكُمُ اللَّهُ بِشَيْءٍ مِنَ الصَّيْدِ
6:165	11	liyabluwakum	so that He may test you	I	Verb	 وَرَفَعَ بَعْضَكُمْ فَوْقَ بَعْضٍ دَرَجَاتٍ لِيَبْلُوَكُمْ فِي مَا آتَاكُمْ
7:163	24	nablūhum	We test them	I	Verb	 كَذَٰلِكَ نَبْلُوهُمْ بِمَا كَانُوا يَفْسُقُونَ
7:168	10	wabalawnāhum	And We tested them	I	Verb	 وَبَلَوْنَاهُمْ بِالْحَسَنَاتِ وَالسَّيِّئَاتِ لَعَلَّهُمْ يَرْجِعُونَ
10:30	2	tablū	will be put to trial	I	Verb	 هُنَالِكَ تَبْلُو كُلُّ نَفْسٍ مَا أَسْلَفَتْ
11:7	13	liyabluwakum	that He might test [you]	I	Verb	 وَكَانَ عَرْشُهُ عَلَى الْمَاءِ لِيَبْلُوَكُمْ أَيُّكُمْ أَحْسَنُ عَمَلًا
16:92	22	yablūkumu	Allah tests you	I	Verb	 إِنَّمَا يَبْلُوكُمُ اللَّهُ بِهِ
18:7	8	linabluwahum	that We may test [them]	I	Verb	 إِنَّا جَعَلْنَا مَا عَلَى الْأَرْضِ زِينَةً لَهَا لِنَبْلُوَهُمْ أَيُّهُمْ أَحْسَنُ عَمَلًا
