surah:ayah	position	word	meaning	ayah_link
10:3	15	yudabbiru	disposing	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ يُدَبِّرُ الْأَمْرَ
10:31	21	yudabbiru	disposes	 وَمَنْ يُدَبِّرُ الْأَمْرَ فَسَيَقُولُونَ اللَّهُ
13:2	19	yudabbiru	He arranges	 يُدَبِّرُ الْأَمْرَ يُفَصِّلُ الْآيَاتِ لَعَلَّكُمْ بِلِقَاءِ رَبِّكُمْ تُوقِنُونَ
32:5	1	yudabbiru	He regulates	 يُدَبِّرُ الْأَمْرَ مِنَ السَّمَاءِ إِلَى الْأَرْضِ
70:17	3	adbara	turned his back	 تَدْعُو مَنْ أَدْبَرَ وَتَوَلَّىٰ
74:23	2	adbara	he turned back	 ثُمَّ أَدْبَرَ وَاسْتَكْبَرَ
74:33	3	adbara	it departs	 وَاللَّيْلِ إِذْ أَدْبَرَ
79:22	2	adbara	he turned his back	 ثُمَّ أَدْبَرَ يَسْعَىٰ
4:82	2	yatadabbarūna	they ponder	 أَفَلَا يَتَدَبَّرُونَ الْقُرْآنَ
23:68	2	yaddabbarū	they ponder	 أَفَلَمْ يَدَّبَّرُوا الْقَوْلَ أَمْ جَاءَهُمْ مَا لَمْ يَأْتِ آبَاءَهُمُ الْأَوَّلِينَ
38:29	5	liyaddabbarū	that they may ponder	 كِتَابٌ أَنْزَلْنَاهُ إِلَيْكَ مُبَارَكٌ لِيَدَّبَّرُوا آيَاتِهِ وَلِيَتَذَكَّرَ أُولُو الْأَلْبَابِ
47:24	2	yatadabbarūna	they ponder	 أَفَلَا يَتَدَبَّرُونَ الْقُرْآنَ أَمْ عَلَىٰ قُلُوبٍ أَقْفَالُهَا
6:45	2	dābiru	(the) remnant	 فَقُطِعَ دَابِرُ الْقَوْمِ الَّذِينَ ظَلَمُوا وَالْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
