surah:ayah	position	word	meaning	ayah_link
4:127	6	yuf'tīkum	gives you the ruling	 وَيَسْتَفْتُونَكَ فِي النِّسَاءِ قُلِ اللَّهُ يُفْتِيكُمْ فِيهِنَّ
4:176	4	yuf'tīkum	gives you a ruling	 يَسْتَفْتُونَكَ قُلِ اللَّهُ يُفْتِيكُمْ فِي الْكَلَالَةِ
12:43	18	aftūnī	Explain to me	 يَا أَيُّهَا الْمَلَأُ أَفْتُونِي فِي رُؤْيَايَ إِنْ كُنْتُمْ لِلرُّؤْيَا تَعْبُرُونَ
12:46	4	aftinā	Explain to us	 يُوسُفُ أَيُّهَا الصِّدِّيقُ أَفْتِنَا فِي سَبْعِ بَقَرَاتٍ سِمَانٍ
27:32	4	aftūnī	Advise me	 قَالَتْ يَا أَيُّهَا الْمَلَأُ أَفْتُونِي فِي أَمْرِي
4:127	1	wayastaftūnaka	And they seek your ruling	 وَيَسْتَفْتُونَكَ فِي النِّسَاءِ قُلِ اللَّهُ يُفْتِيكُمْ فِيهِنَّ
4:176	1	yastaftūnaka	They seek your ruling	 يَسْتَفْتُونَكَ قُلِ اللَّهُ يُفْتِيكُمْ فِي الْكَلَالَةِ
12:41	19	tastaftiyāni	you both inquire	 قُضِيَ الْأَمْرُ الَّذِي فِيهِ تَسْتَفْتِيَانِ
18:22	30	tastafti	inquire	 وَلَا تَسْتَفْتِ فِيهِمْ مِنْهُمْ أَحَدًا
37:11	1	fa-is'taftihim	Then ask them	 فَاسْتَفْتِهِمْ أَهُمْ أَشَدُّ خَلْقًا
37:149	1	fa-is'taftihim	Then ask them	 فَاسْتَفْتِهِمْ أَلِرَبِّكَ الْبَنَاتُ وَلَهُمُ الْبَنُونَ
21:60	3	fatan	a youth	 قَالُوا سَمِعْنَا فَتًى يَذْكُرُهُمْ يُقَالُ لَهُ إِبْرَاهِيمُ
12:30	8	fatāhā	her slave boy	 وَقَالَ نِسْوَةٌ فِي الْمَدِينَةِ امْرَأَتُ الْعَزِيزِ تُرَاوِدُ فَتَاهَا عَنْ نَفْسِهِ
18:60	4	lifatāhu	to his boy	 وَإِذْ قَالَ مُوسَىٰ لِفَتَاهُ لَا أَبْرَحُ حَتَّىٰ أَبْلُغَ مَجْمَعَ الْبَحْرَيْنِ
18:62	4	lifatāhu	to his boy	 فَلَمَّا جَاوَزَا قَالَ لِفَتَاهُ آتِنَا غَدَاءَنَا
4:25	15	fatayātikumu	your slave girls 	 فَمِنْ مَا مَلَكَتْ أَيْمَانُكُمْ مِنْ فَتَيَاتِكُمُ الْمُؤْمِنَاتِ
24:33	30	fatayātikum	your slave girls	 وَلَا تُكْرِهُوا فَتَيَاتِكُمْ عَلَى الْبِغَاءِ إِنْ أَرَدْنَ تَحَصُّنًا
12:36	4	fatayāni	two young men	 وَدَخَلَ مَعَهُ السِّجْنَ فَتَيَانِ
12:62	2	lifit'yānihi	to his servants	 وَقَالَ لِفِتْيَانِهِ اجْعَلُوا بِضَاعَتَهُمْ فِي رِحَالِهِمْ لَعَلَّهُمْ يَعْرِفُونَهَا
18:10	3	l-fit'yatu	the youths	 إِذْ أَوَى الْفِتْيَةُ إِلَى الْكَهْفِ فَقَالُوا رَبَّنَا آتِنَا مِنْ لَدُنْكَ رَحْمَةً
18:13	7	fit'yatun	youths	 إِنَّهُمْ فِتْيَةٌ آمَنُوا بِرَبِّهِمْ وَزِدْنَاهُمْ هُدًى
