surah:ayah	position	word	meaning	ayah_link
3:154	9	yaghshā	overcoming	 ثُمَّ أَنْزَلَ عَلَيْكُمْ مِنْ بَعْدِ الْغَمِّ أَمَنَةً نُعَاسًا يَغْشَىٰ طَائِفَةً مِنْكُمْ
14:50	4	wataghshā	and will cover	 سَرَابِيلُهُمْ مِنْ قَطِرَانٍ وَتَغْشَىٰ وُجُوهَهُمُ النَّارُ
20:78	4	faghashiyahum	but covered them	 فَأَتْبَعَهُمْ فِرْعَوْنُ بِجُنُودِهِ فَغَشِيَهُمْ مِنَ الْيَمِّ
20:78	8	ghashiyahum	covered them	 مَا غَشِيَهُمْ
24:40	6	yaghshāhu	covers it	 أَوْ كَظُلُمَاتٍ فِي بَحْرٍ لُجِّيٍّ يَغْشَاهُ مَوْجٌ مِنْ فَوْقِهِ مَوْجٌ
29:55	2	yaghshāhumu	will cover them	 يَوْمَ يَغْشَاهُمُ الْعَذَابُ مِنْ فَوْقِهِمْ وَمِنْ تَحْتِ أَرْجُلِهِمْ
31:32	2	ghashiyahum	covers them	 وَإِذَا غَشِيَهُمْ مَوْجٌ كَالظُّلَلِ دَعَوُا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ
33:19	12	yugh'shā	faints	 تَدُورُ أَعْيُنُهُمْ كَالَّذِي يُغْشَىٰ عَلَيْهِ مِنَ الْمَوْتِ
44:11	1	yaghshā	Enveloping	 يَغْشَى النَّاسَ
53:16	2	yaghshā	covered	 إِذْ يَغْشَى السِّدْرَةَ
53:16	5	yaghshā	covers	 مَا يَغْشَىٰ
91:4	3	yaghshāhā	it covers it	 وَاللَّيْلِ إِذَا يَغْشَاهَا
92:1	3	yaghshā	it covers	 وَاللَّيْلِ إِذَا يَغْشَىٰ
8:11	2	yughashīkumu	He covered you	 إِذْ يُغَشِّيكُمُ النُّعَاسَ أَمَنَةً مِنْهُ وَيُنَزِّلُ عَلَيْكُمْ مِنَ السَّمَاءِ مَاءً
53:54	1	faghashāhā	So covered them	 فَغَشَّاهَا مَا غَشَّىٰ
53:54	3	ghashā	covered	 فَغَشَّاهَا مَا غَشَّىٰ
7:54	15	yugh'shī	He covers	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ يُغْشِي اللَّيْلَ النَّهَارَ يَطْلُبُهُ حَثِيثًا
10:27	16	ugh'shiyat	had been covered	 كَأَنَّمَا أُغْشِيَتْ وُجُوهُهُمْ قِطَعًا مِنَ اللَّيْلِ مُظْلِمًا
13:3	16	yugh'shī	He covers	 وَمِنْ كُلِّ الثَّمَرَاتِ جَعَلَ فِيهَا زَوْجَيْنِ اثْنَيْنِ يُغْشِي اللَّيْلَ النَّهَارَ
36:9	9	fa-aghshaynāhum	and We covered them	 فَأَغْشَيْنَاهُمْ فَهُمْ لَا يُبْصِرُونَ
7:189	13	taghashāhā	he covers her	 فَلَمَّا تَغَشَّاهَا حَمَلَتْ حَمْلًا خَفِيفًا فَمَرَّتْ بِهِ
11:5	9	yastaghshūna	they cover (themselves)	 أَلَا حِينَ يَسْتَغْشُونَ ثِيَابَهُمْ يَعْلَمُ مَا يُسِرُّونَ
71:7	10	wa-is'taghshaw	and covered themselves	 جَعَلُوا أَصَابِعَهُمْ فِي آذَانِهِمْ وَاسْتَغْشَوْا ثِيَابَهُمْ
2:7	9	ghishāwatun	(is) a veil	 خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ
45:23	17	ghishāwatan	a veil	 وَخَتَمَ عَلَىٰ سَمْعِهِ وَقَلْبِهِ وَجَعَلَ عَلَىٰ بَصَرِهِ غِشَاوَةً
7:41	7	ghawāshin	coverings	 لَهُمْ مِنْ جَهَنَّمَ مِهَادٌ وَمِنْ فَوْقِهِمْ غَوَاشٍ
12:107	4	ghāshiyatun	an overwhelming	 أَفَأَمِنُوا أَنْ تَأْتِيَهُمْ غَاشِيَةٌ مِنْ عَذَابِ اللَّهِ
88:1	4	l-ghāshiyati	(of) the Overwhelming	 هَلْ أَتَاكَ حَدِيثُ الْغَاشِيَةِ
47:20	22	l-maghshiyi	(of) one fainting	 يَنْظُرُونَ إِلَيْكَ نَظَرَ الْمَغْشِيِّ عَلَيْهِ مِنَ الْمَوْتِ
