surah:ayah	position	word	meaning	ayah_link
9:120	34	yaghīẓu	that angers	 وَلَا يَطَئُونَ مَوْطِئًا يَغِيظُ الْكُفَّارَ وَلَا يَنَالُونَ مِنْ عَدُوٍّ نَيْلًا إِلَّا كُتِبَ لَهُمْ بِهِ عَمَلٌ صَالِحٌ
22:15	22	yaghīẓu	enrages	 ثُمَّ لْيَقْطَعْ فَلْيَنْظُرْ هَلْ يُذْهِبَنَّ كَيْدُهُ مَا يَغِيظُ
48:29	42	liyaghīẓa	that He (may) enrage	 فَاسْتَغْلَظَ فَاسْتَوَىٰ عَلَىٰ سُوقِهِ يُعْجِبُ الزُّرَّاعَ لِيَغِيظَ بِهِمُ الْكُفَّارَ
3:119	19	l-ghayẓi	[the] rage	 وَإِذَا خَلَوْا عَضُّوا عَلَيْكُمُ الْأَنَامِلَ مِنَ الْغَيْظِ
3:119	22	bighayẓikum	in your rage	 قُلْ مُوتُوا بِغَيْظِكُمْ إِنَّ اللَّهَ عَلِيمٌ بِذَاتِ الصُّدُورِ
3:134	7	l-ghayẓa	the anger	 الَّذِينَ يُنْفِقُونَ فِي السَّرَّاءِ وَالضَّرَّاءِ وَالْكَاظِمِينَ الْغَيْظَ
9:15	2	ghayẓa	(the) anger	 وَيُذْهِبْ غَيْظَ قُلُوبِهِمْ وَيَتُوبُ اللَّهُ عَلَىٰ مَنْ يَشَاءُ
33:25	5	bighayẓihim	in their rage	 وَرَدَّ اللَّهُ الَّذِينَ كَفَرُوا بِغَيْظِهِمْ لَمْ يَنَالُوا خَيْرًا
67:8	4	l-ghayẓi	rage	 تَكَادُ تَمَيَّزُ مِنَ الْغَيْظِ
26:55	3	laghāiẓūna	(are) surely enraging	 وَإِنَّهُمْ لَنَا لَغَائِظُونَ
25:12	8	taghayyuẓan	raging	 إِذَا رَأَتْهُمْ مِنْ مَكَانٍ بَعِيدٍ سَمِعُوا لَهَا تَغَيُّظًا وَزَفِيرًا
