surah:ayah	position	word	meaning	ayah_link
2:248	20	hārūna	(of) Harun	 وَبَقِيَّةٌ مِمَّا تَرَكَ آلُ مُوسَىٰ وَآلُ هَارُونَ تَحْمِلُهُ الْمَلَائِكَةُ
4:163	21	wahārūna	and Harun	 وَعِيسَىٰ وَأَيُّوبَ وَيُونُسَ وَهَارُونَ وَسُلَيْمَانَ
6:84	18	wahārūna	and Harun	 وَمِنْ ذُرِّيَّتِهِ دَاوُودَ وَسُلَيْمَانَ وَأَيُّوبَ وَيُوسُفَ وَمُوسَىٰ وَهَارُونَ
7:122	3	wahārūna	and Harun	 رَبِّ مُوسَىٰ وَهَارُونَ
7:142	15	hārūna	Harun	 وَقَالَ مُوسَىٰ لِأَخِيهِ هَارُونَ اخْلُفْنِي فِي قَوْمِي وَأَصْلِحْ
10:75	6	wahārūna	and Harun	 ثُمَّ بَعَثْنَا مِنْ بَعْدِهِمْ مُوسَىٰ وَهَارُونَ إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ
19:28	2	hārūna	(of) Harun	 يَا أُخْتَ هَارُونَ مَا كَانَ أَبُوكِ امْرَأَ سَوْءٍ
19:53	6	hārūna	Harun	 وَوَهَبْنَا لَهُ مِنْ رَحْمَتِنَا أَخَاهُ هَارُونَ نَبِيًّا
20:30	1	hārūna	Harun	 هَارُونَ أَخِي
20:70	7	hārūna	(of) Harun	 فَأُلْقِيَ السَّحَرَةُ سُجَّدًا قَالُوا آمَنَّا بِرَبِّ هَارُونَ وَمُوسَىٰ
20:90	4	hārūnu	Harun	 وَلَقَدْ قَالَ لَهُمْ هَارُونُ مِنْ قَبْلُ يَا قَوْمِ إِنَّمَا فُتِنْتُمْ بِهِ
20:92	2	yāhārūnu	O Harun	 قَالَ يَا هَارُونُ مَا مَنَعَكَ إِذْ رَأَيْتَهُمْ ضَلُّوا
21:48	4	wahārūna	and Harun	 وَلَقَدْ آتَيْنَا مُوسَىٰ وَهَارُونَ الْفُرْقَانَ وَضِيَاءً وَذِكْرًا لِلْمُتَّقِينَ
23:45	5	hārūna	Harun	 ثُمَّ أَرْسَلْنَا مُوسَىٰ وَأَخَاهُ هَارُونَ بِآيَاتِنَا وَسُلْطَانٍ مُبِينٍ
25:35	8	hārūna	Harun	 آتَيْنَا مُوسَى الْكِتَابَ وَجَعَلْنَا مَعَهُ أَخَاهُ هَارُونَ وَزِيرًا
26:13	8	hārūna	Harun	 وَيَضِيقُ صَدْرِي وَلَا يَنْطَلِقُ لِسَانِي فَأَرْسِلْ إِلَىٰ هَارُونَ
26:48	3	wahārūna	and Harun	 رَبِّ مُوسَىٰ وَهَارُونَ
28:34	2	hārūnu	Harun	 وَأَخِي هَارُونُ هُوَ أَفْصَحُ مِنِّي لِسَانًا فَأَرْسِلْهُ مَعِيَ رِدْءًا يُصَدِّقُنِي
37:114	5	wahārūna	and Harun	 وَلَقَدْ مَنَنَّا عَلَىٰ مُوسَىٰ وَهَارُونَ
37:120	4	wahārūna	and Harun	 سَلَامٌ عَلَىٰ مُوسَىٰ وَهَارُونَ
