surah:ayah	position	word	meaning	ayah_link
19:14	5	jabbāran	a tyrant	 وَبَرًّا بِوَالِدَيْهِ وَلَمْ يَكُنْ جَبَّارًا عَصِيًّا
19:32	5	jabbāran	insolent	 وَبَرًّا بِوَالِدَتِي وَلَمْ يَجْعَلْنِي جَبَّارًا شَقِيًّا
26:130	4	jabbārīna	(as) tyrants	 وَإِذَا بَطَشْتُمْ بَطَشْتُمْ جَبَّارِينَ
28:19	24	jabbāran	a tyrant	 إِنْ تُرِيدُ إِلَّا أَنْ تَكُونَ جَبَّارًا فِي الْأَرْضِ
50:45	8	bijabbārin	the one to compel	 نَحْنُ أَعْلَمُ بِمَا يَقُولُونَ وَمَا أَنْتَ عَلَيْهِمْ بِجَبَّارٍ
5:22	6	jabbārīna	(of) tyrannical strength	 قَالُوا يَا مُوسَىٰ إِنَّ فِيهَا قَوْمًا جَبَّارِينَ
11:59	11	jabbārin	tyrant	 وَعَصَوْا رُسُلَهُ وَاتَّبَعُوا أَمْرَ كُلِّ جَبَّارٍ عَنِيدٍ
14:15	4	jabbārin	tyrant	 وَاسْتَفْتَحُوا وَخَابَ كُلُّ جَبَّارٍ عَنِيدٍ
40:35	23	jabbārin	tyrant	 كَذَٰلِكَ يَطْبَعُ اللَّهُ عَلَىٰ كُلِّ قَلْبِ مُتَكَبِّرٍ جَبَّارٍ
59:23	14	l-jabāru	the Irresistible	 الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
