surah:ayah	position	word	meaning	ayah_link
3:25	3	jamaʿnāhum	We will gather them	 فَكَيْفَ إِذَا جَمَعْنَاهُمْ لِيَوْمٍ لَا رَيْبَ فِيهِ
3:157	14	yajmaʿūna	they accumulate	 وَلَئِنْ قُتِلْتُمْ فِي سَبِيلِ اللَّهِ أَوْ مُتُّمْ لَمَغْفِرَةٌ مِنَ اللَّهِ وَرَحْمَةٌ خَيْرٌ مِمَّا يَجْمَعُونَ
3:173	8	jamaʿū	gathered	 الَّذِينَ قَالَ لَهُمُ النَّاسُ إِنَّ النَّاسَ قَدْ جَمَعُوا لَكُمْ فَاخْشَوْهُمْ
4:23	43	tajmaʿū	you gather together	 وَأَنْ تَجْمَعُوا بَيْنَ الْأُخْتَيْنِ إِلَّا مَا قَدْ سَلَفَ
4:87	6	layajmaʿannakum	surely He will gather you	 اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ لَيَجْمَعَنَّكُمْ إِلَىٰ يَوْمِ الْقِيَامَةِ
5:109	2	yajmaʿu	will (be) gathered	 يَوْمَ يَجْمَعُ اللَّهُ الرُّسُلَ فَيَقُولُ مَاذَا أُجِبْتُمْ
6:12	13	layajmaʿannakum	Surely He will assemble you	 كَتَبَ عَلَىٰ نَفْسِهِ الرَّحْمَةَ لَيَجْمَعَنَّكُمْ إِلَىٰ يَوْمِ الْقِيَامَةِ
6:35	22	lajamaʿahum	surely He (would) have gathered them	 وَلَوْ شَاءَ اللَّهُ لَجَمَعَهُمْ عَلَى الْهُدَىٰ فَلَا تَكُونَنَّ مِنَ الْجَاهِلِينَ
10:58	10	yajmaʿūna	they accumulate	 قُلْ بِفَضْلِ اللَّهِ وَبِرَحْمَتِهِ فَبِذَٰلِكَ فَلْيَفْرَحُوا هُوَ خَيْرٌ مِمَّا يَجْمَعُونَ
18:99	10	fajamaʿnāhum	then We (will) gather them	 وَنُفِخَ فِي الصُّورِ فَجَمَعْنَاهُمْ جَمْعًا
20:60	3	fajamaʿa	and put together	 فَتَوَلَّىٰ فِرْعَوْنُ فَجَمَعَ كَيْدَهُ ثُمَّ أَتَىٰ
26:38	1	fajumiʿa	So were assembled	 فَجُمِعَ السَّحَرَةُ لِمِيقَاتِ يَوْمٍ مَعْلُومٍ
34:26	2	yajmaʿu	Will gather	 قُلْ يَجْمَعُ بَيْنَنَا رَبُّنَا ثُمَّ يَفْتَحُ بَيْنَنَا بِالْحَقِّ وَهُوَ الْفَتَّاحُ الْعَلِيمُ
42:15	31	yajmaʿu	will assemble	 لَا حُجَّةَ بَيْنَنَا وَبَيْنَكُمُ اللَّهُ يَجْمَعُ بَيْنَنَا وَإِلَيْهِ الْمَصِيرُ
43:32	25	yajmaʿūna	they accumulate	 وَرَحْمَتُ رَبِّكَ خَيْرٌ مِمَّا يَجْمَعُونَ
45:26	7	yajmaʿukum	He will gather you	 قُلِ اللَّهُ يُحْيِيكُمْ ثُمَّ يُمِيتُكُمْ ثُمَّ يَجْمَعُكُمْ إِلَىٰ يَوْمِ الْقِيَامَةِ
64:9	2	yajmaʿukum	He will assemble you	 يَوْمَ يَجْمَعُكُمْ لِيَوْمِ الْجَمْعِ ذَٰلِكَ يَوْمُ التَّغَابُنِ
70:18	1	wajamaʿa	And collected	 وَجَمَعَ فَأَوْعَىٰ
75:3	4	najmaʿa	We will assemble	 أَيَحْسَبُ الْإِنْسَانُ أَلَّنْ نَجْمَعَ عِظَامَهُ
75:9	1	wajumiʿa	And are joined	 وَجُمِعَ الشَّمْسُ وَالْقَمَرُ
77:38	4	jamaʿnākum	We have gathered you	 هَٰذَا يَوْمُ الْفَصْلِ جَمَعْنَاكُمْ وَالْأَوَّلِينَ
104:2	2	jamaʿa	collects	 الَّذِي جَمَعَ مَالًا وَعَدَّدَهُ
10:71	20	fa-ajmiʿū	So you all resolve	 فَأَجْمِعُوا أَمْرَكُمْ وَشُرَكَاءَكُمْ ثُمَّ لَا يَكُنْ أَمْرُكُمْ عَلَيْكُمْ غُمَّةً
12:15	4	wa-ajmaʿū	and agreed	 فَلَمَّا ذَهَبُوا بِهِ وَأَجْمَعُوا أَنْ يَجْعَلُوهُ فِي غَيَابَتِ الْجُبِّ
12:102	11	ajmaʿū	they put together	 وَمَا كُنْتَ لَدَيْهِمْ إِذْ أَجْمَعُوا أَمْرَهُمْ وَهُمْ يَمْكُرُونَ
