surah:ayah	position	word	meaning	ayah_link
6:76	2	janna	covered	<a style='color:#95C7FF' href='https://quran.com/6:76/tafsirs/toBeReplaced'> فَلَمَّا جَنَّ عَلَيْهِ اللَّيْلُ رَأَىٰ كَوْكَبًا قَالَ هَٰذَا رَبِّي</a>
53:32	21	ajinnatun	fetuses	<a style='color:#95C7FF' href='https://quran.com/53:32/tafsirs/toBeReplaced'> هُوَ أَعْلَمُ بِكُمْ إِذْ أَنْشَأَكُمْ مِنَ الْأَرْضِ وَإِذْ أَنْتُمْ أَجِنَّةٌ فِي بُطُونِ أُمَّهَاتِكُمْ</a>
6:100	4	l-jina	jinn	<a style='color:#95C7FF' href='https://quran.com/6:100/tafsirs/toBeReplaced'> وَجَعَلُوا لِلَّهِ شُرَكَاءَ الْجِنَّ وَخَلَقَهُمْ وَخَرَقُوا لَهُ بَنِينَ وَبَنَاتٍ بِغَيْرِ عِلْمٍ</a>
6:112	8	wal-jini	and the jinn	<a style='color:#95C7FF' href='https://quran.com/6:112/tafsirs/toBeReplaced'> وَكَذَٰلِكَ جَعَلْنَا لِكُلِّ نَبِيٍّ عَدُوًّا شَيَاطِينَ الْإِنْسِ وَالْجِنِّ</a>
6:128	5	l-jini	(of) [the] jinn	<a style='color:#95C7FF' href='https://quran.com/6:128/tafsirs/toBeReplaced'> وَيَوْمَ يَحْشُرُهُمْ جَمِيعًا يَا مَعْشَرَ الْجِنِّ قَدِ اسْتَكْثَرْتُمْ مِنَ الْإِنْسِ</a>
6:130	2	l-jini	(of) [the] jinn	<a style='color:#95C7FF' href='https://quran.com/6:130/tafsirs/toBeReplaced'> يَا مَعْشَرَ الْجِنِّ وَالْإِنْسِ أَلَمْ يَأْتِكُمْ رُسُلٌ مِنْكُمْ يَقُصُّونَ عَلَيْكُمْ آيَاتِي</a>
7:38	10	l-jini	the jinn	<a style='color:#95C7FF' href='https://quran.com/7:38/tafsirs/toBeReplaced'> قَالَ ادْخُلُوا فِي أُمَمٍ قَدْ خَلَتْ مِنْ قَبْلِكُمْ مِنَ الْجِنِّ وَالْإِنْسِ فِي النَّارِ</a>
7:179	6	l-jini	the jinn	<a style='color:#95C7FF' href='https://quran.com/7:179/tafsirs/toBeReplaced'> وَلَقَدْ ذَرَأْنَا لِجَهَنَّمَ كَثِيرًا مِنَ الْجِنِّ وَالْإِنْسِ</a>
17:88	5	wal-jinu	and the jinn	<a style='color:#95C7FF' href='https://quran.com/17:88/tafsirs/toBeReplaced'> قُلْ لَئِنِ اجْتَمَعَتِ الْإِنْسُ وَالْجِنُّ عَلَىٰ أَنْ يَأْتُوا بِمِثْلِ هَٰذَا الْقُرْآنِ لَا يَأْتُونَ بِمِثْلِهِ</a>
18:50	11	l-jini	the jinn	<a style='color:#95C7FF' href='https://quran.com/18:50/tafsirs/toBeReplaced'> فَسَجَدُوا إِلَّا إِبْلِيسَ كَانَ مِنَ الْجِنِّ فَفَسَقَ عَنْ أَمْرِ رَبِّهِ</a>
27:17	5	l-jini	jinn	<a style='color:#95C7FF' href='https://quran.com/27:17/tafsirs/toBeReplaced'> وَحُشِرَ لِسُلَيْمَانَ جُنُودُهُ مِنَ الْجِنِّ وَالْإِنْسِ وَالطَّيْرِ فَهُمْ يُوزَعُونَ</a>
27:39	4	l-jini	the jinn	<a style='color:#95C7FF' href='https://quran.com/27:39/tafsirs/toBeReplaced'> قَالَ عِفْرِيتٌ مِنَ الْجِنِّ أَنَا آتِيكَ بِهِ قَبْلَ أَنْ تَقُومَ مِنْ مَقَامِكَ</a>
34:12	12	l-jini	the jinn	<a style='color:#95C7FF' href='https://quran.com/34:12/tafsirs/toBeReplaced'> وَمِنَ الْجِنِّ مَنْ يَعْمَلُ بَيْنَ يَدَيْهِ بِإِذْنِ رَبِّهِ</a>
34:14	17	l-jinu	(to) the jinn	<a style='color:#95C7FF' href='https://quran.com/34:14/tafsirs/toBeReplaced'> فَلَمَّا خَرَّ تَبَيَّنَتِ الْجِنُّ أَنْ لَوْ كَانُوا يَعْلَمُونَ الْغَيْبَ مَا لَبِثُوا فِي الْعَذَابِ الْمُهِينِ</a>
34:41	10	l-jina	the jinn	<a style='color:#95C7FF' href='https://quran.com/34:41/tafsirs/toBeReplaced'> قَالُوا سُبْحَانَكَ أَنْتَ وَلِيُّنَا مِنْ دُونِهِمْ بَلْ كَانُوا يَعْبُدُونَ الْجِنَّ</a>
41:25	21	l-jini	the jinn	<a style='color:#95C7FF' href='https://quran.com/41:25/tafsirs/toBeReplaced'> وَحَقَّ عَلَيْهِمُ الْقَوْلُ فِي أُمَمٍ قَدْ خَلَتْ مِنْ قَبْلِهِمْ مِنَ الْجِنِّ وَالْإِنْسِ</a>
41:29	9	l-jini	the jinn	<a style='color:#95C7FF' href='https://quran.com/41:29/tafsirs/toBeReplaced'> أَرِنَا اللَّذَيْنِ أَضَلَّانَا مِنَ الْجِنِّ وَالْإِنْسِ نَجْعَلْهُمَا تَحْتَ أَقْدَامِنَا</a>
46:18	13	l-jini	(the) jinn	<a style='color:#95C7FF' href='https://quran.com/46:18/tafsirs/toBeReplaced'> أُولَٰئِكَ الَّذِينَ حَقَّ عَلَيْهِمُ الْقَوْلُ فِي أُمَمٍ قَدْ خَلَتْ مِنْ قَبْلِهِمْ مِنَ الْجِنِّ وَالْإِنْسِ</a>
46:29	6	l-jini	the jinn	<a style='color:#95C7FF' href='https://quran.com/46:29/tafsirs/toBeReplaced'> وَإِذْ صَرَفْنَا إِلَيْكَ نَفَرًا مِنَ الْجِنِّ يَسْتَمِعُونَ الْقُرْآنَ</a>
51:56	3	l-jina	the jinn	<a style='color:#95C7FF' href='https://quran.com/51:56/tafsirs/toBeReplaced'> وَمَا خَلَقْتُ الْجِنَّ وَالْإِنْسَ إِلَّا لِيَعْبُدُونِ</a>
