surah:ayah	position	word	meaning	ayah_link
2:10	11	kānū	they used to	 وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ
2:16	10	kānū	were they	 فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ
2:23	2	kuntum	you are	 وَإِنْ كُنْتُمْ فِي رَيْبٍ مِمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِنْ مِثْلِهِ
2:23	19	kuntum	you are	 وَادْعُوا شُهَدَاءَكُمْ مِنْ دُونِ اللَّهِ إِنْ كُنْتُمْ صَادِقِينَ
2:28	4	wakuntum	While you were	 كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنْتُمْ أَمْوَاتًا فَأَحْيَاكُمْ
2:31	14	kuntum	you are	 فَقَالَ أَنْبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِنْ كُنْتُمْ صَادِقِينَ
2:33	21	kuntum	you [were]	 وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ
2:34	11	wakāna	and became	 فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ
2:35	16	fatakūnā	lest you [both] be	 وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ
2:36	6	kānā	they [both] were	 فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ
2:41	8	takūnū	be	 وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ
2:57	16	kānū	they were	 وَمَا ظَلَمُونَا وَلَٰكِنْ كَانُوا أَنْفُسَهُمْ يَظْلِمُونَ
2:59	17	kānū	they were	 فَأَنْزَلْنَا عَلَى الَّذِينَ ظَلَمُوا رِجْزًا مِنَ السَّمَاءِ بِمَا كَانُوا يَفْسُقُونَ
2:61	47	kānū	used to	 ذَٰلِكَ بِأَنَّهُمْ كَانُوا يَكْفُرُونَ بِآيَاتِ اللَّهِ
2:61	58	wakānū	and they were	 ذَٰلِكَ بِمَا عَصَوْا وَكَانُوا يَعْتَدُونَ
2:64	11	lakuntum	surely you would have been	 فَلَوْلَا فَضْلُ اللَّهِ عَلَيْكُمْ وَرَحْمَتُهُ لَكُنْتُمْ مِنَ الْخَاسِرِينَ
2:65	10	kūnū	Be	 فَقُلْنَا لَهُمْ كُونُوا قِرَدَةً خَاسِئِينَ
2:67	18	akūna	I be	 قَالَ أَعُوذُ بِاللَّهِ أَنْ أَكُونَ مِنَ الْجَاهِلِينَ
2:72	9	kuntum	you were	 وَاللَّهُ مُخْرِجٌ مَا كُنْتُمْ تَكْتُمُونَ
2:75	6	kāna	(there) has been	 وَقَدْ كَانَ فَرِيقٌ مِنْهُمْ يَسْمَعُونَ كَلَامَ اللَّهِ ثُمَّ يُحَرِّفُونَهُ
