surah:ayah	position	word	meaning	ayah_link
2:14	2	laqū	they meet	 وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا
2:76	2	laqū	they meet	 وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا
3:119	10	laqūkum	they meet you	 وَإِذَا لَقُوكُمْ قَالُوا آمَنَّا وَإِذَا خَلَوْا عَضُّوا عَلَيْكُمُ الْأَنَامِلَ
3:143	8	talqawhu	you met it	 وَلَقَدْ كُنْتُمْ تَمَنَّوْنَ الْمَوْتَ مِنْ قَبْلِ أَنْ تَلْقَوْهُ فَقَدْ رَأَيْتُمُوهُ
8:15	5	laqītumu	you meet	 إِذَا لَقِيتُمُ الَّذِينَ كَفَرُوا زَحْفًا فَلَا تُوَلُّوهُمُ الْأَدْبَارَ
8:45	5	laqītum	you meet	 يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا لَقِيتُمْ فِئَةً فَاثْبُتُوا
9:77	7	yalqawnahu	when they will meet Him	 فَأَعْقَبَهُمْ نِفَاقًا فِي قُلُوبِهِمْ إِلَىٰ يَوْمِ يَلْقَوْنَهُ
17:13	12	yalqāhu	which he will find	 وَنُخْرِجُ لَهُ يَوْمَ الْقِيَامَةِ كِتَابًا يَلْقَاهُ مَنْشُورًا
18:62	8	laqīnā	we have suffered	 آتِنَا غَدَاءَنَا لَقَدْ لَقِينَا مِنْ سَفَرِنَا هَٰذَا نَصَبًا
18:74	4	laqiyā	they met	 فَانْطَلَقَا حَتَّىٰ إِذَا لَقِيَا غُلَامًا فَقَتَلَهُ قَالَ أَقَتَلْتَ نَفْسًا زَكِيَّةً
19:59	10	yalqawna	they will meet	 أَضَاعُوا الصَّلَاةَ وَاتَّبَعُوا الشَّهَوَاتِ فَسَوْفَ يَلْقَوْنَ غَيًّا
25:68	21	yalqa	will meet	 وَمَنْ يَفْعَلْ ذَٰلِكَ يَلْقَ أَثَامًا
33:44	3	yalqawnahu	they will meet Him	 تَحِيَّتُهُمْ يَوْمَ يَلْقَوْنَهُ سَلَامٌ وَأَعَدَّ لَهُمْ أَجْرًا كَرِيمًا
47:4	2	laqītumu	you meet	 فَإِذَا لَقِيتُمُ الَّذِينَ كَفَرُوا فَضَرْبَ الرِّقَابِ
25:75	6	wayulaqqawna	and they will be met	 وَيُلَقَّوْنَ فِيهَا تَحِيَّةً وَسَلَامًا
27:6	2	latulaqqā	surely, receive	 وَإِنَّكَ لَتُلَقَّى الْقُرْآنَ مِنْ لَدُنْ حَكِيمٍ عَلِيمٍ
28:80	14	yulaqqāhā	it is granted	 وَلَا يُلَقَّاهَا إِلَّا الصَّابِرُونَ
41:35	2	yulaqqāhā	it is granted	 وَمَا يُلَقَّاهَا إِلَّا الَّذِينَ صَبَرُوا
41:35	7	yulaqqāhā	it is granted	 وَمَا يُلَقَّاهَا إِلَّا ذُو حَظٍّ عَظِيمٍ
76:11	6	walaqqāhum	and will cause them to meet	 فَوَقَاهُمُ اللَّهُ شَرَّ ذَٰلِكَ الْيَوْمِ وَلَقَّاهُمْ نَضْرَةً وَسُرُورًا
43:83	5	yulāqū	they meet	 فَذَرْهُمْ يَخُوضُوا وَيَلْعَبُوا حَتَّىٰ يُلَاقُوا يَوْمَهُمُ الَّذِي يُوعَدُونَ
52:45	3	yulāqū	they meet	 فَذَرْهُمْ حَتَّىٰ يُلَاقُوا يَوْمَهُمُ الَّذِي فِيهِ يُصْعَقُونَ
70:42	5	yulāqū	they meet	 فَذَرْهُمْ يَخُوضُوا وَيَلْعَبُوا حَتَّىٰ يُلَاقُوا يَوْمَهُمُ الَّذِي يُوعَدُونَ
2:195	6	tul'qū	throw (yourselves)	 وَأَنْفِقُوا فِي سَبِيلِ اللَّهِ وَلَا تُلْقُوا بِأَيْدِيكُمْ إِلَى التَّهْلُكَةِ
3:44	11	yul'qūna	they cast	 وَمَا كُنْتَ لَدَيْهِمْ إِذْ يُلْقُونَ أَقْلَامَهُمْ أَيُّهُمْ يَكْفُلُ مَرْيَمَ
3:151	1	sanul'qī	We will cast	 سَنُلْقِي فِي قُلُوبِ الَّذِينَ كَفَرُوا الرُّعْبَ بِمَا أَشْرَكُوا بِاللَّهِ
4:90	28	wa-alqaw	and offer	 فَإِنِ اعْتَزَلُوكُمْ فَلَمْ يُقَاتِلُوكُمْ وَأَلْقَوْا إِلَيْكُمُ السَّلَمَ فَمَا جَعَلَ اللَّهُ لَكُمْ عَلَيْهِمْ سَبِيلًا
4:91	18	wayul'qū	and offer	 فَإِنْ لَمْ يَعْتَزِلُوكُمْ وَيُلْقُوا إِلَيْكُمُ السَّلَمَ وَيَكُفُّوا أَيْدِيَهُمْ فَخُذُوهُمْ
4:94	13	alqā	offers	 وَلَا تَقُولُوا لِمَنْ أَلْقَىٰ إِلَيْكُمُ السَّلَامَ لَسْتَ مُؤْمِنًا
4:171	21	alqāhā	which He conveyed	 رَسُولُ اللَّهِ وَكَلِمَتُهُ أَلْقَاهَا إِلَىٰ مَرْيَمَ وَرُوحٌ مِنْهُ
5:64	27	wa-alqaynā	And We have cast	 وَأَلْقَيْنَا بَيْنَهُمُ الْعَدَاوَةَ وَالْبَغْضَاءَ إِلَىٰ يَوْمِ الْقِيَامَةِ
7:107	1	fa-alqā	So he threw	 فَأَلْقَىٰ عَصَاهُ فَإِذَا هِيَ ثُعْبَانٌ مُبِينٌ
7:115	5	tul'qiya	you throw	 قَالُوا يَا مُوسَىٰ إِمَّا أَنْ تُلْقِيَ وَإِمَّا أَنْ نَكُونَ نَحْنُ الْمُلْقِينَ
7:116	2	alqū	Throw	 قَالَ أَلْقُوا فَلَمَّا أَلْقَوْا سَحَرُوا أَعْيُنَ النَّاسِ
7:116	4	alqaw	they threw	 فَلَمَّا أَلْقَوْا سَحَرُوا أَعْيُنَ النَّاسِ وَاسْتَرْهَبُوهُمْ
7:117	5	alqi	Throw	 أَنْ أَلْقِ عَصَاكَ فَإِذَا هِيَ تَلْقَفُ مَا يَأْفِكُونَ
7:120	1	wa-ul'qiya	And fell down	 وَأُلْقِيَ السَّحَرَةُ سَاجِدِينَ
7:150	16	wa-alqā	And he cast down	 وَأَلْقَى الْأَلْوَاحَ وَأَخَذَ بِرَأْسِ أَخِيهِ يَجُرُّهُ إِلَيْهِ
8:12	11	sa-ul'qī	I will cast	 سَأُلْقِي فِي قُلُوبِ الَّذِينَ كَفَرُوا الرُّعْبَ
10:80	7	alqū	Throw	 فَلَمَّا جَاءَ السَّحَرَةُ قَالَ لَهُمْ مُوسَىٰ أَلْقُوا مَا أَنْتُمْ مُلْقُونَ
10:81	2	alqaw	they (had) thrown	 فَلَمَّا أَلْقَوْا قَالَ مُوسَىٰ مَا جِئْتُمْ بِهِ السِّحْرُ إِنَّ اللَّهَ سَيُبْطِلُهُ
12:10	7	wa-alqūhu	but throw him	 قَالَ قَائِلٌ مِنْهُمْ لَا تَقْتُلُوا يُوسُفَ وَأَلْقُوهُ فِي غَيَابَتِ الْجُبِّ
12:93	4	fa-alqūhu	and cast it	 اذْهَبُوا بِقَمِيصِي هَٰذَا فَأَلْقُوهُ عَلَىٰ وَجْهِ أَبِي يَأْتِ بَصِيرًا
12:96	5	alqāhu	he cast it	 فَلَمَّا أَنْ جَاءَ الْبَشِيرُ أَلْقَاهُ عَلَىٰ وَجْهِهِ فَارْتَدَّ بَصِيرًا
15:19	3	wa-alqaynā	and [We] cast	 وَالْأَرْضَ مَدَدْنَاهَا وَأَلْقَيْنَا فِيهَا رَوَاسِيَ
16:15	1	wa-alqā	And He has cast	 وَأَلْقَىٰ فِي الْأَرْضِ رَوَاسِيَ أَنْ تَمِيدَ بِكُمْ وَأَنْهَارًا وَسُبُلًا
16:28	6	fa-alqawū	then they would offer	 فَأَلْقَوُا السَّلَمَ مَا كُنَّا نَعْمَلُ مِنْ سُوءٍ
16:86	15	fa-alqaw	But they (will) throw back	 فَأَلْقَوْا إِلَيْهِمُ الْقَوْلَ إِنَّكُمْ لَكَاذِبُونَ
16:87	1	wa-alqaw	And they (will) offer	 وَأَلْقَوْا إِلَى اللَّهِ يَوْمَئِذٍ السَّلَمَ وَضَلَّ عَنْهُمْ مَا كَانُوا يَفْتَرُونَ
17:39	14	fatul'qā	lest you should be thrown	 وَلَا تَجْعَلْ مَعَ اللَّهِ إِلَٰهًا آخَرَ فَتُلْقَىٰ فِي جَهَنَّمَ مَلُومًا مَدْحُورًا
20:19	2	alqihā	Throw it down	 قَالَ أَلْقِهَا يَا مُوسَىٰ
20:20	1	fa-alqāhā	So he threw it down	 فَأَلْقَاهَا فَإِذَا هِيَ حَيَّةٌ تَسْعَىٰ
20:39	8	falyul'qihi	then let cast it	 فَلْيُلْقِهِ الْيَمُّ بِالسَّاحِلِ يَأْخُذْهُ عَدُوٌّ لِي وَعَدُوٌّ لَهُ
20:39	16	wa-alqaytu	And I cast	 وَأَلْقَيْتُ عَلَيْكَ مَحَبَّةً مِنِّي وَلِتُصْنَعَ عَلَىٰ عَيْنِي
20:65	5	tul'qiya	you throw	 قَالُوا يَا مُوسَىٰ إِمَّا أَنْ تُلْقِيَ وَإِمَّا أَنْ نَكُونَ أَوَّلَ مَنْ أَلْقَىٰ
20:65	11	alqā	throws	 قَالُوا يَا مُوسَىٰ إِمَّا أَنْ تُلْقِيَ وَإِمَّا أَنْ نَكُونَ أَوَّلَ مَنْ أَلْقَىٰ
20:66	3	alqū	you throw	 قَالَ بَلْ أَلْقُوا
20:69	1	wa-alqi	And throw	 وَأَلْقِ مَا فِي يَمِينِكَ تَلْقَفْ مَا صَنَعُوا
20:70	1	fa-ul'qiya	So were thrown down	 فَأُلْقِيَ السَّحَرَةُ سُجَّدًا قَالُوا آمَنَّا بِرَبِّ هَارُونَ وَمُوسَىٰ
20:87	14	alqā	threw	 فَكَذَٰلِكَ أَلْقَى السَّامِرِيُّ
22:52	12	alqā	threw	 وَمَا أَرْسَلْنَا مِنْ قَبْلِكَ مِنْ رَسُولٍ وَلَا نَبِيٍّ إِلَّا إِذَا تَمَنَّىٰ أَلْقَى الشَّيْطَانُ فِي أُمْنِيَّتِهِ
22:52	19	yul'qī	throws	 فَيَنْسَخُ اللَّهُ مَا يُلْقِي الشَّيْطَانُ ثُمَّ يُحْكِمُ اللَّهُ آيَاتِهِ
22:53	3	yul'qī	the Shaitaan throws	 لِيَجْعَلَ مَا يُلْقِي الشَّيْطَانُ فِتْنَةً لِلَّذِينَ فِي قُلُوبِهِمْ مَرَضٌ
25:8	2	yul'qā	is delivered	 أَوْ يُلْقَىٰ إِلَيْهِ كَنْزٌ أَوْ تَكُونُ لَهُ جَنَّةٌ يَأْكُلُ مِنْهَا
25:13	2	ul'qū	they are thrown	 وَإِذَا أُلْقُوا مِنْهَا مَكَانًا ضَيِّقًا مُقَرَّنِينَ دَعَوْا هُنَالِكَ ثُبُورًا
26:32	1	fa-alqā	So he threw	 فَأَلْقَىٰ عَصَاهُ فَإِذَا هِيَ ثُعْبَانٌ مُبِينٌ
26:43	4	alqū	Throw	 قَالَ لَهُمْ مُوسَىٰ أَلْقُوا مَا أَنْتُمْ مُلْقُونَ
26:44	1	fa-alqaw	So they threw	 فَأَلْقَوْا حِبَالَهُمْ وَعِصِيَّهُمْ وَقَالُوا بِعِزَّةِ فِرْعَوْنَ إِنَّا لَنَحْنُ الْغَالِبُونَ
26:45	1	fa-alqā	Then threw	 فَأَلْقَىٰ مُوسَىٰ عَصَاهُ فَإِذَا هِيَ تَلْقَفُ مَا يَأْفِكُونَ
26:46	1	fa-ul'qiya	Then fell down	 فَأُلْقِيَ السَّحَرَةُ سَاجِدِينَ
26:223	1	yul'qūna	They pass on	 يُلْقُونَ السَّمْعَ وَأَكْثَرُهُمْ كَاذِبُونَ
27:10	1	wa-alqi	"And, ""Throw"	 وَأَلْقِ عَصَاكَ فَلَمَّا رَآهَا تَهْتَزُّ كَأَنَّهَا جَانٌّ وَلَّىٰ مُدْبِرًا
