surah:ayah	position	word	meaning	ayah_link
3:78	5	alsinatahum	their tongues	 وَإِنَّ مِنْهُمْ لَفَرِيقًا يَلْوُونَ أَلْسِنَتَهُمْ بِالْكِتَابِ لِتَحْسَبُوهُ مِنَ الْكِتَابِ
4:46	16	bi-alsinatihim	[with] their tongues	 وَاسْمَعْ غَيْرَ مُسْمَعٍ وَرَاعِنَا لَيًّا بِأَلْسِنَتِهِمْ
5:78	8	lisāni	(the) tongue	 لُعِنَ الَّذِينَ كَفَرُوا مِنْ بَنِي إِسْرَائِيلَ عَلَىٰ لِسَانِ دَاوُودَ وَعِيسَى ابْنِ مَرْيَمَ
14:4	6	bilisāni	with the language	 وَمَا أَرْسَلْنَا مِنْ رَسُولٍ إِلَّا بِلِسَانِ قَوْمِهِ لِيُبَيِّنَ لَهُمْ
16:62	6	alsinatuhumu	their tongues	 وَتَصِفُ أَلْسِنَتُهُمُ الْكَذِبَ أَنَّ لَهُمُ الْحُسْنَىٰ
16:103	8	lisānu	(The) tongue	 لِسَانُ الَّذِي يُلْحِدُونَ إِلَيْهِ أَعْجَمِيٌّ
16:103	14	lisānun	(is) a language	 وَهَٰذَا لِسَانٌ عَرَبِيٌّ مُبِينٌ
16:116	5	alsinatukumu	your tongues	 وَلَا تَقُولُوا لِمَا تَصِفُ أَلْسِنَتُكُمُ الْكَذِبَ هَٰذَا حَلَالٌ وَهَٰذَا حَرَامٌ لِتَفْتَرُوا عَلَى اللَّهِ الْكَذِبَ
19:50	7	lisāna	a truthful mention	 وَوَهَبْنَا لَهُمْ مِنْ رَحْمَتِنَا وَجَعَلْنَا لَهُمْ لِسَانَ صِدْقٍ عَلِيًّا
19:97	3	bilisānika	in your tongue	 فَإِنَّمَا يَسَّرْنَاهُ بِلِسَانِكَ لِتُبَشِّرَ بِهِ الْمُتَّقِينَ وَتُنْذِرَ بِهِ قَوْمًا لُدًّا
20:27	4	lisānī	my tongue	 وَاحْلُلْ عُقْدَةً مِنْ لِسَانِي
24:15	3	bi-alsinatikum	with your tongues	 إِذْ تَلَقَّوْنَهُ بِأَلْسِنَتِكُمْ وَتَقُولُونَ بِأَفْوَاهِكُمْ مَا لَيْسَ لَكُمْ بِهِ عِلْمٌ
24:24	4	alsinatuhum	their tongues	 يَوْمَ تَشْهَدُ عَلَيْهِمْ أَلْسِنَتُهُمْ وَأَيْدِيهِمْ وَأَرْجُلُهُمْ بِمَا كَانُوا يَعْمَلُونَ
26:13	5	lisānī	my tongue	 وَيَضِيقُ صَدْرِي وَلَا يَنْطَلِقُ لِسَانِي
26:84	3	lisāna	a mention	 وَاجْعَلْ لِي لِسَانَ صِدْقٍ فِي الْآخِرِينَ
26:195	1	bilisānin	In language	 بِلِسَانٍ عَرَبِيٍّ مُبِينٍ
28:34	6	lisānan	(in) speech	 هُوَ أَفْصَحُ مِنِّي لِسَانًا فَأَرْسِلْهُ مَعِيَ رِدْءًا يُصَدِّقُنِي
30:22	7	alsinatikum	(of) your languages	 وَمِنْ آيَاتِهِ خَلْقُ السَّمَاوَاتِ وَالْأَرْضِ وَاخْتِلَافُ أَلْسِنَتِكُمْ وَأَلْوَانِكُمْ
33:19	20	bi-alsinatin	with tongues	 فَإِذَا ذَهَبَ الْخَوْفُ سَلَقُوكُمْ بِأَلْسِنَةٍ حِدَادٍ
44:58	3	bilisānika	in your tongue	 فَإِنَّمَا يَسَّرْنَاهُ بِلِسَانِكَ لَعَلَّهُمْ يَتَذَكَّرُونَ
46:12	10	lisānan	(in) language	 وَهَٰذَا كِتَابٌ مُصَدِّقٌ لِسَانًا عَرَبِيًّا لِيُنْذِرَ الَّذِينَ ظَلَمُوا
48:11	12	bi-alsinatihim	with their tongues	 يَقُولُونَ بِأَلْسِنَتِهِمْ مَا لَيْسَ فِي قُلُوبِهِمْ
60:2	9	wa-alsinatahum	and their tongues	 وَيَبْسُطُوا إِلَيْكُمْ أَيْدِيَهُمْ وَأَلْسِنَتَهُمْ بِالسُّوءِ
75:16	4	lisānaka	your tongue	 لَا تُحَرِّكْ بِهِ لِسَانَكَ لِتَعْجَلَ بِهِ
90:9	1	walisānan	And a tongue	 وَلِسَانًا وَشَفَتَيْنِ
