surah:ayah	position	word	meaning	ayah_link
6:86	4	walūṭan	and Lut	 وَإِسْمَاعِيلَ وَالْيَسَعَ وَيُونُسَ وَلُوطًا وَكُلًّا فَضَّلْنَا عَلَى الْعَالَمِينَ
7:80	1	walūṭan	And Lut	 وَلُوطًا إِذْ قَالَ لِقَوْمِهِ أَتَأْتُونَ الْفَاحِشَةَ مَا سَبَقَكُمْ بِهَا مِنْ أَحَدٍ مِنَ الْعَالَمِينَ
11:70	18	lūṭin	(of) Lut	 قَالُوا لَا تَخَفْ إِنَّا أُرْسِلْنَا إِلَىٰ قَوْمِ لُوطٍ
11:74	11	lūṭin	of Lut	 يُجَادِلُنَا فِي قَوْمِ لُوطٍ
11:77	4	lūṭan	(to) Lut	 وَلَمَّا جَاءَتْ رُسُلُنَا لُوطًا سِيءَ بِهِمْ وَضَاقَ بِهِمْ ذَرْعًا
11:81	2	yālūṭu	O Lut	 قَالُوا يَا لُوطُ إِنَّا رُسُلُ رَبِّكَ لَنْ يَصِلُوا إِلَيْكَ
11:89	20	lūṭin	(are the) people of Lut	 وَمَا قَوْمُ لُوطٍ مِنْكُمْ بِبَعِيدٍ
15:59	3	lūṭin	of Lut	 إِلَّا آلَ لُوطٍ إِنَّا لَمُنَجُّوهُمْ أَجْمَعِينَ
15:61	4	lūṭin	(of) Lut	 فَلَمَّا جَاءَ آلَ لُوطٍ الْمُرْسَلُونَ
21:71	2	walūṭan	and Lut	 وَنَجَّيْنَاهُ وَلُوطًا إِلَى الْأَرْضِ الَّتِي بَارَكْنَا فِيهَا لِلْعَالَمِينَ
21:74	1	walūṭan	And (to) Lut	 وَلُوطًا آتَيْنَاهُ حُكْمًا وَعِلْمًا
22:43	4	lūṭin	(of) Lut	 وَقَوْمُ إِبْرَاهِيمَ وَقَوْمُ لُوطٍ
26:160	3	lūṭin	(of) Lut	 كَذَّبَتْ قَوْمُ لُوطٍ الْمُرْسَلِينَ
26:161	5	lūṭun	Lut	 إِذْ قَالَ لَهُمْ أَخُوهُمْ لُوطٌ أَلَا تَتَّقُونَ
26:167	5	yālūṭu	O Lut	 قَالُوا لَئِنْ لَمْ تَنْتَهِ يَا لُوطُ لَتَكُونَنَّ مِنَ الْمُخْرَجِينَ
27:54	1	walūṭan	And Lut	 وَلُوطًا إِذْ قَالَ لِقَوْمِهِ أَتَأْتُونَ الْفَاحِشَةَ وَأَنْتُمْ تُبْصِرُونَ
27:56	10	lūṭin	(of) Lut	 فَمَا كَانَ جَوَابَ قَوْمِهِ إِلَّا أَنْ قَالُوا أَخْرِجُوا آلَ لُوطٍ مِنْ قَرْيَتِكُمْ
29:26	3	lūṭun	Lut	 فَآمَنَ لَهُ لُوطٌ وَقَالَ إِنِّي مُهَاجِرٌ إِلَىٰ رَبِّي
29:28	1	walūṭan	And Lut	 وَلُوطًا إِذْ قَالَ لِقَوْمِهِ إِنَّكُمْ لَتَأْتُونَ الْفَاحِشَةَ مَا سَبَقَكُمْ بِهَا مِنْ أَحَدٍ مِنَ الْعَالَمِينَ
29:32	4	lūṭan	(is) Lut	 قَالَ إِنَّ فِيهَا لُوطًا قَالُوا نَحْنُ أَعْلَمُ بِمَنْ فِيهَا
29:33	5	lūṭan	(to) Lut	 وَلَمَّا أَنْ جَاءَتْ رُسُلُنَا لُوطًا سِيءَ بِهِمْ وَضَاقَ بِهِمْ ذَرْعًا
37:133	2	lūṭan	Lut	 وَإِنَّ لُوطًا لَمِنَ الْمُرْسَلِينَ
38:13	3	lūṭin	(of) Lut	 وَثَمُودُ وَقَوْمُ لُوطٍ وَأَصْحَابُ الْأَيْكَةِ أُولَٰئِكَ الْأَحْزَابُ
50:13	4	lūṭin	(of) Lut	 وَعَادٌ وَفِرْعَوْنُ وَإِخْوَانُ لُوطٍ
54:33	3	lūṭin	(of) Lut	 كَذَّبَتْ قَوْمُ لُوطٍ بِالنُّذُرِ
54:34	7	lūṭin	(of) Lut	 إِنَّا أَرْسَلْنَا عَلَيْهِمْ حَاصِبًا إِلَّا آلَ لُوطٍ نَجَّيْنَاهُمْ بِسَحَرٍ
66:10	9	lūṭin	(of) Lut	 ضَرَبَ اللَّهُ مَثَلًا لِلَّذِينَ كَفَرُوا امْرَأَتَ نُوحٍ وَامْرَأَتَ لُوطٍ
