surah:ayah	position	word	meaning	ayah_link
7:123	14	l-madīnati	the city	<a style='color:#95C7FF' href='https://quran.com/7:123/tafsirs/toBeReplaced'> إِنَّ هَٰذَا لَمَكْرٌ مَكَرْتُمُوهُ فِي الْمَدِينَةِ لِتُخْرِجُوا مِنْهَا أَهْلَهَا</a>
9:101	8	l-madīnati	(of) the Madinah	<a style='color:#95C7FF' href='https://quran.com/9:101/tafsirs/toBeReplaced'> وَمِمَّنْ حَوْلَكُمْ مِنَ الْأَعْرَابِ مُنَافِقُونَ وَمِنْ أَهْلِ الْمَدِينَةِ</a>
9:120	4	l-madīnati	of the Madinah	<a style='color:#95C7FF' href='https://quran.com/9:120/tafsirs/toBeReplaced'> مَا كَانَ لِأَهْلِ الْمَدِينَةِ وَمَنْ حَوْلَهُمْ مِنَ الْأَعْرَابِ أَنْ يَتَخَلَّفُوا عَنْ رَسُولِ اللَّهِ</a>
12:30	4	l-madīnati	the city	<a style='color:#95C7FF' href='https://quran.com/12:30/tafsirs/toBeReplaced'> وَقَالَ نِسْوَةٌ فِي الْمَدِينَةِ امْرَأَتُ الْعَزِيزِ تُرَاوِدُ فَتَاهَا عَنْ نَفْسِهِ</a>
15:67	3	l-madīnati	(of) the city	<a style='color:#95C7FF' href='https://quran.com/15:67/tafsirs/toBeReplaced'> وَجَاءَ أَهْلُ الْمَدِينَةِ يَسْتَبْشِرُونَ</a>
18:19	26	l-madīnati	the city	<a style='color:#95C7FF' href='https://quran.com/18:19/tafsirs/toBeReplaced'> فَابْعَثُوا أَحَدَكُمْ بِوَرِقِكُمْ هَٰذِهِ إِلَى الْمَدِينَةِ</a>
18:82	7	l-madīnati	the town	<a style='color:#95C7FF' href='https://quran.com/18:82/tafsirs/toBeReplaced'> وَأَمَّا الْجِدَارُ فَكَانَ لِغُلَامَيْنِ يَتِيمَيْنِ فِي الْمَدِينَةِ</a>
27:48	3	l-madīnati	the city	<a style='color:#95C7FF' href='https://quran.com/27:48/tafsirs/toBeReplaced'> وَكَانَ فِي الْمَدِينَةِ تِسْعَةُ رَهْطٍ يُفْسِدُونَ فِي الْأَرْضِ</a>
28:15	2	l-madīnata	the city	<a style='color:#95C7FF' href='https://quran.com/28:15/tafsirs/toBeReplaced'> وَدَخَلَ الْمَدِينَةَ عَلَىٰ حِينِ غَفْلَةٍ مِنْ أَهْلِهَا</a>
28:18	3	l-madīnati	the city	<a style='color:#95C7FF' href='https://quran.com/28:18/tafsirs/toBeReplaced'> فَأَصْبَحَ فِي الْمَدِينَةِ خَائِفًا يَتَرَقَّبُ</a>
28:20	5	l-madīnati	(of) the city	<a style='color:#95C7FF' href='https://quran.com/28:20/tafsirs/toBeReplaced'> وَجَاءَ رَجُلٌ مِنْ أَقْصَى الْمَدِينَةِ يَسْعَىٰ</a>
33:60	11	l-madīnati	the city	<a style='color:#95C7FF' href='https://quran.com/33:60/tafsirs/toBeReplaced'> لَئِنْ لَمْ يَنْتَهِ الْمُنَافِقُونَ وَالَّذِينَ فِي قُلُوبِهِمْ مَرَضٌ وَالْمُرْجِفُونَ فِي الْمَدِينَةِ لَنُغْرِيَنَّكَ بِهِمْ</a>
36:20	4	l-madīnati	(of) the city	<a style='color:#95C7FF' href='https://quran.com/36:20/tafsirs/toBeReplaced'> وَجَاءَ مِنْ أَقْصَى الْمَدِينَةِ رَجُلٌ يَسْعَىٰ قَالَ يَا قَوْمِ اتَّبِعُوا الْمُرْسَلِينَ</a>
63:8	5	l-madīnati	Al-Madinah	<a style='color:#95C7FF' href='https://quran.com/63:8/tafsirs/toBeReplaced'> يَقُولُونَ لَئِنْ رَجَعْنَا إِلَى الْمَدِينَةِ لَيُخْرِجَنَّ الْأَعَزُّ مِنْهَا الْأَذَلَّ</a>
