surah:ayah	position	word	meaning	ayah_link
2:125	9	maqāmi	(the) standing place	 وَاتَّخِذُوا مِنْ مَقَامِ إِبْرَاهِيمَ مُصَلًّى
3:97	4	maqāmu	standing place	 فِيهِ آيَاتٌ بَيِّنَاتٌ مَقَامُ إِبْرَاهِيمَ وَمَنْ دَخَلَهُ كَانَ آمِنًا
5:107	9	maqāmahumā	(in) their place	 فَآخَرَانِ يَقُومَانِ مَقَامَهُمَا
10:71	13	maqāmī	my stay	 إِنْ كَانَ كَبُرَ عَلَيْكُمْ مَقَامِي وَتَذْكِيرِي بِآيَاتِ اللَّهِ فَعَلَى اللَّهِ تَوَكَّلْتُ
14:14	8	maqāmī	standing before Me	 ذَٰلِكَ لِمَنْ خَافَ مَقَامِي وَخَافَ وَعِيدِ
17:79	11	maqāman	(to) a station	 عَسَىٰ أَنْ يَبْعَثَكَ رَبُّكَ مَقَامًا مَحْمُودًا
19:73	14	maqāman	(in) position	 قَالَ الَّذِينَ كَفَرُوا لِلَّذِينَ آمَنُوا أَيُّ الْفَرِيقَيْنِ خَيْرٌ مَقَامًا
26:58	2	wamaqāmin	and a place	 وَكُنُوزٍ وَمَقَامٍ كَرِيمٍ
27:39	12	maqāmika	your place	 أَنَا آتِيكَ بِهِ قَبْلَ أَنْ تَقُومَ مِنْ مَقَامِكَ
37:164	5	maqāmun	(is) a position	 وَمَا مِنَّا إِلَّا لَهُ مَقَامٌ مَعْلُومٌ
44:26	2	wamaqāmin	and places	 وَزُرُوعٍ وَمَقَامٍ كَرِيمٍ
44:51	4	maqāmin	a place	 إِنَّ الْمُتَّقِينَ فِي مَقَامٍ أَمِينٍ
55:46	3	maqāma	(the) standing	 وَلِمَنْ خَافَ مَقَامَ رَبِّهِ جَنَّتَانِ
79:40	4	maqāma	standing	 وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِ وَنَهَى النَّفْسَ عَنِ الْهَوَىٰ
33:13	8	muqāma	stand	 وَإِذْ قَالَتْ طَائِفَةٌ مِنْهُمْ يَا أَهْلَ يَثْرِبَ لَا مُقَامَ لَكُمْ فَارْجِعُوا
