surah:ayah	position	word	meaning	ayah_link
7:170	2	yumassikūna	hold fast	 وَالَّذِينَ يُمَسِّكُونَ بِالْكِتَابِ وَأَقَامُوا الصَّلَاةَ إِنَّا لَا نُضِيعُ أَجْرَ الْمُصْلِحِينَ
2:231	6	fa-amsikūhunna	then retain them	 وَإِذَا طَلَّقْتُمُ النِّسَاءَ فَبَلَغْنَ أَجَلَهُنَّ فَأَمْسِكُوهُنَّ بِمَعْرُوفٍ
2:231	12	tum'sikūhunna	retain them	 وَلَا تُمْسِكُوهُنَّ ضِرَارًا لِتَعْتَدُوا
4:15	12	fa-amsikūhunna	then confine them	 فَإِنْ شَهِدُوا فَأَمْسِكُوهُنَّ فِي الْبُيُوتِ حَتَّىٰ يَتَوَفَّاهُنَّ الْمَوْتُ
5:4	20	amsakna	they catch	 فَكُلُوا مِمَّا أَمْسَكْنَ عَلَيْكُمْ وَاذْكُرُوا اسْمَ اللَّهِ عَلَيْهِ
16:59	9	ayum'sikuhu	Should he keep it	 أَيُمْسِكُهُ عَلَىٰ هُونٍ أَمْ يَدُسُّهُ فِي التُّرَابِ
16:79	10	yum'sikuhunna	holds them up	 مَا يُمْسِكُهُنَّ إِلَّا اللَّهُ
17:100	9	la-amsaktum	surely you would withhold	 قُلْ لَوْ أَنْتُمْ تَمْلِكُونَ خَزَائِنَ رَحْمَةِ رَبِّي إِذًا لَأَمْسَكْتُمْ خَشْيَةَ الْإِنْفَاقِ
22:65	15	wayum'siku	And He withholds	 وَيُمْسِكُ السَّمَاءَ أَنْ تَقَعَ عَلَى الْأَرْضِ إِلَّا بِإِذْنِهِ
33:37	9	amsik	Keep	 أَمْسِكْ عَلَيْكَ زَوْجَكَ وَاتَّقِ اللَّهَ
35:2	11	yum'sik	He withholds	 وَمَا يُمْسِكْ فَلَا مُرْسِلَ لَهُ مِنْ بَعْدِهِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
35:41	3	yum'siku	upholds	 إِنَّ اللَّهَ يُمْسِكُ السَّمَاوَاتِ وَالْأَرْضَ أَنْ تَزُولَا
35:41	11	amsakahumā	can uphold them	 وَلَئِنْ زَالَتَا إِنْ أَمْسَكَهُمَا مِنْ أَحَدٍ مِنْ بَعْدِهِ
38:39	5	amsik	withhold	 هَٰذَا عَطَاؤُنَا فَامْنُنْ أَوْ أَمْسِكْ بِغَيْرِ حِسَابٍ
39:42	11	fayum'siku	Then He keeps	 فَيُمْسِكُ الَّتِي قَضَىٰ عَلَيْهَا الْمَوْتَ وَيُرْسِلُ الْأُخْرَىٰ
60:10	39	tum'sikū	hold	 وَلَا تُمْسِكُوا بِعِصَمِ الْكَوَافِرِ وَاسْأَلُوا مَا أَنْفَقْتُمْ
65:2	4	fa-amsikūhunna	then retain them	 فَأَمْسِكُوهُنَّ بِمَعْرُوفٍ أَوْ فَارِقُوهُنَّ بِمَعْرُوفٍ
67:19	9	yum'sikuhunna	holds them	 مَا يُمْسِكُهُنَّ إِلَّا الرَّحْمَٰنُ
67:21	6	amsaka	He withheld	 أَمَّنْ هَٰذَا الَّذِي يَرْزُقُكُمْ إِنْ أَمْسَكَ رِزْقَهُ
2:256	16	is'tamsaka	he grasped	 فَمَنْ يَكْفُرْ بِالطَّاغُوتِ وَيُؤْمِنْ بِاللَّهِ فَقَدِ اسْتَمْسَكَ بِالْعُرْوَةِ الْوُثْقَىٰ
31:22	9	is'tamsaka	he has grasped	 وَمَنْ يُسْلِمْ وَجْهَهُ إِلَى اللَّهِ وَهُوَ مُحْسِنٌ فَقَدِ اسْتَمْسَكَ بِالْعُرْوَةِ الْوُثْقَىٰ
43:43	1	fa-is'tamsik	So hold fast	 فَاسْتَمْسِكْ بِالَّذِي أُوحِيَ إِلَيْكَ
83:26	2	mis'kun	(will be of) musk	 خِتَامُهُ مِسْكٌ وَفِي ذَٰلِكَ فَلْيَتَنَافَسِ الْمُتَنَافِسُونَ
2:229	3	fa-im'sākun	Then to retain	 الطَّلَاقُ مَرَّتَانِ فَإِمْسَاكٌ بِمَعْرُوفٍ أَوْ تَسْرِيحٌ بِإِحْسَانٍ
35:2	8	mum'sika	(can) withhold	 مَا يَفْتَحِ اللَّهُ لِلنَّاسِ مِنْ رَحْمَةٍ فَلَا مُمْسِكَ لَهَا
39:38	29	mum'sikātu	withholders	 أَوْ أَرَادَنِي بِرَحْمَةٍ هَلْ هُنَّ مُمْسِكَاتُ رَحْمَتِهِ
43:21	8	mus'tamsikūna	(are) holding fast	 أَمْ آتَيْنَاهُمْ كِتَابًا مِنْ قَبْلِهِ فَهُمْ بِهِ مُسْتَمْسِكُونَ
