surah:ayah	position	word	meaning	ayah_link
2:126	22	fa-umattiʿuhu	[then] I will grant him enjoyment	 قَالَ وَمَنْ كَفَرَ فَأُمَتِّعُهُ قَلِيلًا ثُمَّ أَضْطَرُّهُ إِلَىٰ عَذَابِ النَّارِ
2:236	14	wamattiʿūhunna	And make provision for them 	 وَمَتِّعُوهُنَّ عَلَى الْمُوسِعِ قَدَرُهُ وَعَلَى الْمُقْتِرِ قَدَرُهُ
10:98	19	wamattaʿnāhum	and We granted them enjoyment	 وَمَتَّعْنَاهُمْ إِلَىٰ حِينٍ
11:3	7	yumattiʿ'kum	He will let you	 وَأَنِ اسْتَغْفِرُوا رَبَّكُمْ ثُمَّ تُوبُوا إِلَيْهِ يُمَتِّعْكُمْ مَتَاعًا حَسَنًا
11:48	13	sanumattiʿuhum	We will grant enjoyment	 وَأُمَمٌ سَنُمَتِّعُهُمْ ثُمَّ يَمَسُّهُمْ مِنَّا عَذَابٌ أَلِيمٌ
15:88	6	mattaʿnā	We have bestowed	 لَا تَمُدَّنَّ عَيْنَيْكَ إِلَىٰ مَا مَتَّعْنَا بِهِ أَزْوَاجًا مِنْهُمْ وَلَا تَحْزَنْ عَلَيْهِمْ
20:131	6	mattaʿnā	We have given for enjoyment	 وَلَا تَمُدَّنَّ عَيْنَيْكَ إِلَىٰ مَا مَتَّعْنَا بِهِ أَزْوَاجًا مِنْهُمْ
21:44	2	mattaʿnā	We gave provision	 بَلْ مَتَّعْنَا هَٰؤُلَاءِ وَآبَاءَهُمْ حَتَّىٰ طَالَ عَلَيْهِمُ الْعُمُرُ
25:18	14	mattaʿtahum	You gave them comforts	 وَلَٰكِنْ مَتَّعْتَهُمْ وَآبَاءَهُمْ حَتَّىٰ نَسُوا الذِّكْرَ وَكَانُوا قَوْمًا بُورًا
26:205	3	mattaʿnāhum	We let them enjoy	 أَفَرَأَيْتَ إِنْ مَتَّعْنَاهُمْ سِنِينَ
26:207	6	yumattaʿūna	enjoyment they were given	 مَا أَغْنَىٰ عَنْهُمْ مَا كَانُوا يُمَتَّعُونَ
28:61	8	mattaʿnāhu	We provided him	 أَفَمَنْ وَعَدْنَاهُ وَعْدًا حَسَنًا فَهُوَ لَاقِيهِ كَمَنْ مَتَّعْنَاهُ مَتَاعَ الْحَيَاةِ الدُّنْيَا
31:24	1	numattiʿuhum	We grant them enjoyment	 نُمَتِّعُهُمْ قَلِيلًا ثُمَّ نَضْطَرُّهُمْ إِلَىٰ عَذَابٍ غَلِيظٍ
33:16	13	tumattaʿūna	you will be allowed to enjoy	 وَإِذًا لَا تُمَتَّعُونَ إِلَّا قَلِيلًا
33:28	12	umattiʿ'kunna	I will provide for you	 فَتَعَالَيْنَ أُمَتِّعْكُنَّ وَأُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا
33:49	19	famattiʿūhunna	So provide for them	 فَمَتِّعُوهُنَّ وَسَرِّحُوهُنَّ سَرَاحًا جَمِيلًا
37:148	2	famattaʿnāhum	so We gave them enjoyment	 فَآمَنُوا فَمَتَّعْنَاهُمْ إِلَىٰ حِينٍ
43:29	2	mattaʿtu	I gave enjoyment	 بَلْ مَتَّعْتُ هَٰؤُلَاءِ وَآبَاءَهُمْ حَتَّىٰ جَاءَهُمُ الْحَقُّ وَرَسُولٌ مُبِينٌ
2:196	37	tamattaʿa	took advantage	 فَإِذَا أَمِنْتُمْ فَمَنْ تَمَتَّعَ بِالْعُمْرَةِ إِلَى الْحَجِّ
11:65	3	tamattaʿū	Enjoy (yourselves)	 فَعَقَرُوهَا فَقَالَ تَمَتَّعُوا فِي دَارِكُمْ ثَلَاثَةَ أَيَّامٍ
14:30	8	tamattaʿū	Enjoy	 قُلْ تَمَتَّعُوا فَإِنَّ مَصِيرَكُمْ إِلَى النَّارِ
15:3	3	wayatamattaʿū	and enjoy	 ذَرْهُمْ يَأْكُلُوا وَيَتَمَتَّعُوا وَيُلْهِهِمُ الْأَمَلُ فَسَوْفَ يَعْلَمُونَ
16:55	4	fatamattaʿū	Then enjoy yourselves	 لِيَكْفُرُوا بِمَا آتَيْنَاهُمْ فَتَمَتَّعُوا فَسَوْفَ تَعْلَمُونَ
29:66	4	waliyatamattaʿū	and they may enjoy (themselves)	 لِيَكْفُرُوا بِمَا آتَيْنَاهُمْ وَلِيَتَمَتَّعُوا فَسَوْفَ يَعْلَمُونَ
30:34	4	fatamattaʿū	Then enjoy	 لِيَكْفُرُوا بِمَا آتَيْنَاهُمْ فَتَمَتَّعُوا فَسَوْفَ تَعْلَمُونَ
39:8	28	tamattaʿ	Enjoy	 قُلْ تَمَتَّعْ بِكُفْرِكَ قَلِيلًا إِنَّكَ مِنْ أَصْحَابِ النَّارِ
47:12	15	yatamattaʿūna	they enjoy	 وَالَّذِينَ كَفَرُوا يَتَمَتَّعُونَ وَيَأْكُلُونَ كَمَا تَأْكُلُ الْأَنْعَامُ
51:43	6	tamattaʿū	Enjoy (yourselves)	 وَفِي ثَمُودَ إِذْ قِيلَ لَهُمْ تَمَتَّعُوا حَتَّىٰ حِينٍ
77:46	2	watamattaʿū	and enjoy yourselves	 كُلُوا وَتَمَتَّعُوا قَلِيلًا إِنَّكُمْ مُجْرِمُونَ
4:24	23	is'tamtaʿtum	you benefit[ed]	 فَمَا اسْتَمْتَعْتُمْ بِهِ مِنْهُنَّ فَآتُوهُنَّ أُجُورَهُنَّ فَرِيضَةً
6:128	15	is'tamtaʿa	profited	 رَبَّنَا اسْتَمْتَعَ بَعْضُنَا بِبَعْضٍ وَبَلَغْنَا أَجَلَنَا الَّذِي أَجَّلْتَ لَنَا
9:69	11	fa-is'tamtaʿū	So they enjoyed	 فَاسْتَمْتَعُوا بِخَلَاقِهِمْ فَاسْتَمْتَعْتُمْ بِخَلَاقِكُمْ
9:69	13	fa-is'tamtaʿtum	and you have enjoyed	 فَاسْتَمْتَعْتُمْ بِخَلَاقِكُمْ كَمَا اسْتَمْتَعَ الَّذِينَ مِنْ قَبْلِكُمْ بِخَلَاقِهِمْ
9:69	16	is'tamtaʿa	enjoyed	 فَاسْتَمْتَعْتُمْ بِخَلَاقِكُمْ كَمَا اسْتَمْتَعَ الَّذِينَ مِنْ قَبْلِكُمْ بِخَلَاقِهِمْ
