surah:ayah	position	word	meaning	ayah_link
2:51	3	mūsā	(for) Musa	<a style='color:#95C7FF' href='https://quran.com/2:51/tafsirs/toBeReplaced'> وَإِذْ وَاعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً</a>
2:53	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/2:53/tafsirs/toBeReplaced'> وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ</a>
2:54	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/2:54/tafsirs/toBeReplaced'> وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنْفُسَكُمْ</a>
2:55	3	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/2:55/tafsirs/toBeReplaced'> وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَنْ نُؤْمِنَ لَكَ حَتَّىٰ نَرَى اللَّهَ جَهْرَةً</a>
2:60	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/2:60/tafsirs/toBeReplaced'> وَإِذِ اسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا اضْرِبْ بِعَصَاكَ الْحَجَرَ</a>
2:61	3	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/2:61/tafsirs/toBeReplaced'> وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَنْ نَصْبِرَ عَلَىٰ طَعَامٍ وَاحِدٍ</a>
2:67	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/2:67/tafsirs/toBeReplaced'> وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ إِنَّ اللَّهَ يَأْمُرُكُمْ أَنْ تَذْبَحُوا بَقَرَةً</a>
2:87	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/2:87/tafsirs/toBeReplaced'> وَلَقَدْ آتَيْنَا مُوسَى الْكِتَابَ وَقَفَّيْنَا مِنْ بَعْدِهِ بِالرُّسُلِ</a>
2:92	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/2:92/tafsirs/toBeReplaced'> وَلَقَدْ جَاءَكُمْ مُوسَىٰ بِالْبَيِّنَاتِ ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِنْ بَعْدِهِ</a>
2:108	8	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/2:108/tafsirs/toBeReplaced'> أَمْ تُرِيدُونَ أَنْ تَسْأَلُوا رَسُولَكُمْ كَمَا سُئِلَ مُوسَىٰ مِنْ قَبْلُ</a>
2:136	17	mūsā	(to) Musa	<a style='color:#95C7FF' href='https://quran.com/2:136/tafsirs/toBeReplaced'> وَمَا أُوتِيَ مُوسَىٰ وَعِيسَىٰ وَمَا أُوتِيَ النَّبِيُّونَ مِنْ رَبِّهِمْ</a>
2:246	10	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/2:246/tafsirs/toBeReplaced'> أَلَمْ تَرَ إِلَى الْمَلَإِ مِنْ بَنِي إِسْرَائِيلَ مِنْ بَعْدِ مُوسَىٰ</a>
2:248	18	mūsā	(of) Musa	<a style='color:#95C7FF' href='https://quran.com/2:248/tafsirs/toBeReplaced'> فِيهِ سَكِينَةٌ مِنْ رَبِّكُمْ وَبَقِيَّةٌ مِمَّا تَرَكَ آلُ مُوسَىٰ</a>
3:84	17	mūsā	(to) Musa	<a style='color:#95C7FF' href='https://quran.com/3:84/tafsirs/toBeReplaced'> وَمَا أُوتِيَ مُوسَىٰ وَعِيسَىٰ وَالنَّبِيُّونَ مِنْ رَبِّهِمْ</a>
4:153	12	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/4:153/tafsirs/toBeReplaced'> فَقَدْ سَأَلُوا مُوسَىٰ أَكْبَرَ مِنْ ذَٰلِكَ فَقَالُوا أَرِنَا اللَّهَ جَهْرَةً</a>
4:153	35	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/4:153/tafsirs/toBeReplaced'> فَعَفَوْنَا عَنْ ذَٰلِكَ وَآتَيْنَا مُوسَىٰ سُلْطَانًا مُبِينًا</a>
4:164	13	mūsā	(to) Musa	<a style='color:#95C7FF' href='https://quran.com/4:164/tafsirs/toBeReplaced'> وَكَلَّمَ اللَّهُ مُوسَىٰ تَكْلِيمًا</a>
5:20	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/5:20/tafsirs/toBeReplaced'> وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ اذْكُرُوا نِعْمَةَ اللَّهِ عَلَيْكُمْ</a>
5:22	2	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/5:22/tafsirs/toBeReplaced'> قَالُوا يَا مُوسَىٰ إِنَّ فِيهَا قَوْمًا جَبَّارِينَ</a>
5:24	2	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/5:24/tafsirs/toBeReplaced'> قَالُوا يَا مُوسَىٰ إِنَّا لَنْ نَدْخُلَهَا أَبَدًا مَا دَامُوا فِيهَا</a>
6:84	17	wamūsā	and Musa	<a style='color:#95C7FF' href='https://quran.com/6:84/tafsirs/toBeReplaced'> وَمِنْ ذُرِّيَّتِهِ دَاوُودَ وَسُلَيْمَانَ وَأَيُّوبَ وَيُوسُفَ وَمُوسَىٰ وَهَارُونَ</a>
6:91	22	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/6:91/tafsirs/toBeReplaced'> قُلْ مَنْ أَنْزَلَ الْكِتَابَ الَّذِي جَاءَ بِهِ مُوسَىٰ نُورًا وَهُدًى لِلنَّاسِ</a>
6:154	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/6:154/tafsirs/toBeReplaced'> ثُمَّ آتَيْنَا مُوسَى الْكِتَابَ تَمَامًا عَلَى الَّذِي أَحْسَنَ</a>
7:103	5	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:103/tafsirs/toBeReplaced'> ثُمَّ بَعَثْنَا مِنْ بَعْدِهِمْ مُوسَىٰ بِآيَاتِنَا إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ</a>
7:104	2	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:104/tafsirs/toBeReplaced'> وَقَالَ مُوسَىٰ يَا فِرْعَوْنُ إِنِّي رَسُولٌ مِنْ رَبِّ الْعَالَمِينَ</a>
7:115	2	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/7:115/tafsirs/toBeReplaced'> قَالُوا يَا مُوسَىٰ إِمَّا أَنْ تُلْقِيَ وَإِمَّا أَنْ نَكُونَ نَحْنُ الْمُلْقِينَ</a>
7:117	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:117/tafsirs/toBeReplaced'> وَأَوْحَيْنَا إِلَىٰ مُوسَىٰ أَنْ أَلْقِ عَصَاكَ</a>
7:122	2	mūsā	(of) Musa	<a style='color:#95C7FF' href='https://quran.com/7:122/tafsirs/toBeReplaced'> رَبِّ مُوسَىٰ وَهَارُونَ</a>
7:127	7	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:127/tafsirs/toBeReplaced'> أَتَذَرُ مُوسَىٰ وَقَوْمَهُ لِيُفْسِدُوا فِي الْأَرْضِ</a>
7:128	2	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:128/tafsirs/toBeReplaced'> قَالَ مُوسَىٰ لِقَوْمِهِ اسْتَعِينُوا بِاللَّهِ وَاصْبِرُوا</a>
7:131	11	bimūsā	to Musa	<a style='color:#95C7FF' href='https://quran.com/7:131/tafsirs/toBeReplaced'> وَإِنْ تُصِبْهُمْ سَيِّئَةٌ يَطَّيَّرُوا بِمُوسَىٰ وَمَنْ مَعَهُ</a>
7:134	6	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/7:134/tafsirs/toBeReplaced'> قَالُوا يَا مُوسَى ادْعُ لَنَا رَبَّكَ بِمَا عَهِدَ عِنْدَكَ</a>
7:138	13	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/7:138/tafsirs/toBeReplaced'> قَالُوا يَا مُوسَى اجْعَلْ لَنَا إِلَٰهًا كَمَا لَهُمْ آلِهَةٌ</a>
7:142	2	mūsā	(for) Musa	<a style='color:#95C7FF' href='https://quran.com/7:142/tafsirs/toBeReplaced'> وَوَاعَدْنَا مُوسَىٰ ثَلَاثِينَ لَيْلَةً وَأَتْمَمْنَاهَا بِعَشْرٍ</a>
7:142	13	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:142/tafsirs/toBeReplaced'> وَقَالَ مُوسَىٰ لِأَخِيهِ هَارُونَ اخْلُفْنِي فِي قَوْمِي وَأَصْلِحْ</a>
7:143	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:143/tafsirs/toBeReplaced'> وَلَمَّا جَاءَ مُوسَىٰ لِمِيقَاتِنَا وَكَلَّمَهُ رَبُّهُ قَالَ رَبِّ أَرِنِي أَنْظُرْ إِلَيْكَ</a>
7:143	31	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:143/tafsirs/toBeReplaced'> فَلَمَّا تَجَلَّىٰ رَبُّهُ لِلْجَبَلِ جَعَلَهُ دَكًّا وَخَرَّ مُوسَىٰ صَعِقًا</a>
7:144	2	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/7:144/tafsirs/toBeReplaced'> قَالَ يَا مُوسَىٰ إِنِّي اصْطَفَيْتُكَ عَلَى النَّاسِ بِرِسَالَاتِي</a>
7:148	3	mūsā	(of) Musa	<a style='color:#95C7FF' href='https://quran.com/7:148/tafsirs/toBeReplaced'> وَاتَّخَذَ قَوْمُ مُوسَىٰ مِنْ بَعْدِهِ مِنْ حُلِيِّهِمْ عِجْلًا جَسَدًا لَهُ خُوَارٌ</a>
7:150	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:150/tafsirs/toBeReplaced'> وَلَمَّا رَجَعَ مُوسَىٰ إِلَىٰ قَوْمِهِ غَضْبَانَ أَسِفًا قَالَ بِئْسَمَا خَلَفْتُمُونِي مِنْ بَعْدِي</a>
7:154	4	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:154/tafsirs/toBeReplaced'> وَلَمَّا سَكَتَ عَنْ مُوسَى الْغَضَبُ أَخَذَ الْأَلْوَاحَ</a>
7:155	2	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:155/tafsirs/toBeReplaced'> وَاخْتَارَ مُوسَىٰ قَوْمَهُ سَبْعِينَ رَجُلًا لِمِيقَاتِنَا</a>
7:159	3	mūsā	(of) Musa	<a style='color:#95C7FF' href='https://quran.com/7:159/tafsirs/toBeReplaced'> وَمِنْ قَوْمِ مُوسَىٰ أُمَّةٌ يَهْدُونَ بِالْحَقِّ وَبِهِ يَعْدِلُونَ</a>
7:160	8	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/7:160/tafsirs/toBeReplaced'> وَأَوْحَيْنَا إِلَىٰ مُوسَىٰ إِذِ اسْتَسْقَاهُ قَوْمُهُ أَنِ اضْرِبْ بِعَصَاكَ الْحَجَرَ</a>
10:75	5	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/10:75/tafsirs/toBeReplaced'> ثُمَّ بَعَثْنَا مِنْ بَعْدِهِمْ مُوسَىٰ وَهَارُونَ إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ</a>
10:77	2	mūsā	Musa said	<a style='color:#95C7FF' href='https://quran.com/10:77/tafsirs/toBeReplaced'> قَالَ مُوسَىٰ أَتَقُولُونَ لِلْحَقِّ لَمَّا جَاءَكُمْ أَسِحْرٌ هَٰذَا</a>
10:80	6	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/10:80/tafsirs/toBeReplaced'> فَلَمَّا جَاءَ السَّحَرَةُ قَالَ لَهُمْ مُوسَىٰ أَلْقُوا مَا أَنْتُمْ مُلْقُونَ</a>
10:81	4	mūsā	Musa said	<a style='color:#95C7FF' href='https://quran.com/10:81/tafsirs/toBeReplaced'> فَلَمَّا أَلْقَوْا قَالَ مُوسَىٰ مَا جِئْتُمْ بِهِ السِّحْرُ إِنَّ اللَّهَ سَيُبْطِلُهُ</a>
10:83	3	limūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/10:83/tafsirs/toBeReplaced'> فَمَا آمَنَ لِمُوسَىٰ إِلَّا ذُرِّيَّةٌ مِنْ قَوْمِهِ عَلَىٰ خَوْفٍ مِنْ فِرْعَوْنَ</a>
10:84	2	mūsā	And Musa said	<a style='color:#95C7FF' href='https://quran.com/10:84/tafsirs/toBeReplaced'> وَقَالَ مُوسَىٰ يَا قَوْمِ إِنْ كُنْتُمْ آمَنْتُمْ بِاللَّهِ فَعَلَيْهِ تَوَكَّلُوا</a>
10:87	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/10:87/tafsirs/toBeReplaced'> وَأَوْحَيْنَا إِلَىٰ مُوسَىٰ وَأَخِيهِ أَنْ تَبَوَّآ لِقَوْمِكُمَا بِمِصْرَ بُيُوتًا</a>
10:88	2	mūsā	And Musa said	<a style='color:#95C7FF' href='https://quran.com/10:88/tafsirs/toBeReplaced'> وَقَالَ مُوسَىٰ رَبَّنَا إِنَّكَ آتَيْتَ فِرْعَوْنَ وَمَلَأَهُ زِينَةً وَأَمْوَالًا</a>
11:17	13	mūsā	(of) Musa	<a style='color:#95C7FF' href='https://quran.com/11:17/tafsirs/toBeReplaced'> وَيَتْلُوهُ شَاهِدٌ مِنْهُ وَمِنْ قَبْلِهِ كِتَابُ مُوسَىٰ إِمَامًا وَرَحْمَةً</a>
11:96	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/11:96/tafsirs/toBeReplaced'> وَلَقَدْ أَرْسَلْنَا مُوسَىٰ بِآيَاتِنَا وَسُلْطَانٍ مُبِينٍ</a>
11:110	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/11:110/tafsirs/toBeReplaced'> وَلَقَدْ آتَيْنَا مُوسَى الْكِتَابَ فَاخْتُلِفَ فِيهِ</a>
14:5	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/14:5/tafsirs/toBeReplaced'> وَلَقَدْ أَرْسَلْنَا مُوسَىٰ بِآيَاتِنَا أَنْ أَخْرِجْ قَوْمَكَ مِنَ الظُّلُمَاتِ إِلَى النُّورِ وَذَكِّرْهُمْ بِأَيَّامِ اللَّهِ</a>
14:6	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/14:6/tafsirs/toBeReplaced'> وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ اذْكُرُوا نِعْمَةَ اللَّهِ عَلَيْكُمْ</a>
14:8	2	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/14:8/tafsirs/toBeReplaced'> وَقَالَ مُوسَىٰ إِنْ تَكْفُرُوا أَنْتُمْ وَمَنْ فِي الْأَرْضِ جَمِيعًا فَإِنَّ اللَّهَ لَغَنِيٌّ حَمِيدٌ</a>
17:2	2	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/17:2/tafsirs/toBeReplaced'> وَآتَيْنَا مُوسَى الْكِتَابَ وَجَعَلْنَاهُ هُدًى لِبَنِي إِسْرَائِيلَ</a>
17:101	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/17:101/tafsirs/toBeReplaced'> وَلَقَدْ آتَيْنَا مُوسَىٰ تِسْعَ آيَاتٍ بَيِّنَاتٍ</a>
17:101	17	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/17:101/tafsirs/toBeReplaced'> فَقَالَ لَهُ فِرْعَوْنُ إِنِّي لَأَظُنُّكَ يَا مُوسَىٰ مَسْحُورًا</a>
18:60	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/18:60/tafsirs/toBeReplaced'> وَإِذْ قَالَ مُوسَىٰ لِفَتَاهُ لَا أَبْرَحُ حَتَّىٰ أَبْلُغَ مَجْمَعَ الْبَحْرَيْنِ</a>
18:66	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/18:66/tafsirs/toBeReplaced'> قَالَ لَهُ مُوسَىٰ هَلْ أَتَّبِعُكَ عَلَىٰ أَنْ تُعَلِّمَنِ مِمَّا عُلِّمْتَ رُشْدًا</a>
19:51	4	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/19:51/tafsirs/toBeReplaced'> وَاذْكُرْ فِي الْكِتَابِ مُوسَىٰ إِنَّهُ كَانَ مُخْلَصًا وَكَانَ رَسُولًا نَبِيًّا</a>
20:9	4	mūsā	(of) Musa	<a style='color:#95C7FF' href='https://quran.com/20:9/tafsirs/toBeReplaced'> وَهَلْ أَتَاكَ حَدِيثُ مُوسَىٰ</a>
20:11	4	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/20:11/tafsirs/toBeReplaced'> فَلَمَّا أَتَاهَا نُودِيَ يَا مُوسَىٰ</a>
20:17	4	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/20:17/tafsirs/toBeReplaced'> وَمَا تِلْكَ بِيَمِينِكَ يَا مُوسَىٰ</a>
20:19	3	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/20:19/tafsirs/toBeReplaced'> قَالَ أَلْقِهَا يَا مُوسَىٰ</a>
20:36	5	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/20:36/tafsirs/toBeReplaced'> قَالَ قَدْ أُوتِيتَ سُؤْلَكَ يَا مُوسَىٰ</a>
20:40	34	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/20:40/tafsirs/toBeReplaced'> فَلَبِثْتَ سِنِينَ فِي أَهْلِ مَدْيَنَ ثُمَّ جِئْتَ عَلَىٰ قَدَرٍ يَا مُوسَىٰ</a>
20:49	4	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/20:49/tafsirs/toBeReplaced'> قَالَ فَمَنْ رَبُّكُمَا يَا مُوسَىٰ</a>
20:57	7	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/20:57/tafsirs/toBeReplaced'> قَالَ أَجِئْتَنَا لِتُخْرِجَنَا مِنْ أَرْضِنَا بِسِحْرِكَ يَا مُوسَىٰ</a>
20:61	3	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/20:61/tafsirs/toBeReplaced'> قَالَ لَهُمْ مُوسَىٰ وَيْلَكُمْ لَا تَفْتَرُوا عَلَى اللَّهِ كَذِبًا</a>
20:65	2	yāmūsā	O Musa	<a style='color:#95C7FF' href='https://quran.com/20:65/tafsirs/toBeReplaced'> قَالُوا يَا مُوسَىٰ إِمَّا أَنْ تُلْقِيَ وَإِمَّا أَنْ نَكُونَ أَوَّلَ مَنْ أَلْقَىٰ</a>
20:67	5	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/20:67/tafsirs/toBeReplaced'> فَأَوْجَسَ فِي نَفْسِهِ خِيفَةً مُوسَىٰ</a>
20:70	8	wamūsā	and Musa	<a style='color:#95C7FF' href='https://quran.com/20:70/tafsirs/toBeReplaced'> فَأُلْقِيَ السَّحَرَةُ سُجَّدًا قَالُوا آمَنَّا بِرَبِّ هَارُونَ وَمُوسَىٰ</a>
20:77	4	mūsā	Musa	<a style='color:#95C7FF' href='https://quran.com/20:77/tafsirs/toBeReplaced'> وَلَقَدْ أَوْحَيْنَا إِلَىٰ مُوسَىٰ أَنْ أَسْرِ بِعِبَادِي</a>
