surah:ayah	position	word	meaning	ayah_link
2:100	4	nabadhahu	threw it away	 أَوَكُلَّمَا عَاهَدُوا عَهْدًا نَبَذَهُ فَرِيقٌ مِنْهُمْ
2:101	10	nabadha	threw away	 نَبَذَ فَرِيقٌ مِنَ الَّذِينَ أُوتُوا الْكِتَابَ كِتَابَ اللَّهِ وَرَاءَ ظُهُورِهِمْ
3:187	12	fanabadhūhu	Then they threw it	 فَنَبَذُوهُ وَرَاءَ ظُهُورِهِمْ وَاشْتَرَوْا بِهِ ثَمَنًا قَلِيلًا
8:58	6	fa-inbidh	throw back	 وَإِمَّا تَخَافَنَّ مِنْ قَوْمٍ خِيَانَةً فَانْبِذْ إِلَيْهِمْ عَلَىٰ سَوَاءٍ
20:96	12	fanabadhtuhā	then threw it	 فَقَبَضْتُ قَبْضَةً مِنْ أَثَرِ الرَّسُولِ فَنَبَذْتُهَا
28:40	3	fanabadhnāhum	and We threw them	 فَأَخَذْنَاهُ وَجُنُودَهُ فَنَبَذْنَاهُمْ فِي الْيَمِّ
37:145	1	fanabadhnāhu	But We cast him	 فَنَبَذْنَاهُ بِالْعَرَاءِ وَهُوَ سَقِيمٌ
51:40	3	fanabadhnāhum	and threw them	 فَأَخَذْنَاهُ وَجُنُودَهُ فَنَبَذْنَاهُمْ فِي الْيَمِّ وَهُوَ مُلِيمٌ
68:49	7	lanubidha	surely he would have been thrown	 لَوْلَا أَنْ تَدَارَكَهُ نِعْمَةٌ مِنْ رَبِّهِ لَنُبِذَ بِالْعَرَاءِ وَهُوَ مَذْمُومٌ
104:4	2	layunbadhanna	Surely he will be thrown	 كَلَّا لَيُنْبَذَنَّ فِي الْحُطَمَةِ
19:16	6	intabadhat	she withdrew	 وَاذْكُرْ فِي الْكِتَابِ مَرْيَمَ إِذِ انْتَبَذَتْ مِنْ أَهْلِهَا مَكَانًا شَرْقِيًّا
19:22	2	fa-intabadhat	and she withdrew	 فَحَمَلَتْهُ فَانْتَبَذَتْ بِهِ مَكَانًا قَصِيًّا
