surah:ayah	position	word	meaning	ayah_link
4:71	6	fa-infirū	and advance	 يَا أَيُّهَا الَّذِينَ آمَنُوا خُذُوا حِذْرَكُمْ فَانْفِرُوا ثُبَاتٍ
4:71	9	infirū	advance	 أَوِ انْفِرُوا جَمِيعًا
9:38	9	infirū	go forth	 مَا لَكُمْ إِذَا قِيلَ لَكُمُ انْفِرُوا فِي سَبِيلِ اللَّهِ اثَّاقَلْتُمْ إِلَى الْأَرْضِ
9:39	2	tanfirū	you go forth	 إِلَّا تَنْفِرُوا يُعَذِّبْكُمْ عَذَابًا أَلِيمًا
9:41	1	infirū	Go forth	 انْفِرُوا خِفَافًا وَثِقَالًا وَجَاهِدُوا بِأَمْوَالِكُمْ وَأَنْفُسِكُمْ
9:81	17	tanfirū	go forth	 وَقَالُوا لَا تَنْفِرُوا فِي الْحَرِّ قُلْ نَارُ جَهَنَّمَ أَشَدُّ حَرًّا
9:122	4	liyanfirū	that they go forth	 وَمَا كَانَ الْمُؤْمِنُونَ لِيَنْفِرُوا كَافَّةً
9:122	7	nafara	go forth	 فَلَوْلَا نَفَرَ مِنْ كُلِّ فِرْقَةٍ مِنْهُمْ طَائِفَةٌ لِيَتَفَقَّهُوا فِي الدِّينِ
18:34	13	nafaran	(in) men	 فَقَالَ لِصَاحِبِهِ وَهُوَ يُحَاوِرُهُ أَنَا أَكْثَرُ مِنْكَ مَالًا وَأَعَزُّ نَفَرًا
46:29	4	nafaran	a party	 وَإِذْ صَرَفْنَا إِلَيْكَ نَفَرًا مِنَ الْجِنِّ يَسْتَمِعُونَ الْقُرْآنَ
72:1	6	nafarun	a group	 قُلْ أُوحِيَ إِلَيَّ أَنَّهُ اسْتَمَعَ نَفَرٌ مِنَ الْجِنِّ فَقَالُوا إِنَّا سَمِعْنَا قُرْآنًا عَجَبًا
17:41	10	nufūran	(in) aversion	 وَلَقَدْ صَرَّفْنَا فِي هَٰذَا الْقُرْآنِ لِيَذَّكَّرُوا وَمَا يَزِيدُهُمْ إِلَّا نُفُورًا
17:46	19	nufūran	(in) aversion	 وَإِذَا ذَكَرْتَ رَبَّكَ فِي الْقُرْآنِ وَحْدَهُ وَلَّوْا عَلَىٰ أَدْبَارِهِمْ نُفُورًا
25:60	13	nufūran	(in) aversion	 قَالُوا وَمَا الرَّحْمَٰنُ أَنَسْجُدُ لِمَا تَأْمُرُنَا وَزَادَهُمْ نُفُورًا
35:42	19	nufūran	(in) aversion	 فَلَمَّا جَاءَهُمْ نَذِيرٌ مَا زَادَهُمْ إِلَّا نُفُورًا
67:21	12	wanufūrin	and aversion	 بَلْ لَجُّوا فِي عُتُوٍّ وَنُفُورٍ
17:6	11	nafīran	numerous	 وَأَمْدَدْنَاكُمْ بِأَمْوَالٍ وَبَنِينَ وَجَعَلْنَاكُمْ أَكْثَرَ نَفِيرًا
74:50	3	mus'tanfiratun	frightened	 كَأَنَّهُمْ حُمُرٌ مُسْتَنْفِرَةٌ
