surah:ayah	position	word	meaning	ayah_link
2:27	8	wayaqṭaʿūna	and [they] cut	 وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَنْ يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ أُولَٰئِكَ هُمُ الْخَاسِرُونَ
3:127	1	liyaqṭaʿa	That He may cut off	 لِيَقْطَعَ طَرَفًا مِنَ الَّذِينَ كَفَرُوا أَوْ يَكْبِتَهُمْ فَيَنْقَلِبُوا خَائِبِينَ
5:38	3	fa-iq'ṭaʿū	[then] cut off	 وَالسَّارِقُ وَالسَّارِقَةُ فَاقْطَعُوا أَيْدِيَهُمَا جَزَاءً بِمَا كَسَبَا
6:45	1	faquṭiʿa	So was cut off	 فَقُطِعَ دَابِرُ الْقَوْمِ الَّذِينَ ظَلَمُوا وَالْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
7:72	6	waqaṭaʿnā	And We cut off	 وَقَطَعْنَا دَابِرَ الَّذِينَ كَذَّبُوا بِآيَاتِنَا وَمَا كَانُوا مُؤْمِنِينَ
8:7	21	wayaqṭaʿa	and cut off	 وَيُرِيدُ اللَّهُ أَنْ يُحِقَّ الْحَقَّ بِكَلِمَاتِهِ وَيَقْطَعَ دَابِرَ الْكَافِرِينَ
9:121	8	yaqṭaʿūna	they cross	 وَلَا يَقْطَعُونَ وَادِيًا إِلَّا كُتِبَ لَهُمْ
13:25	8	wayaqṭaʿūna	and sever	 وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَنْ يُوصَلَ
22:15	16	l'yaqṭaʿ	let him cut off	 ثُمَّ لْيَقْطَعْ فَلْيَنْظُرْ هَلْ يُذْهِبَنَّ كَيْدُهُ مَا يَغِيظُ
29:29	4	wataqṭaʿūna	and you cut off	 أَئِنَّكُمْ لَتَأْتُونَ الرِّجَالَ وَتَقْطَعُونَ السَّبِيلَ
59:5	2	qaṭaʿtum	you cut down	 مَا قَطَعْتُمْ مِنْ لِينَةٍ أَوْ تَرَكْتُمُوهَا قَائِمَةً عَلَىٰ أُصُولِهَا فَبِإِذْنِ اللَّهِ
69:46	2	laqaṭaʿnā	certainly We (would) have cut off	 ثُمَّ لَقَطَعْنَا مِنْهُ الْوَتِينَ
5:33	16	tuqaṭṭaʿa	be cut off	 أَنْ يُقَتَّلُوا أَوْ يُصَلَّبُوا أَوْ تُقَطَّعَ أَيْدِيهِمْ وَأَرْجُلُهُمْ مِنْ خِلَافٍ
