surah:ayah	position	word	meaning	ayah_link
2:35	13	taqrabā	[you two] approach	 وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ
2:187	58	taqrabūhā	approach them	 تِلْكَ حُدُودُ اللَّهِ فَلَا تَقْرَبُوهَا
2:222	12	taqrabūhunna	approach them	 وَلَا تَقْرَبُوهُنَّ حَتَّىٰ يَطْهُرْنَ
4:43	5	taqrabū	go near	 يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَقْرَبُوا الصَّلَاةَ وَأَنْتُمْ سُكَارَىٰ
6:151	23	taqrabū	go near	 وَلَا تَقْرَبُوا الْفَوَاحِشَ مَا ظَهَرَ مِنْهَا وَمَا بَطَنَ
6:152	2	taqrabū	go near	 وَلَا تَقْرَبُوا مَالَ الْيَتِيمِ إِلَّا بِالَّتِي هِيَ أَحْسَنُ حَتَّىٰ يَبْلُغَ أَشُدَّهُ
7:19	11	taqrabā	approach [both of you]	 فَكُلَا مِنْ حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ
9:28	8	yaqrabū	so let them not come near	 فَلَا يَقْرَبُوا الْمَسْجِدَ الْحَرَامَ بَعْدَ عَامِهِمْ هَٰذَا
12:60	10	taqrabūni	you will come near me	 فَإِنْ لَمْ تَأْتُونِي بِهِ فَلَا كَيْلَ لَكُمْ عِنْدِي وَلَا تَقْرَبُونِ
17:32	2	taqrabū	go near	 وَلَا تَقْرَبُوا الزِّنَا إِنَّهُ كَانَ فَاحِشَةً وَسَاءَ سَبِيلًا
17:34	2	taqrabū	come near	 وَلَا تَقْرَبُوا مَالَ الْيَتِيمِ إِلَّا بِالَّتِي هِيَ أَحْسَنُ حَتَّىٰ يَبْلُغَ أَشُدَّهُ
5:27	8	qarrabā	both offered	 وَاتْلُ عَلَيْهِمْ نَبَأَ ابْنَيْ آدَمَ بِالْحَقِّ إِذْ قَرَّبَا قُرْبَانًا
19:52	6	waqarrabnāhu	and brought him near	 وَنَادَيْنَاهُ مِنْ جَانِبِ الطُّورِ الْأَيْمَنِ وَقَرَّبْنَاهُ نَجِيًّا
34:37	6	tuqarribukum	will bring you close	 وَمَا أَمْوَالُكُمْ وَلَا أَوْلَادُكُمْ بِالَّتِي تُقَرِّبُكُمْ عِنْدَنَا زُلْفَىٰ
39:3	13	liyuqarribūnā	that they may bring us near	 مَا نَعْبُدُهُمْ إِلَّا لِيُقَرِّبُونَا إِلَى اللَّهِ زُلْفَىٰ
51:27	1	faqarrabahu	And he placed it near	 فَقَرَّبَهُ إِلَيْهِمْ قَالَ أَلَا تَأْكُلُونَ
7:185	17	iq'taraba	come near 	 وَأَنْ عَسَىٰ أَنْ يَكُونَ قَدِ اقْتَرَبَ أَجَلُهُمْ
21:1	1	iq'taraba	(Has) approached	 اقْتَرَبَ لِلنَّاسِ حِسَابُهُمْ وَهُمْ فِي غَفْلَةٍ مُعْرِضُونَ
21:97	1	wa-iq'taraba	And has approached	 وَاقْتَرَبَ الْوَعْدُ الْحَقُّ فَإِذَا هِيَ شَاخِصَةٌ أَبْصَارُ الَّذِينَ كَفَرُوا
54:1	1	iq'tarabati	Has come near	 اقْتَرَبَتِ السَّاعَةُ وَانْشَقَّ الْقَمَرُ
96:19	5	wa-iq'tarib	and draw near (to Allah)	 كَلَّا لَا تُطِعْهُ وَاسْجُدْ وَاقْتَرِبْ
2:180	12	wal-aqrabīna	and the near relatives	 الْوَصِيَّةُ لِلْوَالِدَيْنِ وَالْأَقْرَبِينَ
2:215	10	wal-aqrabīna	and the relatives	 قُلْ مَا أَنْفَقْتُمْ مِنْ خَيْرٍ فَلِلْوَالِدَيْنِ وَالْأَقْرَبِينَ
2:237	25	aqrabu	(is) nearer	 وَأَنْ تَعْفُوا أَقْرَبُ لِلتَّقْوَىٰ وَلَا تَنْسَوُا الْفَضْلَ بَيْنَكُمْ
3:167	21	aqrabu	(were) nearer	 هُمْ لِلْكُفْرِ يَوْمَئِذٍ أَقْرَبُ مِنْهُمْ لِلْإِيمَانِ
4:7	6	wal-aqrabūna	and the near relatives	 لِلرِّجَالِ نَصِيبٌ مِمَّا تَرَكَ الْوَالِدَانِ وَالْأَقْرَبُونَ
4:7	12	wal-aqrabūna	and the near relatives	 وَلِلنِّسَاءِ نَصِيبٌ مِمَّا تَرَكَ الْوَالِدَانِ وَالْأَقْرَبُونَ
4:11	61	aqrabu	(is) nearer	 آبَاؤُكُمْ وَأَبْنَاؤُكُمْ لَا تَدْرُونَ أَيُّهُمْ أَقْرَبُ لَكُمْ نَفْعًا
4:33	7	wal-aqrabūna	and the relatives	 وَلِكُلٍّ جَعَلْنَا مَوَالِيَ مِمَّا تَرَكَ الْوَالِدَانِ وَالْأَقْرَبُونَ
4:135	14	wal-aqrabīna	and the relatives	 وَلَوْ عَلَىٰ أَنْفُسِكُمْ أَوِ الْوَالِدَيْنِ وَالْأَقْرَبِينَ
5:8	18	aqrabu	(is) nearer	 اعْدِلُوا هُوَ أَقْرَبُ لِلتَّقْوَىٰ
