surah:ayah	position	word	meaning	ayah_link
19:26	3	waqarrī	and cool	 فَكُلِي وَاشْرَبِي وَقَرِّي عَيْنًا
20:40	14	taqarra	may be cooled	 فَرَجَعْنَاكَ إِلَىٰ أُمِّكَ كَيْ تَقَرَّ عَيْنُهَا وَلَا تَحْزَنَ
28:13	5	taqarra	might be comforted	 فَرَدَدْنَاهُ إِلَىٰ أُمِّهِ كَيْ تَقَرَّ عَيْنُهَا وَلَا تَحْزَنَ
33:33	1	waqarna	And stay	 وَقَرْنَ فِي بُيُوتِكُنَّ وَلَا تَبَرَّجْنَ تَبَرُّجَ الْجَاهِلِيَّةِ الْأُولَىٰ
33:51	19	taqarra	may be cooled	 ذَٰلِكَ أَدْنَىٰ أَنْ تَقَرَّ أَعْيُنُهُنَّ وَلَا يَحْزَنَّ
2:84	13	aqrartum	you ratified	 ثُمَّ أَقْرَرْتُمْ وَأَنْتُمْ تَشْهَدُونَ
3:81	21	a-aqrartum	Do you affirm	 قَالَ أَأَقْرَرْتُمْ وَأَخَذْتُمْ عَلَىٰ ذَٰلِكُمْ إِصْرِي
3:81	27	aqrarnā	We affirm	 قَالُوا أَقْرَرْنَا قَالَ فَاشْهَدُوا وَأَنَا مَعَكُمْ مِنَ الشَّاهِدِينَ
22:5	27	wanuqirru	And We cause to remain	 وَنُقِرُّ فِي الْأَرْحَامِ مَا نَشَاءُ إِلَىٰ أَجَلٍ مُسَمًّى
7:143	20	is'taqarra	it remains	 وَلَٰكِنِ انْظُرْ إِلَى الْجَبَلِ فَإِنِ اسْتَقَرَّ مَكَانَهُ فَسَوْفَ تَرَانِي
14:26	13	qarārin	stability	 كَشَجَرَةٍ خَبِيثَةٍ اجْتُثَّتْ مِنْ فَوْقِ الْأَرْضِ مَا لَهَا مِنْ قَرَارٍ
14:29	4	l-qarāru	place to settle	 جَهَنَّمَ يَصْلَوْنَهَا وَبِئْسَ الْقَرَارُ
23:13	5	qarārin	a resting place	 ثُمَّ جَعَلْنَاهُ نُطْفَةً فِي قَرَارٍ مَكِينٍ
23:50	10	qarārin	of tranquility	 وَآوَيْنَاهُمَا إِلَىٰ رَبْوَةٍ ذَاتِ قَرَارٍ وَمَعِينٍ
27:61	4	qarāran	a firm abode	 أَمَّنْ جَعَلَ الْأَرْضَ قَرَارًا وَجَعَلَ خِلَالَهَا أَنْهَارًا
38:60	11	l-qarāru	the settlement	 قَالُوا بَلْ أَنْتُمْ لَا مَرْحَبًا بِكُمْ أَنْتُمْ قَدَّمْتُمُوهُ لَنَا فَبِئْسَ الْقَرَارُ
40:39	11	l-qarāri	(of) settlement	 وَإِنَّ الْآخِرَةَ هِيَ دَارُ الْقَرَارِ
40:64	6	qarāran	a place of settlement	 اللَّهُ الَّذِي جَعَلَ لَكُمُ الْأَرْضَ قَرَارًا وَالسَّمَاءَ بِنَاءً
77:21	3	qarārin	an abode	 فَجَعَلْنَاهُ فِي قَرَارٍ مَكِينٍ
25:74	9	qurrata	comfort	 وَالَّذِينَ يَقُولُونَ رَبَّنَا هَبْ لَنَا مِنْ أَزْوَاجِنَا وَذُرِّيَّاتِنَا قُرَّةَ أَعْيُنٍ
28:9	4	qurratu	A comfort	 وَقَالَتِ امْرَأَتُ فِرْعَوْنَ قُرَّتُ عَيْنٍ لِي وَلَكَ
32:17	8	qurrati	(the) comfort	 فَلَا تَعْلَمُ نَفْسٌ مَا أُخْفِيَ لَهُمْ مِنْ قُرَّةِ أَعْيُنٍ جَزَاءً بِمَا كَانُوا يَعْمَلُونَ
27:44	17	qawārīra	glass	 قَالَ إِنَّهُ صَرْحٌ مُمَرَّدٌ مِنْ قَوَارِيرَ
76:15	8	qawārīrā	(of) crystal	 وَيُطَافُ عَلَيْهِمْ بِآنِيَةٍ مِنْ فِضَّةٍ وَأَكْوَابٍ كَانَتْ قَوَارِيرَا
76:16	1	qawārīrā	Crystal-clear	 قَوَارِيرَ مِنْ فِضَّةٍ قَدَّرُوهَا تَقْدِيرًا
27:40	17	mus'taqirran	placed	 فَلَمَّا رَآهُ مُسْتَقِرًّا عِنْدَهُ قَالَ هَٰذَا مِنْ فَضْلِ رَبِّي
